State,City,Latitude,Longitude
Alabama,Birmingham,33.5207,-86.8025
Alaska,Juneau,58.3019,-134.4197
Arizona,Phoenix,33.4484,-112.074
Arkansas,Little Rock,34.7465,-92.2896
California,Los Angeles,34.0522,-118.2437
Colorado,Denver,39.7392,-104.9903
Connecticut,Bridgeport,41.1792,-73.1894
Delaware,Wilmington,39.7391,-75.5398
Florida,Jacksonville,30.3322,-81.6557
Georgia,Atlanta,33.749,-84.388
Hawaii,Honolulu,21.3069,-157.8583
Idaho,boise,43.615,-116.2023
Illinois,Chicago,41.8781,-87.6298
Indiana,Indianapolis,39.7684,-86.158
Iowa,Des Moines,41.5868,-93.625
Kansas,Wichita,37.6872,-97.3301
Kentucky,Louisville,38.2527,-85.7585
Louisiana,New Orleans,29.9509,-90.0758
Maine,Portland,43.6591,-70.2568
Maryland,Baltimore,39.2904,-76.6122
Massachusetts,Boston,42.3601,-71.0589
Michigan,Detroit,42.3314,-83.0458
Minnesota,Minneapolis,44.9778,-93.265
Mississippi,Jackson,32.2988,-90.1848
Missouri,Kansas City,39.0997,-94.5786
Montana,Billings,45.7597,-108.5531
Nebraska,Omaha,41.2565,-95.9345
Nevada,Las Vegas,36.1716,-115.1391
New Hampshire,Manchester,42.9956,-71.465
New Jersey,Newark,40.7357,-74.1724
New Mexico,Albuquerque,35.0844,-106.6504
New York,New York City,40.7128,-73.8292
North Carolina,Charlotte,35.2271,-80.8431
North Dakota,Fargo,46.8772,-96.7898
Ohio,Columbus,39.9612,-82.9988
Oklahoma,Oklahoma City,35.4676,-97.5164
Oregon,Portland,45.5152,-122.6784
Pennsylvania,Philadelphia,39.9526,-75.1652
Rhode Island,Providence,41.8236,-71.4222
South Carolina,Charleston,32.7833,-79.932
South Dakota,Sioux Falls,43.546,-96.7313
Tennessee,Memphis,35.1495,-90.049
Texas,Houston,29.7604,-95.3698
Utah,Salt Lake City,40.7608,-111.891
Vermont,Burlington,44.4759,-73.2121
Virginia,Virginia Beach,36.8516,-75.9792
Washington,Seattle,47.6062,-122.3321
West Virginia,Charleston,38.3498,-81.6326
Wisconsin,Milwaukee,43.0389,-87.9065
Wyoming,Cheyenne,41.14,-104.8202
