State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,53,8376
Alaska,58.3019,-134.4197,39,6932
Arizona,33.4484,-112.074,59,8760
Arkansas,34.7465,-92.2896,56,8334
California,34.0522,-118.2437,53,8760
Colorado,39.7392,-104.9903,52,7986
Connecticut,41.1792,-73.1894,50,8093
Delaware,39.7391,-75.5398,53,7947
Florida,30.3322,-81.6557,51,8742
Georgia,33.749,-84.388,52,8334
Hawaii,21.3069,-157.8583,45,8760
Idaho,43.615,-116.2023,52,8100
Illinois,41.8781,-87.6298,46,7641
Indiana,39.7684,-86.158,47,7519
Iowa,41.5868,-93.625,47,7013
Kansas,37.6872,-97.3301,55,7957
Kentucky,38.2527,-85.7585,52,7763
Louisiana,29.9509,-90.0758,50,8753
Maine,43.6591,-70.2568,44,7909
Maryland,39.2904,-76.6122,54,7961
Massachusetts,42.3601,-71.0589,47,7918
Michigan,42.3314,-83.0458,47,7358
Minnesota,44.9778,-93.265,47,6527
Mississippi,32.2988,-90.1848,55,8519
Missouri,39.0997,-94.5786,50,7688
Montana,45.7597,-108.5531,50,7388
Nebraska,41.2565,-95.9345,49,7144
Nevada,36.1716,-115.1391,60,8745
New Hampshire,42.9956,-71.465,47,7584
New Jersey,40.7357,-74.1724,52,7968
New Mexico,35.0844,-106.6504,53,8523
New York,40.7128,-73.8292,51,8092
North Carolina,35.2271,-80.8431,52,8257
North Dakota,46.8772,-96.7898,49,6197
Ohio,39.9612,-82.9988,48,7383
Oklahoma,35.4676,-97.5164,55,8261
Oregon,45.5152,-122.6784,49,8671
Pennsylvania,39.9526,-75.1652,53,7871
Rhode Island,41.8236,-71.4222,49,7877
South Carolina,32.7833,-79.932,49,8754
South Dakota,43.546,-96.7313,47,6686
Tennessee,35.1495,-90.049,54,8272
Texas,29.7604,-95.3698,51,8723
Utah,40.7608,-111.891,52,8036
Vermont,44.4759,-73.2121,49,7087
Virginia,36.8516,-75.9792,50,8631
Washington,47.6062,-122.3321,46,8643
West Virginia,38.3498,-81.6326,51,7583
Wisconsin,43.0389,-87.9065,45,7359
Wyoming,41.14,-104.8202,49,7346
