State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,57,909
Alaska,58.3019,-134.4197,41,0
Arizona,33.4484,-112.074,61,1631
Arkansas,34.7465,-92.2896,58,1019
California,34.0522,-118.2437,57,379
Colorado,39.7392,-104.9903,57,573
Connecticut,41.1792,-73.1894,53,225
Delaware,39.7391,-75.5398,56,526
Florida,30.3322,-81.6557,56,970
Georgia,33.749,-84.388,55,796
Hawaii,21.3069,-157.8583,47,185
Idaho,43.615,-116.2023,57,476
Illinois,41.8781,-87.6298,48,85
Indiana,39.7684,-86.158,50,373
Iowa,41.5868,-93.625,49,226
Kansas,37.6872,-97.3301,59,742
Kentucky,38.2527,-85.7585,55,656
Louisiana,29.9509,-90.0758,52,706
Maine,43.6591,-70.2568,47,17
Maryland,39.2904,-76.6122,57,542
Massachusetts,42.3601,-71.0589,50,171
Michigan,42.3314,-83.0458,50,194
Minnesota,44.9778,-93.265,49,147
Mississippi,32.2988,-90.1848,59,1081
Missouri,39.0997,-94.5786,54,457
Montana,45.7597,-108.5531,55,344
Nebraska,41.2565,-95.9345,51,357
Nevada,36.1716,-115.1391,64,1390
New Hampshire,42.9956,-71.465,50,178
New Jersey,40.7357,-74.1724,54,345
New Mexico,35.0844,-106.6504,58,890
New York,40.7128,-73.8292,52,292
North Carolina,35.2271,-80.8431,56,795
North Dakota,46.8772,-96.7898,52,137
Ohio,39.9612,-82.9988,51,373
Oklahoma,35.4676,-97.5164,59,893
Oregon,45.5152,-122.6784,53,100
Pennsylvania,39.9526,-75.1652,55,477
Rhode Island,41.8236,-71.4222,53,236
South Carolina,32.7833,-79.932,53,641
South Dakota,43.546,-96.7313,49,171
Tennessee,35.1495,-90.049,57,1008
Texas,29.7604,-95.3698,56,1099
Utah,40.7608,-111.891,56,550
Vermont,44.4759,-73.2121,50,133
Virginia,36.8516,-75.9792,53,399
Washington,47.6062,-122.3321,48,35
West Virginia,38.3498,-81.6326,55,524
Wisconsin,43.0389,-87.9065,47,53
Wyoming,41.14,-104.8202,55,299
