State,Latitude,Longitude,Max Temp,Min Temp,Num Hours Overtemp,Num hours Undertemp
Alabama,33.5207,-86.8025,55,-6,0,0
Alaska,58.3019,-134.4197,44,-21,0,9
Arizona,33.4484,-112.074,68,-3,10,0
Arkansas,34.7465,-92.2896,61,-9,0,0
California,34.0522,-118.2437,57,1,0,0
Colorado,39.7392,-104.9903,58,-16,0,0
Connecticut,41.1792,-73.1894,51,-10,0,0
Delaware,39.7391,-75.5398,53,-11,0,0
Florida,30.3322,-81.6557,55,0,0,0
Georgia,33.749,-84.388,55,-6,0,0
Hawaii,21.3069,-157.8583,51,20,0,0
Idaho,43.615,-116.2023,61,-16,0,0
Illinois,41.8781,-87.6298,51,-15,0,0
Indiana,39.7684,-86.158,55,-16,0,0
Iowa,41.5868,-93.625,58,-22,0,18
Kansas,37.6872,-97.3301,60,-14,0,0
Kentucky,38.2527,-85.7585,54,-19,0,0
Louisiana,29.9509,-90.0758,54,1,0,0
Maine,43.6591,-70.2568,50,-18,0,0
Maryland,39.2904,-76.6122,54,-10,0,0
Massachusetts,42.3601,-71.0589,51,-15,0,0
Michigan,42.3314,-83.0458,52,-15,0,0
Minnesota,44.9778,-93.265,54,-29,0,214
Mississippi,32.2988,-90.1848,59,-5,0,0
Missouri,39.0997,-94.5786,58,-15,0,0
Montana,45.7597,-108.5531,59,-24,0,49
Nebraska,41.2565,-95.9345,57,-18,0,0
Nevada,36.1716,-115.1391,67,-5,15,0
New Hampshire,42.9956,-71.465,52,-22,0,11
New Jersey,40.7357,-74.1724,52,-11,0,0
New Mexico,35.0844,-106.6504,62,-13,0,0
New York,40.7128,-73.8292,51,-10,0,0
North Carolina,35.2271,-80.8431,54,-6,0,0
North Dakota,46.8772,-96.7898,57,-33,0,361
Ohio,39.9612,-82.9988,53,-15,0,0
Oklahoma,35.4676,-97.5164,62,-12,0,0
Oregon,45.5152,-122.6784,54,-11,0,0
Pennsylvania,39.9526,-75.1652,53,-12,0,0
Rhode Island,41.8236,-71.4222,52,-15,0,0
South Carolina,32.7833,-79.932,52,1,0,0
South Dakota,43.546,-96.7313,57,-23,0,68
Tennessee,35.1495,-90.049,58,-8,0,0
Texas,29.7604,-95.3698,60,0,0,0
Utah,40.7608,-111.891,58,-18,0,0
Vermont,44.4759,-73.2121,51,-27,0,79
Virginia,36.8516,-75.9792,52,-2,0,0
Washington,47.6062,-122.3321,50,-10,0,0
West Virginia,38.3498,-81.6326,55,-12,0,0
Wisconsin,43.0389,-87.9065,51,-21,0,3
Wyoming,41.14,-104.8202,56,-20,0,3
