State,Latitude,Longitude,Max Temp,Min Temp,Num Hours Overtemp,Num hours Undertemp
Alabama,33.5207,-86.8025,61,-13,0,0
Alaska,58.3019,-134.4197,48,-25,0,22
Arizona,33.4484,-112.074,68,-4,262,0
Arkansas,34.7465,-92.2896,64,-14,5,0
California,34.0522,-118.2437,63,0,0,0
Colorado,39.7392,-104.9903,61,-22,0,1
Connecticut,41.1792,-73.1894,56,-18,0,0
Delaware,39.7391,-75.5398,59,-18,0,0
Florida,30.3322,-81.6557,59,-3,0,0
Georgia,33.749,-84.388,62,-12,0,0
Hawaii,21.3069,-157.8583,52,0,0,0
Idaho,43.615,-116.2023,62,-21,2,0
Illinois,41.8781,-87.6298,57,-26,0,7
Indiana,39.7684,-86.158,60,-27,0,10
Iowa,41.5868,-93.625,62,-33,1,34
Kansas,37.6872,-97.3301,65,-18,7,0
Kentucky,38.2527,-85.7585,62,-21,0,0
Louisiana,29.9509,-90.0758,56,-4,0,0
Maine,43.6591,-70.2568,50,-21,0,1
Maryland,39.2904,-76.6122,61,-17,0,0
Massachusetts,42.3601,-71.0589,55,-22,0,1
Michigan,42.3314,-83.0458,53,-25,0,14
Minnesota,44.9778,-93.265,57,-37,0,218
Mississippi,32.2988,-90.1848,62,-10,1,0
Missouri,39.0997,-94.5786,63,-23,3,3
Montana,45.7597,-108.5531,60,-31,0,20
Nebraska,41.2565,-95.9345,61,-30,0,18
Nevada,36.1716,-115.1391,67,-5,171,0
New Hampshire,42.9956,-71.465,55,-28,0,19
New Jersey,40.7357,-74.1724,57,-21,0,0
New Mexico,35.0844,-106.6504,63,-16,1,0
New York,40.7128,-73.8292,55,-18,0,0
North Carolina,35.2271,-80.8431,61,-14,0,0
North Dakota,46.8772,-96.7898,59,-43,0,316
Ohio,39.9612,-82.9988,60,-23,0,4
Oklahoma,35.4676,-97.5164,66,-14,15,0
Oregon,45.5152,-122.6784,60,-11,0,0
Pennsylvania,39.9526,-75.1652,60,-19,0,0
Rhode Island,41.8236,-71.4222,56,-23,0,2
South Carolina,32.7833,-79.932,56,-4,0,0
South Dakota,43.546,-96.7313,62,-36,0,83
Tennessee,35.1495,-90.049,62,-15,1,0
Texas,29.7604,-95.3698,61,-6,1,0
Utah,40.7608,-111.891,61,-23,0,3
Vermont,44.4759,-73.2121,56,-32,0,75
Virginia,36.8516,-75.9792,57,-10,0,0
Washington,47.6062,-122.3321,53,-10,0,0
West Virginia,38.3498,-81.6326,62,-18,0,0
Wisconsin,43.0389,-87.9065,59,-32,0,27
Wyoming,41.14,-104.8202,59,-26,0,9
