State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,60,594
Alaska,58.3019,-134.4197,43,0
Arizona,33.4484,-112.074,64,1333
Arkansas,34.7465,-92.2896,60,732
California,34.0522,-118.2437,59,183
Colorado,39.7392,-104.9903,60,315
Connecticut,41.1792,-73.1894,55,83
Delaware,39.7391,-75.5398,59,298
Florida,30.3322,-81.6557,59,533
Georgia,33.749,-84.388,57,516
Hawaii,21.3069,-157.8583,50,9
Idaho,43.615,-116.2023,59,309
Illinois,41.8781,-87.6298,51,6
Indiana,39.7684,-86.158,53,122
Iowa,41.5868,-93.625,51,47
Kansas,37.6872,-97.3301,61,437
Kentucky,38.2527,-85.7585,58,353
Louisiana,29.9509,-90.0758,55,254
Maine,43.6591,-70.2568,50,2
Maryland,39.2904,-76.6122,59,305
Massachusetts,42.3601,-71.0589,53,45
Michigan,42.3314,-83.0458,52,55
Minnesota,44.9778,-93.265,52,23
Mississippi,32.2988,-90.1848,61,725
Missouri,39.0997,-94.5786,57,166
Montana,45.7597,-108.5531,57,194
Nebraska,41.2565,-95.9345,54,131
Nevada,36.1716,-115.1391,67,1139
New Hampshire,42.9956,-71.465,53,49
New Jersey,40.7357,-74.1724,56,172
New Mexico,35.0844,-106.6504,61,544
New York,40.7128,-73.8292,55,110
North Carolina,35.2271,-80.8431,59,503
North Dakota,46.8772,-96.7898,55,46
Ohio,39.9612,-82.9988,54,162
Oklahoma,35.4676,-97.5164,61,573
Oregon,45.5152,-122.6784,55,43
Pennsylvania,39.9526,-75.1652,57,261
Rhode Island,41.8236,-71.4222,55,91
South Carolina,32.7833,-79.932,55,260
South Dakota,43.546,-96.7313,52,35
Tennessee,35.1495,-90.049,60,671
Texas,29.7604,-95.3698,59,691
Utah,40.7608,-111.891,59,330
Vermont,44.4759,-73.2121,53,37
Virginia,36.8516,-75.9792,56,153
Washington,47.6062,-122.3321,50,2
West Virginia,38.3498,-81.6326,58,265
Wisconsin,43.0389,-87.9065,50,2
Wyoming,41.14,-104.8202,58,116
