State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,57,343
Alaska,58.3019,-134.4197,41,0
Arizona,33.4484,-112.074,61,1084
Arkansas,34.7465,-92.2896,58,467
California,34.0522,-118.2437,57,68
Colorado,39.7392,-104.9903,57,117
Connecticut,41.1792,-73.1894,53,16
Delaware,39.7391,-75.5398,56,133
Florida,30.3322,-81.6557,56,166
Georgia,33.749,-84.388,55,263
Hawaii,21.3069,-157.8583,47,0
Idaho,43.615,-116.2023,57,154
Illinois,41.8781,-87.6298,48,0
Indiana,39.7684,-86.158,50,9
Iowa,41.5868,-93.625,49,0
Kansas,37.6872,-97.3301,59,193
Kentucky,38.2527,-85.7585,55,140
Louisiana,29.9509,-90.0758,52,30
Maine,43.6591,-70.2568,47,0
Maryland,39.2904,-76.6122,57,135
Massachusetts,42.3601,-71.0589,50,4
Michigan,42.3314,-83.0458,50,2
Minnesota,44.9778,-93.265,49,0
Mississippi,32.2988,-90.1848,59,428
Missouri,39.0997,-94.5786,54,39
Montana,45.7597,-108.5531,55,87
Nebraska,41.2565,-95.9345,51,14
Nevada,36.1716,-115.1391,64,921
New Hampshire,42.9956,-71.465,50,5
New Jersey,40.7357,-74.1724,54,47
New Mexico,35.0844,-106.6504,58,271
New York,40.7128,-73.8292,52,19
North Carolina,35.2271,-80.8431,56,242
North Dakota,46.8772,-96.7898,52,9
Ohio,39.9612,-82.9988,51,42
Oklahoma,35.4676,-97.5164,59,294
Oregon,45.5152,-122.6784,53,18
Pennsylvania,39.9526,-75.1652,55,108
Rhode Island,41.8236,-71.4222,53,18
South Carolina,32.7833,-79.932,53,35
South Dakota,43.546,-96.7313,49,0
Tennessee,35.1495,-90.049,57,396
Texas,29.7604,-95.3698,56,307
Utah,40.7608,-111.891,56,140
Vermont,44.4759,-73.2121,50,4
Virginia,36.8516,-75.9792,53,24
Washington,47.6062,-122.3321,48,0
West Virginia,38.3498,-81.6326,55,97
Wisconsin,43.0389,-87.9065,47,0
Wyoming,41.14,-104.8202,55,29
