State,Latitude,Longitude,Max Temp,Critical Hours
Alabama,33.5207,-86.8025,77,586
Alaska,58.3019,-134.4197,59,0
Arizona,33.4484,-112.074,81,1305
Arkansas,34.7465,-92.2896,77,710
California,34.0522,-118.2437,74,214
Colorado,39.7392,-104.9903,79,369
Connecticut,41.1792,-73.1894,70,121
Delaware,39.7391,-75.5398,75,327
Florida,30.3322,-81.6557,75,567
Georgia,33.749,-84.388,74,525
Hawaii,21.3069,-157.8583,68,123
Idaho,43.615,-116.2023,76,341
Illinois,41.8781,-87.6298,68,39
Indiana,39.7684,-86.158,71,186
Iowa,41.5868,-93.625,70,85
Kansas,37.6872,-97.3301,78,452
Kentucky,38.2527,-85.7585,75,406
Louisiana,29.9509,-90.0758,72,314
Maine,43.6591,-70.2568,67,6
Maryland,39.2904,-76.6122,76,326
Massachusetts,42.3601,-71.0589,68,71
Michigan,42.3314,-83.0458,69,106
Minnesota,44.9778,-93.265,69,52
Mississippi,32.2988,-90.1848,78,742
Missouri,39.0997,-94.5786,74,189
Montana,45.7597,-108.5531,74,217
Nebraska,41.2565,-95.9345,69,165
Nevada,36.1716,-115.1391,83,1111
New Hampshire,42.9956,-71.465,69,88
New Jersey,40.7357,-74.1724,72,208
New Mexico,35.0844,-106.6504,78,597
New York,40.7128,-73.8292,70,156
North Carolina,35.2271,-80.8431,75,509
North Dakota,46.8772,-96.7898,70,57
Ohio,39.9612,-82.9988,71,206
Oklahoma,35.4676,-97.5164,78,596
Oregon,45.5152,-122.6784,70,51
Pennsylvania,39.9526,-75.1652,73,292
Rhode Island,41.8236,-71.4222,70,136
South Carolina,32.7833,-79.932,72,319
South Dakota,43.546,-96.7313,69,67
Tennessee,35.1495,-90.049,76,657
Texas,29.7604,-95.3698,76,706
Utah,40.7608,-111.891,77,399
Vermont,44.4759,-73.2121,68,59
Virginia,36.8516,-75.9792,73,225
Washington,47.6062,-122.3321,66,4
West Virginia,38.3498,-81.6326,75,336
Wisconsin,43.0389,-87.9065,68,27
Wyoming,41.14,-104.8202,76,177
