time,hum_rh,temp
2024-10-28T12,34,21.8
2024-10-28T13,32,22.5
2024-10-28T14,29,23.1
2024-10-28T15,29,23.1
2024-10-28T16,27,23.5
2024-10-28T17,25,23.2
2024-10-28T18,24,23.0
2024-10-28T19,24,23.1
2024-10-28T20,24,23.2
2024-10-28T21,22,23.3
2024-10-28T22,21,23.5
2024-10-28T23,22,23.4
2024-10-29T00,21,23.6
2024-10-29T01,20,23.6
2024-10-29T02,21,23.8
2024-10-29T03,21,23.8
2024-10-29T04,20,23.9
2024-10-29T05,16,23.4
2024-10-29T06,20,23.3
2024-10-29T07,20,23.4
2024-10-29T08,20,23.6
2024-10-29T09,20,23.9
2024-10-29T10,20,24.1
2024-10-29T11,17,22.0
2024-10-29T12,10,16.3
2024-10-29T13,10,14.5
2024-10-29T14,10,14.3
2024-10-29T15,10,15.2
2024-10-29T16,10,14.5
2024-10-29T17,10,13.5
2024-10-29T18,10,12.6
2024-10-29T19,10,11.8
2024-10-29T20,10,11.2
2024-10-29T21,10,10.8
2024-10-29T22,10,10.1
2024-10-29T23,10,9.6
2024-10-30T00,10,9.1
2024-10-30T01,10,8.6
2024-10-30T02,10,8.3
2024-10-30T03,10,8.2
2024-10-30T04,10,8.1
2024-10-30T05,10,8.1
2024-10-30T06,10,9.9
2024-10-30T07,10,12.4
2024-10-30T08,19,16.0
2024-10-30T09,19,16.9
2024-10-30T10,19,16.6
2024-10-30T11,19,16.5
2024-10-30T12,20,18.1
2024-10-30T13,22,19.6
2024-10-30T14,24,20.5
2024-10-30T15,25,21.0
2024-10-30T16,24,20.3
2024-10-30T17,22,19.0
2024-10-30T18,21,17.3
2024-10-30T19,19,16.1
2024-10-30T20,19,14.9
2024-10-30T21,19,13.9
2024-10-30T22,15,13.2
2024-10-30T23,16,12.4
2024-10-31T00,10,11.8
2024-10-31T01,16,11.1
2024-10-31T02,16,10.5
2024-10-31T03,10,10.1
2024-10-31T04,10,9.8
2024-10-31T05,10,9.6
2024-10-31T06,19,13.2
2024-10-31T07,21,14.5
2024-10-31T08,24,16.3
2024-10-31T09,25,17.5
2024-10-31T10,26,19.8
2024-10-31T11,29,23.8
2024-10-31T12,30,25.6
2024-10-31T13,31,27.0
2024-10-31T14,31,28.3
2024-10-31T15,32,28.9
2024-10-31T16,31,28.5
2024-10-31T17,31,26.9
2024-10-31T18,30,25.1
2024-10-31T19,30,23.3
2024-10-31T20,30,21.9
2024-10-31T21,29,20.8
2024-10-31T22,28,19.6
2024-10-31T23,27,18.9
2024-11-01T00,27,18.2
2024-11-01T01,26,17.6
2024-11-01T02,27,17.2
2024-11-01T03,27,16.9
2024-11-01T04,27,16.8
2024-11-01T05,27,16.8
2024-11-01T06,28,17.6
2024-11-01T07,30,19.0
2024-11-01T08,30,20.1
2024-11-01T09,30,20.9
2024-11-01T10,31,22.3
2024-11-01T11,31,23.6
2024-11-01T12,33,25.1
2024-11-01T13,32,24.2
2024-11-01T14,33,25.0
2024-11-01T15,34,25.8
2024-11-01T16,34,25.6
2024-11-01T17,32,24.5
2024-11-01T18,31,22.6
2024-11-01T19,31,20.8
2024-11-01T20,30,18.9
2024-11-01T21,30,17.1
2024-11-01T22,29,15.4
2024-11-01T23,27,14.0
2024-11-02T00,27,12.6
2024-11-02T01,27,11.3
2024-11-02T02,26,10.6
2024-11-02T03,25,10.2
2024-11-02T04,26,9.8
2024-11-02T05,25,9.2
2024-11-02T06,25,8.8
2024-11-02T07,25,8.4
2024-11-02T08,25,8.3
2024-11-02T09,25,9.0
2024-11-02T10,26,10.1
2024-11-02T11,28,11.6
2024-11-02T12,30,14.0
2024-11-02T13,30,15.3
2024-11-02T14,31,16.2
2024-11-02T15,31,16.6
2024-11-02T16,31,16.8
2024-11-02T17,31,17.1
2024-11-02T18,31,17.3
2024-11-02T19,31,17.5
2024-11-02T20,31,17.8
2024-11-02T21,31,17.9
2024-11-02T22,31,17.9
2024-11-02T23,31,17.9
2024-11-03T00,31,17.6
2024-11-03T01,32,17.5
2024-11-03T02,32,17.2
2024-11-03T03,31,16.9
2024-11-03T04,32,16.6
2024-11-03T05,31,16.3
2024-11-03T06,32,16.4
2024-11-03T07,32,16.9
2024-11-03T08,32,17.2
2024-11-03T09,31,17.6
2024-11-03T10,32,18.1
2024-11-03T11,32,18.2
2024-11-03T12,32,18.2
2024-11-03T13,32,18.1
2024-11-03T14,32,18.1
2024-11-03T15,32,17.9
2024-11-03T16,32,17.1
2024-11-03T17,31,15.5
2024-11-03T18,30,13.6
2024-11-03T19,30,11.8
2024-11-03T20,29,10.1
2024-11-03T21,27,8.5
2024-11-03T22,27,6.9
2024-11-03T23,26,5.5
2024-11-04T00,25,4.2
2024-11-04T01,25,3.1
2024-11-04T02,22,2.0
2024-11-04T03,22,1.0
2024-11-04T04,17,0.2
2024-11-04T05,17,-0.5
2024-11-04T06,22,1.5
2024-11-04T07,30,6.6
2024-11-04T08,31,10.4
