Latitude,Longitude
39.9612,-82.9988
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2010,1,1,0,30,0,0,163.0,-1
2010,1,1,1,30,0,0,159.47,-1
2010,1,1,2,30,0,0,150.46,-2
2010,1,1,3,30,0,0,139.59,-3
2010,1,1,4,30,0,0,128.17000000000002,-4
2010,1,1,5,30,0,0,116.72,-5
2010,1,1,6,30,0,0,105.52,-6
2010,1,1,7,30,0,0,94.85,-6
2010,1,1,8,30,25,0,84.99,-6
2010,1,1,9,30,88,8,76.34,-5
2010,1,1,10,30,166,62,69.41,-5
2010,1,1,11,30,236,116,64.76,-5
2010,1,1,12,30,208,45,62.940000000000005,-4
2010,1,1,13,30,137,0,64.19,-4
2010,1,1,14,30,106,0,68.34,-4
2010,1,1,15,30,54,0,74.89,-4
2010,1,1,16,30,39,0,83.26,-5
2010,1,1,17,30,0,0,92.92,-5
2010,1,1,18,30,0,0,103.46,-6
2010,1,1,19,30,0,0,114.58,-6
2010,1,1,20,30,0,0,126.0,-7
2010,1,1,21,30,0,0,137.45000000000002,-7
2010,1,1,22,30,0,0,148.47,-7
2010,1,1,23,30,0,0,158.0,-7
2010,1,2,0,30,0,0,162.9,-7
2010,1,2,1,30,0,0,159.45000000000002,-7
2010,1,2,2,30,0,0,150.48,-8
2010,1,2,3,30,0,0,139.62,-8
2010,1,2,4,30,0,0,128.21,-9
2010,1,2,5,30,0,0,116.75,-10
2010,1,2,6,30,0,0,105.55,-10
2010,1,2,7,30,0,0,94.87,-9
2010,1,2,8,30,62,283,85.0,-8
2010,1,2,9,30,224,628,76.33,-7
2010,1,2,10,30,177,85,69.37,-7
2010,1,2,11,30,307,317,64.7,-6
2010,1,2,12,30,138,0,62.86,-6
2010,1,2,13,30,171,17,64.08,-6
2010,1,2,14,30,175,60,68.21000000000001,-6
2010,1,2,15,30,142,142,74.76,-6
2010,1,2,16,30,58,95,83.12,-7
2010,1,2,17,30,0,0,92.78,-7
2010,1,2,18,30,0,0,103.32,-7
2010,1,2,19,30,0,0,114.44,-8
2010,1,2,20,30,0,0,125.86,-8
2010,1,2,21,30,0,0,137.31,-8
2010,1,2,22,30,0,0,148.33,-9
2010,1,2,23,30,0,0,157.86,-9
2010,1,3,0,30,0,0,162.8,-10
2010,1,3,1,30,0,0,159.43,-10
2010,1,3,2,30,0,0,150.5,-12
2010,1,3,3,30,0,0,139.66,-13
2010,1,3,4,30,0,0,128.25,-14
2010,1,3,5,30,0,0,116.79,-15
2010,1,3,6,30,0,0,105.58,-16
2010,1,3,7,30,0,0,94.89,-15
2010,1,3,8,30,66,375,85.0,-14
2010,1,3,9,30,227,655,76.32000000000001,-13
2010,1,3,10,30,370,779,69.33,-11
2010,1,3,11,30,467,842,64.64,-10
2010,1,3,12,30,504,862,62.76,-8
2010,1,3,13,30,479,853,63.97,-7
2010,1,3,14,30,393,791,68.08,-7
2010,1,3,15,30,257,669,74.62,-7
2010,1,3,16,30,98,438,82.97,-7
2010,1,3,17,30,0,0,92.63,-7
2010,1,3,18,30,0,0,103.18,-7
2010,1,3,19,30,0,0,114.29,-7
2010,1,3,20,30,0,0,125.72,-7
2010,1,3,21,30,0,0,137.16,-7
2010,1,3,22,30,0,0,148.19,-7
2010,1,3,23,30,0,0,157.72,-7
2010,1,4,0,30,0,0,162.70000000000002,-7
2010,1,4,1,30,0,0,159.39,-7
2010,1,4,2,30,0,0,150.51,-7
2010,1,4,3,30,0,0,139.68,-7
2010,1,4,4,30,0,0,128.28,-7
2010,1,4,5,30,0,0,116.82,-7
2010,1,4,6,30,0,0,105.6,-7
2010,1,4,7,30,0,0,94.9,-7
2010,1,4,8,30,13,0,84.99,-7
2010,1,4,9,30,69,0,76.29,-6
2010,1,4,10,30,118,0,69.28,-5
2010,1,4,11,30,171,19,64.56,-5
2010,1,4,12,30,195,29,62.66,-4
2010,1,4,13,30,190,33,63.84,-4
2010,1,4,14,30,179,63,67.95,-4
2010,1,4,15,30,47,0,74.47,-4
2010,1,4,16,30,4,0,82.83,-4
2010,1,4,17,30,0,0,92.48,-5
2010,1,4,18,30,0,0,103.03,-5
2010,1,4,19,30,0,0,114.15,-5
2010,1,4,20,30,0,0,125.57,-5
2010,1,4,21,30,0,0,137.02,-6
2010,1,4,22,30,0,0,148.04,-6
2010,1,4,23,30,0,0,157.57,-6
2010,1,5,0,30,0,0,162.58,-7
2010,1,5,1,30,0,0,159.35,-7
2010,1,5,2,30,0,0,150.51,-7
2010,1,5,3,30,0,0,139.70000000000002,-7
2010,1,5,4,30,0,0,128.3,-7
2010,1,5,5,30,0,0,116.84,-8
2010,1,5,6,30,0,0,105.62,-8
2010,1,5,7,30,0,0,94.9,-8
2010,1,5,8,30,10,0,84.98,-7
2010,1,5,9,30,52,0,76.26,-6
2010,1,5,10,30,35,0,69.23,-5
2010,1,5,11,30,61,0,64.48,-4
2010,1,5,12,30,117,0,62.55,-4
2010,1,5,13,30,91,0,63.71,-4
2010,1,5,14,30,68,0,67.8,-4
2010,1,5,15,30,72,0,74.32000000000001,-4
2010,1,5,16,30,93,294,82.67,-4
2010,1,5,17,30,0,0,92.33,-5
2010,1,5,18,30,0,0,102.88,-5
2010,1,5,19,30,0,0,114.0,-6
2010,1,5,20,30,0,0,125.42,-6
2010,1,5,21,30,0,0,136.87,-6
2010,1,5,22,30,0,0,147.89,-6
2010,1,5,23,30,0,0,157.42000000000002,-7
2010,1,6,0,30,0,0,162.46,-7
2010,1,6,1,30,0,0,159.3,-7
2010,1,6,2,30,0,0,150.51,-8
2010,1,6,3,30,0,0,139.72,-8
2010,1,6,4,30,0,0,128.32,-8
2010,1,6,5,30,0,0,116.86,-8
2010,1,6,6,30,0,0,105.63,-8
2010,1,6,7,30,0,0,94.9,-8
2010,1,6,8,30,60,260,84.97,-7
2010,1,6,9,30,30,0,76.22,-6
2010,1,6,10,30,52,0,69.16,-5
2010,1,6,11,30,62,0,64.39,-4
2010,1,6,12,30,166,7,62.440000000000005,-4
2010,1,6,13,30,122,0,63.58,-3
2010,1,6,14,30,103,0,67.65,-3
2010,1,6,15,30,261,663,74.16,-3
2010,1,6,16,30,102,415,82.52,-4
2010,1,6,17,30,0,0,92.18,-5
2010,1,6,18,30,0,0,102.72,-6
2010,1,6,19,30,0,0,113.85,-6
2010,1,6,20,30,0,0,125.27,-6
2010,1,6,21,30,0,0,136.71,-7
2010,1,6,22,30,0,0,147.73,-7
2010,1,6,23,30,0,0,157.26,-8
2010,1,7,0,30,0,0,162.32,-8
2010,1,7,1,30,0,0,159.24,-8
2010,1,7,2,30,0,0,150.5,-8
2010,1,7,3,30,0,0,139.73,-8
2010,1,7,4,30,0,0,128.33,-8
2010,1,7,5,30,0,0,116.87,-8
2010,1,7,6,30,0,0,105.63,-8
2010,1,7,7,30,0,0,94.89,-8
2010,1,7,8,30,8,0,84.94,-7
2010,1,7,9,30,210,514,76.18,-6
2010,1,7,10,30,74,0,69.09,-6
2010,1,7,11,30,55,0,64.29,-5
2010,1,7,12,30,49,0,62.31,-5
2010,1,7,13,30,128,0,63.43,-5
2010,1,7,14,30,46,0,67.5,-4
2010,1,7,15,30,94,0,74.0,-4
2010,1,7,16,30,38,0,82.35000000000001,-5
2010,1,7,17,30,0,0,92.02,-5
2010,1,7,18,30,0,0,102.57,-5
2010,1,7,19,30,0,0,113.69,-5
2010,1,7,20,30,0,0,125.12,-7
2010,1,7,21,30,0,0,136.56,-8
