Latitude,Longitude
39.9526,-75.1652
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2010,1,1,0,30,0,0,162.17000000000002,0
2010,1,1,1,30,0,0,155.17000000000002,0
2010,1,1,2,30,0,0,144.92000000000002,0
2010,1,1,3,30,0,0,133.68,-1
2010,1,1,4,30,0,0,122.2,-1
2010,1,1,5,30,0,0,110.85,-1
2010,1,1,6,30,0,0,99.89,-2
2010,1,1,7,30,0,0,89.59,-1
2010,1,1,8,30,59,4,80.31,0
2010,1,1,9,30,85,0,72.49,1
2010,1,1,10,30,278,308,66.67,2
2010,1,1,11,30,328,336,63.440000000000005,3
2010,1,1,12,30,225,64,63.21,4
2010,1,1,13,30,194,60,66.02,3
2010,1,1,14,30,163,102,71.49,2
2010,1,1,15,30,80,48,79.05,1
2010,1,1,16,30,9,0,88.15,0
2010,1,1,17,30,0,0,98.31,0
2010,1,1,18,30,0,0,109.19,0
2010,1,1,19,30,0,0,120.5,0
2010,1,1,20,30,0,0,131.97,0
2010,1,1,21,30,0,0,143.28,0
2010,1,1,22,30,0,0,153.74,-1
2010,1,1,23,30,0,0,161.45000000000002,-1
2010,1,2,0,30,0,0,162.12,-1
2010,1,2,1,30,0,0,155.18,-2
2010,1,2,2,30,0,0,144.96,-2
2010,1,2,3,30,0,0,133.72,-2
2010,1,2,4,30,0,0,122.24,-2
2010,1,2,5,30,0,0,110.88,-3
2010,1,2,6,30,0,0,99.92,-3
2010,1,2,7,30,0,0,89.61,-3
2010,1,2,8,30,69,35,80.31,-3
2010,1,2,9,30,144,65,72.47,-2
2010,1,2,10,30,202,75,66.62,-2
2010,1,2,11,30,339,372,63.370000000000005,-2
2010,1,2,12,30,315,276,63.11,-2
2010,1,2,13,30,276,237,65.9,-2
2010,1,2,14,30,301,682,71.36,-3
2010,1,2,15,30,160,526,78.92,-4
2010,1,2,16,30,21,145,88.01,-5
2010,1,2,17,30,0,0,98.17,-6
2010,1,2,18,30,0,0,109.05,-6
