Latitude,Longitude
33.4484,-112.074
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,169.56,-3
2011,1,1,1,30,0,0,163.47,-3
2011,1,1,2,30,0,0,152.04,-3
2011,1,1,3,30,0,0,139.67000000000002,-3
2011,1,1,4,30,0,0,127.17,-3
2011,1,1,5,30,0,0,114.81,-4
2011,1,1,6,30,0,0,102.77,-4
2011,1,1,7,30,0,0,91.26,-3
2011,1,1,8,30,148,665,80.58,-1
2011,1,1,9,30,334,858,71.11,2
2011,1,1,10,30,487,942,63.45,5
2011,1,1,11,30,584,974,58.32,7
2011,1,1,12,30,618,983,56.43,8
2011,1,1,13,30,585,968,58.1,8
2011,1,1,14,30,488,922,63.04,9
2011,1,1,15,30,338,836,70.57000000000001,8
2011,1,1,16,30,155,643,79.94,5
2011,1,1,17,30,0,0,90.56,3
2011,1,1,18,30,0,0,102.03,2
2011,1,1,19,30,0,0,114.04,1
2011,1,1,20,30,0,0,126.39,0
2011,1,1,21,30,0,0,138.88,0
2011,1,1,22,30,0,0,151.26,0
2011,1,1,23,30,0,0,162.79,0
2011,1,2,0,30,0,0,169.47,-1
2011,1,2,1,30,0,0,163.49,-2
2011,1,2,2,30,0,0,152.09,-2
2011,1,2,3,30,0,0,139.73,-2
2011,1,2,4,30,0,0,127.23,-2
2011,1,2,5,30,0,0,114.86,-2
2011,1,2,6,30,0,0,102.82,-2
2011,1,2,7,30,0,0,91.3,-1
2011,1,2,8,30,61,17,80.60000000000001,2
2011,1,2,9,30,327,839,71.11,5
2011,1,2,10,30,477,922,63.42,9
2011,1,2,11,30,573,944,58.26,12
2011,1,2,12,30,511,656,56.34,13
2011,1,2,13,30,573,927,57.98,13
2011,1,2,14,30,373,474,62.91,13
2011,1,2,15,30,207,212,70.43,12
2011,1,2,16,30,61,0,79.8,9
2011,1,2,17,30,0,0,90.42,7
2011,1,2,18,30,0,0,101.89,5
2011,1,2,19,30,0,0,113.9,4
2011,1,2,20,30,0,0,126.25,4
2011,1,2,21,30,0,0,138.75,4
2011,1,2,22,30,0,0,151.13,4
2011,1,2,23,30,0,0,162.65,3
2011,1,3,0,30,0,0,169.38,3
