Latitude,Longitude
34.7465,-92.2896
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,167.68,5
2011,1,1,1,30,0,0,159.45000000000002,4
2011,1,1,2,30,0,0,147.9,3
2011,1,1,3,30,0,0,135.68,2
2011,1,1,4,30,0,0,123.37,1
2011,1,1,5,30,0,0,111.25,1
2011,1,1,6,30,0,0,99.52,0
2011,1,1,7,30,9,0,88.4,0
2011,1,1,8,30,43,0,78.22,1
2011,1,1,9,30,17,0,69.43,3
2011,1,1,10,30,246,97,62.65,4
2011,1,1,11,30,109,0,58.6,5
2011,1,1,12,30,426,409,57.85,6
2011,1,1,13,30,519,899,60.54,7
2011,1,1,14,30,417,872,66.25,6
2011,1,1,15,30,144,133,74.26,5
2011,1,1,16,30,86,527,83.91,2
2011,1,1,17,30,0,0,94.68,0
2011,1,1,18,30,0,0,106.18,0
2011,1,1,19,30,0,0,118.16,-1
2011,1,1,20,30,0,0,130.41,-1
2011,1,1,21,30,0,0,142.71,-2
2011,1,1,22,30,0,0,154.66,-3
2011,1,1,23,30,0,0,164.93,-4
2011,1,2,0,30,0,0,167.64,-5
2011,1,2,1,30,0,0,159.48,-5
2011,1,2,2,30,0,0,147.96,-6
2011,1,2,3,30,0,0,135.73,-6
2011,1,2,4,30,0,0,123.43,-6
2011,1,2,5,30,0,0,111.3,-6
2011,1,2,6,30,0,0,99.56,-5
2011,1,2,7,30,20,288,88.43,-4
2011,1,2,8,30,193,736,78.23,-1
2011,1,2,9,30,367,874,69.42,1
2011,1,2,10,30,502,946,62.61,3
2011,1,2,11,30,581,978,58.53,4
2011,1,2,12,30,595,987,57.76,5
2011,1,2,13,30,544,968,60.43,6
2011,1,2,14,30,432,919,66.12,5
2011,1,2,15,30,272,813,74.13,4
2011,1,2,16,30,90,555,83.77,1
2011,1,2,17,30,0,0,94.54,0
2011,1,2,18,30,0,0,106.04,0
2011,1,2,19,30,0,0,118.02,-1
2011,1,2,20,30,0,0,130.27,-2
2011,1,2,21,30,0,0,142.57,-3
2011,1,2,22,30,0,0,154.52,-3
2011,1,2,23,30,0,0,164.8,-4
2011,1,3,0,30,0,0,167.58,-4
2011,1,3,1,30,0,0,159.51,-4
2011,1,3,2,30,0,0,148.0,-4
2011,1,3,3,30,0,0,135.79,-5
2011,1,3,4,30,0,0,123.48,-5
2011,1,3,5,30,0,0,111.35,-5
2011,1,3,6,30,0,0,99.59,-4
2011,1,3,7,30,20,268,88.45,-2
2011,1,3,8,30,188,711,78.24,0
2011,1,3,9,30,361,861,69.41,2
2011,1,3,10,30,493,926,62.57,5
