Latitude,Longitude
39.7392,-104.9903
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,162.35,-13
2011,1,1,1,30,0,0,155.18,-13
2011,1,1,2,30,0,0,144.84,-13
2011,1,1,3,30,0,0,133.54,-13
2011,1,1,4,30,0,0,122.02,-13
2011,1,1,5,30,0,0,110.63,-13
2011,1,1,6,30,0,0,99.65,-13
2011,1,1,7,30,0,0,89.34,-12
2011,1,1,8,30,62,4,80.04,-9
2011,1,1,9,30,35,0,72.21000000000001,-7
2011,1,1,10,30,137,4,66.4,-5
2011,1,1,11,30,307,222,63.190000000000005,-5
2011,1,1,12,30,336,302,63.01,-5
2011,1,1,13,30,282,252,65.87,-5
2011,1,1,14,30,284,675,71.4,-6
2011,1,1,15,30,186,744,79.02,-7
2011,1,1,16,30,25,328,88.17,-8
2011,1,1,17,30,0,0,98.38,-9
2011,1,1,18,30,0,0,109.3,-10
2011,1,1,19,30,0,0,120.65,-11
2011,1,1,20,30,0,0,132.16,-11
2011,1,1,21,30,0,0,143.52,-11
2011,1,1,22,30,0,0,154.02,-11
2011,1,1,23,30,0,0,161.75,-10
2011,1,2,0,30,0,0,162.3,-10
2011,1,2,1,30,0,0,155.19,-9
2011,1,2,2,30,0,0,144.88,-9
2011,1,2,3,30,0,0,133.58,-8
2011,1,2,4,30,0,0,122.06,-8
2011,1,2,5,30,0,0,110.67,-7
2011,1,2,6,30,0,0,99.68,-6
2011,1,2,7,30,0,0,89.35000000000001,-5
2011,1,2,8,30,43,0,80.04,-3
2011,1,2,9,30,146,65,72.19,-1
2011,1,2,10,30,325,449,66.35,1
2011,1,2,11,30,206,40,63.120000000000005,3
2011,1,2,12,30,206,38,62.91,4
2011,1,2,13,30,462,966,65.75,4
2011,1,2,14,30,345,905,71.27,2
2011,1,2,15,30,187,757,78.89,0
2011,1,2,16,30,26,0,88.03,-1
2011,1,2,17,30,0,0,98.24,-2
2011,1,2,18,30,0,0,109.16,-3
2011,1,2,19,30,0,0,120.51,-3
2011,1,2,20,30,0,0,132.03,-4
2011,1,2,21,30,0,0,143.38,-4
2011,1,2,22,30,0,0,153.88,-5
2011,1,2,23,30,0,0,161.62,-5
2011,1,3,0,30,0,0,162.25,-5
2011,1,3,1,30,0,0,155.20000000000002,-5
2011,1,3,2,30,0,0,144.91,-5
2011,1,3,3,30,0,0,133.62,-5
2011,1,3,4,30,0,0,122.1,-5
2011,1,3,5,30,0,0,110.7,-6
2011,1,3,6,30,0,0,99.7,-6
2011,1,3,7,30,0,0,89.36,-5
2011,1,3,8,30,164,719,80.03,-2
2011,1,3,9,30,324,873,72.16,0
2011,1,3,10,30,444,939,66.3,0
2011,1,3,11,30,510,969,63.04,1
2011,1,3,12,30,514,967,62.81,2
2011,1,3,13,30,456,938,65.63,2
2011,1,3,14,30,342,874,71.13,1
2011,1,3,15,30,186,729,78.75,-1
2011,1,3,16,30,27,0,87.89,-3
2011,1,3,17,30,0,0,98.1,-4
2011,1,3,18,30,0,0,109.02,-5
2011,1,3,19,30,0,0,120.37,-6
2011,1,3,20,30,0,0,131.88,-7
