Latitude,Longitude
33.749,-84.388
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,169.03,8
2011,1,1,1,30,0,0,164.8,8
2011,1,1,2,30,0,0,153.82,8
2011,1,1,3,30,0,0,141.57,8
2011,1,1,4,30,0,0,129.11,8
2011,1,1,5,30,0,0,116.75,8
2011,1,1,6,30,0,0,104.68,8
2011,1,1,7,30,0,0,93.12,8
2011,1,1,8,30,3,0,82.32000000000001,9
2011,1,1,9,30,7,0,72.67,11
2011,1,1,10,30,43,0,64.72,13
2011,1,1,11,30,120,0,59.18,14
2011,1,1,12,30,23,0,56.77,15
2011,1,1,13,30,96,0,57.89,15
2011,1,1,14,30,75,0,62.35,16
2011,1,1,15,30,85,0,69.49,15
2011,1,1,16,30,30,0,78.58,13
2011,1,1,17,30,0,0,89.0,12
2011,1,1,18,30,0,0,100.32,12
2011,1,1,19,30,0,0,112.23,12
2011,1,1,20,30,0,0,124.51,12
2011,1,1,21,30,0,0,136.95000000000002,11
2011,1,1,22,30,0,0,149.33,11
2011,1,1,23,30,0,0,161.01,10
2011,1,2,0,30,0,0,168.93,9
2011,1,2,1,30,0,0,164.81,7
2011,1,2,2,30,0,0,153.87,6
2011,1,2,3,30,0,0,141.63,6
2011,1,2,4,30,0,0,129.17000000000002,5
2011,1,2,5,30,0,0,116.81,5
2011,1,2,6,30,0,0,104.73,4
2011,1,2,7,30,0,0,93.15,4
2011,1,2,8,30,50,25,82.34,5
2011,1,2,9,30,274,693,72.67,6
2011,1,2,10,30,235,112,64.7,8
2011,1,2,11,30,542,908,59.13,9
2011,1,2,12,30,594,946,56.69,10
2011,1,2,13,30,580,958,57.78,9
2011,1,2,14,30,502,941,62.22,8
2011,1,2,15,30,365,880,69.35000000000001,7
2011,1,2,16,30,187,728,78.44,4
2011,1,2,17,30,16,256,88.86,2
2011,1,2,18,30,0,0,100.19,0
2011,1,2,19,30,0,0,112.1,0
2011,1,2,20,30,0,0,124.37,0
2011,1,2,21,30,0,0,136.82,-1
2011,1,2,22,30,0,0,149.19,-2
2011,1,2,23,30,0,0,160.87,-3
2011,1,3,0,30,0,0,168.82,-4
2011,1,3,1,30,0,0,164.82,-4
2011,1,3,2,30,0,0,153.91,-5
2011,1,3,3,30,0,0,141.69,-5
2011,1,3,4,30,0,0,129.23,-6
2011,1,3,5,30,0,0,116.86,-6
2011,1,3,6,30,0,0,104.78,-6
2011,1,3,7,30,0,0,93.19,-5
2011,1,3,8,30,118,640,82.36,-2
2011,1,3,9,30,307,859,72.67,0
2011,1,3,10,30,465,947,64.67,3
2011,1,3,11,30,572,985,59.07,6
2011,1,3,12,30,615,995,56.6,7
2011,1,3,13,30,593,985,57.67,8
2011,1,3,14,30,507,948,62.09,8
2011,1,3,15,30,366,872,69.21000000000001,7
2011,1,3,16,30,187,710,78.3,6
2011,1,3,17,30,17,240,88.72,4
2011,1,3,18,30,0,0,100.04,2
2011,1,3,19,30,0,0,111.96,1
