Latitude,Longitude
21.3069,-157.8583
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,177.94,24
2011,1,1,1,30,0,0,167.12,24
2011,1,1,2,30,0,0,153.33,24
2011,1,1,3,30,0,0,139.56,24
2011,1,1,4,30,0,0,125.91,24
2011,1,1,5,30,0,0,112.43,24
2011,1,1,6,30,0,0,99.22,24
2011,1,1,7,30,37,248,86.43,24
2011,1,1,8,30,233,656,74.28,24
2011,1,1,9,30,436,812,63.16,24
2011,1,1,10,30,527,581,53.73,25
2011,1,1,11,30,709,914,47.01,25
2011,1,1,12,30,751,927,44.27,25
2011,1,1,13,30,721,919,46.23,25
2011,1,1,14,30,545,576,52.35,25
2011,1,1,15,30,263,105,61.41,25
2011,1,1,16,30,128,35,72.3,25
2011,1,1,17,30,25,0,84.3,25
2011,1,1,18,30,0,0,97.01,25
2011,1,1,19,30,0,0,110.16,25
2011,1,1,20,30,0,0,123.6,25
2011,1,1,21,30,0,0,137.23,24
2011,1,1,22,30,0,0,150.99,24
2011,1,1,23,30,0,0,164.79,24
2011,1,2,0,30,0,0,177.95000000000002,24
2011,1,2,1,30,0,0,167.23,24
2011,1,2,2,30,0,0,153.43,24
2011,1,2,3,30,0,0,139.66,24
2011,1,2,4,30,0,0,126.0,24
2011,1,2,5,30,0,0,112.51,24
2011,1,2,6,30,0,0,99.3,24
2011,1,2,7,30,16,0,86.49,24
2011,1,2,8,30,102,12,74.33,24
2011,1,2,9,30,253,121,63.190000000000005,25
2011,1,2,10,30,396,202,53.72,25
2011,1,2,11,30,544,349,46.97,25
2011,1,2,12,30,640,550,44.19,25
2011,1,2,13,30,708,851,46.11,25
2011,1,2,14,30,617,846,52.22,25
2011,1,2,15,30,461,774,61.27,25
2011,1,2,16,30,179,182,72.16,25
2011,1,2,17,30,55,183,84.17,25
2011,1,2,18,30,0,0,96.88,24
2011,1,2,19,30,0,0,110.03,24
2011,1,2,20,30,0,0,123.48,24
2011,1,2,21,30,0,0,137.12,24
2011,1,2,22,30,0,0,150.88,24
2011,1,2,23,30,0,0,164.69,24
2011,1,3,0,30,0,0,177.95000000000002,24
2011,1,3,1,30,0,0,167.35,24
2011,1,3,2,30,0,0,153.53,24
2011,1,3,3,30,0,0,139.76,24
2011,1,3,4,30,0,0,126.09,24
2011,1,3,5,30,0,0,112.59,24
2011,1,3,6,30,0,0,99.37,24
2011,1,3,7,30,35,203,86.55,24
2011,1,3,8,30,157,194,74.37,25
2011,1,3,9,30,302,245,63.2,25
2011,1,3,10,30,442,304,53.71,25
2011,1,3,11,30,711,899,46.91,25
2011,1,3,12,30,497,197,44.09,25
2011,1,3,13,30,723,896,45.98,25
2011,1,3,14,30,315,65,52.08,25
2011,1,3,15,30,309,197,61.120000000000005,25
2011,1,3,16,30,271,668,72.02,25
2011,1,3,17,30,68,331,84.03,25
2011,1,3,18,30,0,0,96.74,24
2011,1,3,19,30,0,0,109.9,24
2011,1,3,20,30,0,0,123.35,24
2011,1,3,21,30,0,0,137.0,24
2011,1,3,22,30,0,0,150.76,24
2011,1,3,23,30,0,0,164.59,24
2011,1,4,0,30,0,0,177.95000000000002,24
2011,1,4,1,30,0,0,167.46,24
2011,1,4,2,30,0,0,153.64,24
2011,1,4,3,30,0,0,139.85,24
2011,1,4,4,30,0,0,126.17,24
2011,1,4,5,30,0,0,112.67,24
2011,1,4,6,30,0,0,99.43,24
2011,1,4,7,30,35,198,86.60000000000001,24
2011,1,4,8,30,165,238,74.4,24
2011,1,4,9,30,293,220,63.22,24
2011,1,4,10,30,607,882,53.69,24
2011,1,4,11,30,717,917,46.86,24
2011,1,4,12,30,759,927,43.99,25
2011,1,4,13,30,729,915,45.85,25
2011,1,4,14,30,631,879,51.93,25
2011,1,4,15,30,474,813,60.98,25
2011,1,4,16,30,276,679,71.87,24
2011,1,4,17,30,70,345,83.89,24
2011,1,4,18,30,0,0,96.61,24
2011,1,4,19,30,0,0,109.77,24
2011,1,4,20,30,0,0,123.23,24
2011,1,4,21,30,0,0,136.88,24
2011,1,4,22,30,0,0,150.65,24
2011,1,4,23,30,0,0,164.49,24
2011,1,5,0,30,0,0,177.95000000000002,24
2011,1,5,1,30,0,0,167.57,24
2011,1,5,2,30,0,0,153.73,24
2011,1,5,3,30,0,0,139.94,24
2011,1,5,4,30,0,0,126.25,23
2011,1,5,5,30,0,0,112.74,23
2011,1,5,6,30,0,0,99.49,23
2011,1,5,7,30,36,243,86.65,23
2011,1,5,8,30,237,677,74.43,24
2011,1,5,9,30,447,836,63.22,24
2011,1,5,10,30,617,908,53.66,24
2011,1,5,11,30,727,936,46.79,24
2011,1,5,12,30,769,943,43.88,25
2011,1,5,13,30,739,931,45.72,25
2011,1,5,14,30,638,886,51.78,25
2011,1,5,15,30,479,814,60.82,25
2011,1,5,16,30,251,526,71.72,25
2011,1,5,17,30,70,313,83.75,25
2011,1,5,18,30,0,0,96.47,24
2011,1,5,19,30,0,0,109.64,24
2011,1,5,20,30,0,0,123.11,24
2011,1,5,21,30,0,0,136.76,24
2011,1,5,22,30,0,0,150.54,24
2011,1,5,23,30,0,0,164.39,23
2011,1,6,0,30,0,0,177.94,23
2011,1,6,1,30,0,0,167.68,23
2011,1,6,2,30,0,0,153.83,23
2011,1,6,3,30,0,0,140.03,23
2011,1,6,4,30,0,0,126.33,23
2011,1,6,5,30,0,0,112.81,23
2011,1,6,6,30,0,0,99.55,23
2011,1,6,7,30,30,98,86.69,23
2011,1,6,8,30,221,551,74.46000000000001,23
2011,1,6,9,30,428,742,63.22,23
2011,1,6,10,30,601,843,53.63,23
2011,1,6,11,30,718,904,46.72,23
2011,1,6,12,30,469,154,43.77,23
2011,1,6,13,30,549,323,45.57,23
2011,1,6,14,30,433,226,51.63,23
2011,1,6,15,30,481,810,60.67,23
2011,1,6,16,30,195,220,71.57000000000001,23
2011,1,6,17,30,75,355,83.60000000000001,23
2011,1,6,18,30,0,0,96.34,22
2011,1,6,19,30,0,0,109.51,22
2011,1,6,20,30,0,0,122.99,22
2011,1,6,21,30,0,0,136.65,22
2011,1,6,22,30,0,0,150.44,22
2011,1,6,23,30,0,0,164.29,22
2011,1,7,0,30,0,0,177.93,22
2011,1,7,1,30,0,0,167.79,22
2011,1,7,2,30,0,0,153.93,22
2011,1,7,3,30,0,0,140.11,21
2011,1,7,4,30,0,0,126.41,21
2011,1,7,5,30,0,0,112.88,21
2011,1,7,6,30,0,0,99.6,22
2011,1,7,7,30,15,0,86.73,22
2011,1,7,8,30,143,138,74.48,22
2011,1,7,9,30,85,0,63.22,22
2011,1,7,10,30,214,11,53.59,22
2011,1,7,11,30,379,82,46.64,23
2011,1,7,12,30,352,46,43.65,23
2011,1,7,13,30,639,572,45.42,23
2011,1,7,14,30,425,209,51.46,23
2011,1,7,15,30,486,823,60.51,23
2011,1,7,16,30,211,286,71.42,23
2011,1,7,17,30,77,367,83.46000000000001,22
2011,1,7,18,30,0,0,96.2,22
