Latitude,Longitude
32.2988,-90.1848
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,169.1,17
2011,1,1,1,30,0,0,158.88,16
2011,1,1,2,30,0,0,146.56,14
2011,1,1,3,30,0,0,133.9,12
2011,1,1,4,30,0,0,121.29,11
2011,1,1,5,30,0,0,108.92,9
2011,1,1,6,30,0,0,96.96,8
2011,1,1,7,30,17,0,85.64,8
2011,1,1,8,30,86,0,75.3,9
2011,1,1,9,30,156,16,66.42,9
2011,1,1,10,30,133,0,59.68,10
2011,1,1,11,30,410,286,55.870000000000005,10
2011,1,1,12,30,250,34,55.61,11
2011,1,1,13,30,521,832,58.93,11
2011,1,1,14,30,405,769,65.3,10
2011,1,1,15,30,244,636,73.92,9
2011,1,1,16,30,70,335,84.08,8
2011,1,1,17,30,0,0,95.28,6
2011,1,1,18,30,0,0,107.16,5
2011,1,1,19,30,0,0,119.49,4
2011,1,1,20,30,0,0,132.07,3
2011,1,1,21,30,0,0,144.74,2
2011,1,1,22,30,0,0,157.14,1
2011,1,1,23,30,0,0,167.93,1
2011,1,2,0,30,0,0,169.08,0
2011,1,2,1,30,0,0,158.93,0
2011,1,2,2,30,0,0,146.62,0
2011,1,2,3,30,0,0,133.97,0
2011,1,2,4,30,0,0,121.35,-1
2011,1,2,5,30,0,0,108.97,-2
2011,1,2,6,30,0,0,97.0,-2
2011,1,2,7,30,56,430,85.67,-1
2011,1,2,8,30,243,764,75.32000000000001,1
2011,1,2,9,30,420,895,66.42,3
2011,1,2,10,30,552,956,59.65,5
2011,1,2,11,30,624,983,55.8,6
2011,1,2,12,30,629,985,55.51,6
2011,1,2,13,30,569,965,58.81,7
2011,1,2,14,30,447,915,65.17,6
2011,1,2,15,30,277,808,73.78,4
2011,1,2,16,30,86,539,83.94,1
2011,1,2,17,30,0,0,95.14,0
2011,1,2,18,30,0,0,107.03,0
2011,1,2,19,30,0,0,119.35,-1
2011,1,2,20,30,0,0,131.94,-1
2011,1,2,21,30,0,0,144.6,-2
2011,1,2,22,30,0,0,157.01,-3
2011,1,2,23,30,0,0,167.8,-3
2011,1,3,0,30,0,0,169.05,-3
2011,1,3,1,30,0,0,158.98,-4
2011,1,3,2,30,0,0,146.68,-4
2011,1,3,3,30,0,0,134.03,-4
2011,1,3,4,30,0,0,121.41,-4
2011,1,3,5,30,0,0,109.02,-4
2011,1,3,6,30,0,0,97.04,-3
2011,1,3,7,30,54,407,85.7,-1
2011,1,3,8,30,237,734,75.33,1
2011,1,3,9,30,343,588,66.4,4
2011,1,3,10,30,424,495,59.6,7
2011,1,3,11,30,609,947,55.73,8
2011,1,3,12,30,615,954,55.4,9
2011,1,3,13,30,555,934,58.69,10
2011,1,3,14,30,434,877,65.03,10
2011,1,3,15,30,266,747,73.64,9
2011,1,3,16,30,81,460,83.8,6
2011,1,3,17,30,0,0,95.0,4
2011,1,3,18,30,0,0,106.89,3
2011,1,3,19,30,0,0,119.22,1
2011,1,3,20,30,0,0,131.8,1
2011,1,3,21,30,0,0,144.46,1
2011,1,3,22,30,0,0,156.87,1
2011,1,3,23,30,0,0,167.65,1
2011,1,4,0,30,0,0,169.02,1
2011,1,4,1,30,0,0,159.02,0
2011,1,4,2,30,0,0,146.74,0
2011,1,4,3,30,0,0,134.09,0
2011,1,4,4,30,0,0,121.47,0
2011,1,4,5,30,0,0,109.07,0
2011,1,4,6,30,0,0,97.08,1
2011,1,4,7,30,27,12,85.72,3
2011,1,4,8,30,132,104,75.33,6
2011,1,4,9,30,233,133,66.38,10
2011,1,4,10,30,512,803,59.55,13
2011,1,4,11,30,582,841,55.64,15
2011,1,4,12,30,591,866,55.29,16
2011,1,4,13,30,531,836,58.55,16
2011,1,4,14,30,413,771,64.89,16
2011,1,4,15,30,252,645,73.49,15
2011,1,4,16,30,34,0,83.65,13
2011,1,4,17,30,0,0,94.85,12
2011,1,4,18,30,0,0,106.74,11
2011,1,4,19,30,0,0,119.08,9
2011,1,4,20,30,0,0,131.67000000000002,7
2011,1,4,21,30,0,0,144.33,6
2011,1,4,22,30,0,0,156.72,6
2011,1,4,23,30,0,0,167.51,6
2011,1,5,0,30,0,0,168.97,7
2011,1,5,1,30,0,0,159.05,6
2011,1,5,2,30,0,0,146.79,6
2011,1,5,3,30,0,0,134.14,6
2011,1,5,4,30,0,0,121.51,7
2011,1,5,5,30,0,0,109.11,7
2011,1,5,6,30,0,0,97.11,7
2011,1,5,7,30,41,147,85.74,8
2011,1,5,8,30,40,0,75.32000000000001,10
2011,1,5,9,30,193,63,66.35,12
2011,1,5,10,30,78,0,59.49,13
2011,1,5,11,30,147,0,55.55,14
2011,1,5,12,30,320,99,55.17,15
2011,1,5,13,30,286,94,58.41,15
2011,1,5,14,30,225,94,64.74,14
2011,1,5,15,30,160,157,73.34,13
2011,1,5,16,30,74,265,83.5,12
2011,1,5,17,30,0,0,94.71,11
2011,1,5,18,30,0,0,106.6,9
2011,1,5,19,30,0,0,118.94,8
2011,1,5,20,30,0,0,131.53,7
2011,1,5,21,30,0,0,144.19,6
2011,1,5,22,30,0,0,156.58,5
2011,1,5,23,30,0,0,167.35,5
2011,1,6,0,30,0,0,168.92000000000002,5
2011,1,6,1,30,0,0,159.07,5
2011,1,6,2,30,0,0,146.83,4
2011,1,6,3,30,0,0,134.18,4
2011,1,6,4,30,0,0,121.56,3
2011,1,6,5,30,0,0,109.15,2
2011,1,6,6,30,0,0,97.14,2
2011,1,6,7,30,48,318,85.75,3
2011,1,6,8,30,227,678,75.31,5
2011,1,6,9,30,400,823,66.31,8
2011,1,6,10,30,531,893,59.42,10
2011,1,6,11,30,604,922,55.45,11
2011,1,6,12,30,611,925,55.04,11
2011,1,6,13,30,553,905,58.27,11
2011,1,6,14,30,437,857,64.58,11
2011,1,6,15,30,272,748,73.18,9
2011,1,6,16,30,87,472,83.35000000000001,6
2011,1,6,17,30,0,0,94.56,4
2011,1,6,18,30,0,0,106.45,4
2011,1,6,19,30,0,0,118.79,3
2011,1,6,20,30,0,0,131.39,3
2011,1,6,21,30,0,0,144.04,3
2011,1,6,22,30,0,0,156.43,2
2011,1,6,23,30,0,0,167.19,2
2011,1,7,0,30,0,0,168.85,2
2011,1,7,1,30,0,0,159.09,2
2011,1,7,2,30,0,0,146.87,2
2011,1,7,3,30,0,0,134.23,2
2011,1,7,4,30,0,0,121.6,2
2011,1,7,5,30,0,0,109.18,2
2011,1,7,6,30,0,0,97.15,2
2011,1,7,7,30,51,367,85.75,4
2011,1,7,8,30,232,712,75.3,7
2011,1,7,9,30,405,851,66.27,10
2011,1,7,10,30,533,908,59.35,13
2011,1,7,11,30,602,929,55.34,15
2011,1,7,12,30,511,575,54.9,16
2011,1,7,13,30,424,412,58.11,16
2011,1,7,14,30,426,815,64.42,15
2011,1,7,15,30,263,687,73.02,14
2011,1,7,16,30,75,306,83.19,12
2011,1,7,17,30,0,0,94.4,11
2011,1,7,18,30,0,0,106.31,10
2011,1,7,19,30,0,0,118.65,9
2011,1,7,20,30,0,0,131.24,8
2011,1,7,21,30,0,0,143.9,7
2011,1,7,22,30,0,0,156.28,5
2011,1,7,23,30,0,0,167.03,3
2011,1,8,0,30,0,0,168.78,2
2011,1,8,1,30,0,0,159.11,1
2011,1,8,2,30,0,0,146.9,0
2011,1,8,3,30,0,0,134.27,0
2011,1,8,4,30,0,0,121.63,0
2011,1,8,5,30,0,0,109.2,0
2011,1,8,6,30,0,0,97.17,0
2011,1,8,7,30,55,434,85.75,1
2011,1,8,8,30,243,764,75.27,4
2011,1,8,9,30,420,888,66.22,6
2011,1,8,10,30,552,946,59.27,7
2011,1,8,11,30,625,971,55.23,8
2011,1,8,12,30,632,973,54.76,9
2011,1,8,13,30,573,949,57.95,9
2011,1,8,14,30,453,897,64.26,8
