Latitude,Longitude
36.1716,-115.1391
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,163.49,-2
2011,1,1,1,30,0,0,153.58,-2
2011,1,1,2,30,0,0,141.91,-3
2011,1,1,3,30,0,0,129.84,-3
2011,1,1,4,30,0,0,117.8,-3
2011,1,1,5,30,0,0,106.02,-4
2011,1,1,6,30,0,0,94.73,-3
2011,1,1,7,30,1,0,84.21000000000001,-1
2011,1,1,8,30,196,448,74.82000000000001,0
2011,1,1,9,30,274,304,67.1,0
2011,1,1,10,30,506,922,61.690000000000005,1
2011,1,1,11,30,551,937,59.24,2
2011,1,1,12,30,533,925,60.120000000000005,3
2011,1,1,13,30,455,888,64.2,3
2011,1,1,14,30,322,802,70.92,2
2011,1,1,15,30,155,616,79.59,1
2011,1,1,16,30,0,0,89.63,0
2011,1,1,17,30,0,0,100.6,0
2011,1,1,18,30,0,0,112.17,-1
2011,1,1,19,30,0,0,124.12,-1
2011,1,1,20,30,0,0,136.21,-1
2011,1,1,21,30,0,0,148.14,-1
2011,1,1,22,30,0,0,159.17000000000002,-1
2011,1,1,23,30,0,0,166.4,-2
2011,1,2,0,30,0,0,163.48,-1
2011,1,2,1,30,0,0,153.62,-1
2011,1,2,2,30,0,0,141.96,-1
2011,1,2,3,30,0,0,129.9,-2
2011,1,2,4,30,0,0,117.85,-2
2011,1,2,5,30,0,0,106.06,-2
2011,1,2,6,30,0,0,94.76,-1
2011,1,2,7,30,63,297,84.22,0
2011,1,2,8,30,126,82,74.82000000000001,1
2011,1,2,9,30,397,859,67.07000000000001,3
2011,1,2,10,30,502,911,61.63,4
2011,1,2,11,30,419,436,59.16,5
2011,1,2,12,30,268,87,60.02,6
2011,1,2,13,30,275,186,64.08,5
2011,1,2,14,30,140,34,70.79,4
2011,1,2,15,30,43,0,79.45,3
2011,1,2,16,30,0,0,89.49,2
2011,1,2,17,30,0,0,100.46,1
2011,1,2,18,30,0,0,112.03,1
2011,1,2,19,30,0,0,123.98,1
2011,1,2,20,30,0,0,136.07,1
2011,1,2,21,30,0,0,148.0,1
2011,1,2,22,30,0,0,159.03,0
2011,1,2,23,30,0,0,166.29,0
2011,1,3,0,30,0,0,163.47,0
2011,1,3,1,30,0,0,153.65,0
2011,1,3,2,30,0,0,142.01,0
2011,1,3,3,30,0,0,129.95,0
2011,1,3,4,30,0,0,117.89,0
