Latitude,Longitude
35.0844,-106.6504
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,167.16,-8
2011,1,1,1,30,0,0,158.82,-8
2011,1,1,2,30,0,0,147.32,-9
2011,1,1,3,30,0,0,135.14,-9
2011,1,1,4,30,0,0,122.9,-10
2011,1,1,5,30,0,0,110.83,-11
2011,1,1,6,30,0,0,99.16,-11
2011,1,1,7,30,25,314,88.12,-10
2011,1,1,8,30,202,768,78.04,-7
2011,1,1,9,30,380,920,69.38,-5
2011,1,1,10,30,516,990,62.74,-3
2011,1,1,11,30,591,1013,58.85,-1
2011,1,1,12,30,461,523,58.25,0
2011,1,1,13,30,408,470,61.06,0
2011,1,1,14,30,425,927,66.84,0
2011,1,1,15,30,261,813,74.89,-1
2011,1,1,16,30,77,530,84.54,-3
2011,1,1,17,30,0,0,95.3,-4
2011,1,1,18,30,0,0,106.78,-5
2011,1,1,19,30,0,0,118.73,-6
2011,1,1,20,30,0,0,130.94,-7
2011,1,1,21,30,0,0,143.17000000000002,-8
2011,1,1,22,30,0,0,155.01,-8
2011,1,1,23,30,0,0,164.99,-9
2011,1,2,0,30,0,0,167.12,-9
2011,1,2,1,30,0,0,158.85,-10
2011,1,2,2,30,0,0,147.37,-10
2011,1,2,3,30,0,0,135.2,-11
2011,1,2,4,30,0,0,122.95,-11
2011,1,2,5,30,0,0,110.88,-11
2011,1,2,6,30,0,0,99.2,-11
2011,1,2,7,30,24,337,88.15,-10
2011,1,2,8,30,201,773,78.05,-7
2011,1,2,9,30,375,910,69.36,-4
2011,1,2,10,30,506,967,62.7,-1
2011,1,2,11,30,579,982,58.78,1
2011,1,2,12,30,590,987,58.16,2
2011,1,2,13,30,536,967,60.94,3
2011,1,2,14,30,422,919,66.71000000000001,4
2011,1,2,15,30,260,806,74.75,2
2011,1,2,16,30,77,503,84.4,0
2011,1,2,17,30,0,0,95.16,0
2011,1,2,18,30,0,0,106.64,-1
2011,1,2,19,30,0,0,118.59,-1
2011,1,2,20,30,0,0,130.8,-1
2011,1,2,21,30,0,0,143.04,-2
2011,1,2,22,30,0,0,154.87,-2
2011,1,2,23,30,0,0,164.85,-2
2011,1,3,0,30,0,0,167.06,-3
2011,1,3,1,30,0,0,158.87,-3
2011,1,3,2,30,0,0,147.42000000000002,-3
2011,1,3,3,30,0,0,135.25,-3
2011,1,3,4,30,0,0,123.0,-3
2011,1,3,5,30,0,0,110.93,-3
2011,1,3,6,30,0,0,99.24,-3
2011,1,3,7,30,12,0,88.17,-2
2011,1,3,8,30,104,110,78.06,0
2011,1,3,9,30,186,97,69.35000000000001,1
2011,1,3,10,30,332,281,62.66,3
2011,1,3,11,30,472,606,58.7,4
2011,1,3,12,30,494,652,58.05,5
2011,1,3,13,30,539,966,60.82,6
2011,1,3,14,30,426,915,66.57000000000001,5
2011,1,3,15,30,263,797,74.61,3
2011,1,3,16,30,79,498,84.26,1
2011,1,3,17,30,0,0,95.01,1
2011,1,3,18,30,0,0,106.5,1
2011,1,3,19,30,0,0,118.45,1
2011,1,3,20,30,0,0,130.66,0
2011,1,3,21,30,0,0,142.9,0
2011,1,3,22,30,0,0,154.73,0
2011,1,3,23,30,0,0,164.71,0
2011,1,4,0,30,0,0,167.0,-1
2011,1,4,1,30,0,0,158.89,-1
2011,1,4,2,30,0,0,147.46,-2
2011,1,4,3,30,0,0,135.3,-2
2011,1,4,4,30,0,0,123.05,-3
2011,1,4,5,30,0,0,110.97,-4
2011,1,4,6,30,0,0,99.27,-4
2011,1,4,7,30,22,275,88.19,-3
