Latitude,Longitude
40.7608,-111.891
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2011,1,1,0,30,0,0,162.24,-19
2011,1,1,1,30,0,0,158.33,-19
2011,1,1,2,30,0,0,149.36,-20
2011,1,1,3,30,0,0,138.61,-20
2011,1,1,4,30,0,0,127.33,-20
2011,1,1,5,30,0,0,116.02,-21
2011,1,1,6,30,0,0,104.97,-21
2011,1,1,7,30,0,0,94.46,-22
2011,1,1,8,30,41,87,84.8,-20
2011,1,1,9,30,98,34,76.37,-17
2011,1,1,10,30,378,899,69.69,-13
2011,1,1,11,30,466,918,65.31,-11
2011,1,1,12,30,499,937,63.75,-9
2011,1,1,13,30,469,925,65.19,-7
2011,1,1,14,30,380,878,69.46000000000001,-7
2011,1,1,15,30,242,770,76.06,-9
2011,1,1,16,30,80,504,84.42,-11
2011,1,1,17,30,0,0,94.04,-14
2011,1,1,18,30,0,0,104.52,-16
2011,1,1,19,30,0,0,115.54,-17
2011,1,1,20,30,0,0,126.85,-18
2011,1,1,21,30,0,0,138.14,-19
2011,1,1,22,30,0,0,148.91,-19
2011,1,1,23,30,0,0,157.98,-19
2011,1,2,0,30,0,0,162.16,-19
2011,1,2,1,30,0,0,158.32,-19
2011,1,2,2,30,0,0,149.39,-19
2011,1,2,3,30,0,0,138.65,-19
2011,1,2,4,30,0,0,127.37,-18
2011,1,2,5,30,0,0,116.05,-17
2011,1,2,6,30,0,0,105.0,-16
2011,1,2,7,30,0,0,94.48,-14
2011,1,2,8,30,11,0,84.8,-13
2011,1,2,9,30,229,753,76.36,-10
2011,1,2,10,30,364,859,69.65,-7
2011,1,2,11,30,452,900,65.25,-5
2011,1,2,12,30,482,905,63.66,-3
2011,1,2,13,30,203,56,65.08,-2
2011,1,2,14,30,364,821,69.33,-2
2011,1,2,15,30,130,133,75.92,-2
2011,1,2,16,30,14,0,84.28,-4
2011,1,2,17,30,0,0,93.9,-6
2011,1,2,18,30,0,0,104.38,-7
2011,1,2,19,30,0,0,115.4,-8
2011,1,2,20,30,0,0,126.71,-9
2011,1,2,21,30,0,0,138.0,-9
2011,1,2,22,30,0,0,148.77,-9
2011,1,2,23,30,0,0,157.85,-9
2011,1,3,0,30,0,0,162.07,-10
2011,1,3,1,30,0,0,158.29,-10
2011,1,3,2,30,0,0,149.4,-10
2011,1,3,3,30,0,0,138.68,-10
2011,1,3,4,30,0,0,127.41,-10
2011,1,3,5,30,0,0,116.09,-10
2011,1,3,6,30,0,0,105.03,-10
2011,1,3,7,30,0,0,94.5,-10
2011,1,3,8,30,17,0,84.8,-9
2011,1,3,9,30,76,0,76.34,-7
2011,1,3,10,30,182,94,69.61,-5
2011,1,3,11,30,161,15,65.18,-3
2011,1,3,12,30,197,35,63.56,-1
2011,1,3,13,30,456,862,64.96000000000001,-1
2011,1,3,14,30,369,804,69.2,-1
2011,1,3,15,30,234,681,75.78,-2
2011,1,3,16,30,78,407,84.14,-4
2011,1,3,17,30,0,0,93.76,-5
2011,1,3,18,30,0,0,104.23,-6
2011,1,3,19,30,0,0,115.26,-7
2011,1,3,20,30,0,0,126.57,-8
2011,1,3,21,30,0,0,137.85,-8
2011,1,3,22,30,0,0,148.63,-9
2011,1,3,23,30,0,0,157.71,-9
2011,1,4,0,30,0,0,161.96,-9
2011,1,4,1,30,0,0,158.26,-9
2011,1,4,2,30,0,0,149.41,-9
2011,1,4,3,30,0,0,138.71,-10
2011,1,4,4,30,0,0,127.43,-10
2011,1,4,5,30,0,0,116.11,-10
2011,1,4,6,30,0,0,105.05,-10
2011,1,4,7,30,0,0,94.51,-10
2011,1,4,8,30,22,0,84.8,-9
2011,1,4,9,30,73,0,76.31,-8
2011,1,4,10,30,71,0,69.56,-6
2011,1,4,11,30,223,89,65.11,-4
2011,1,4,12,30,317,271,63.46,-2
