Latitude,Longitude
44.9778,-93.265
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2012,1,1,0,30,0,0,157.89,0
2012,1,1,1,30,0,0,153.41,-1
2012,1,1,2,30,0,0,145.07,-2
2012,1,1,3,30,0,0,135.12,-3
2012,1,1,4,30,0,0,124.59,-3
2012,1,1,5,30,0,0,114.03,-4
2012,1,1,6,30,0,0,103.75,-4
2012,1,1,7,30,0,0,94.06,-4
2012,1,1,8,30,15,0,85.28,-3
2012,1,1,9,30,50,0,77.84,-2
2012,1,1,10,30,80,0,72.18,-2
2012,1,1,11,30,98,0,68.79,-2
2012,1,1,12,30,101,0,68.04,-2
2012,1,1,13,30,131,13,70.0,-2
2012,1,1,14,30,258,685,74.46000000000001,-2
2012,1,1,15,30,132,517,80.98,-3
2012,1,1,16,30,0,0,89.07000000000001,-4
2012,1,1,17,30,0,0,98.3,-5
2012,1,1,18,30,0,0,108.29,-5
2012,1,1,19,30,0,0,118.74,-6
2012,1,1,20,30,0,0,129.33,-7
2012,1,1,21,30,0,0,139.67000000000002,-7
2012,1,1,22,30,0,0,149.07,-7
2012,1,1,23,30,0,0,156.01,-8
2012,1,2,0,30,0,0,157.82,-8
2012,1,2,1,30,0,0,153.39,-8
2012,1,2,2,30,0,0,145.09,-9
2012,1,2,3,30,0,0,135.14,-9
2012,1,2,4,30,0,0,124.62,-9
2012,1,2,5,30,0,0,114.05,-10
2012,1,2,6,30,0,0,103.77,-11
2012,1,2,7,30,0,0,94.07,-11
2012,1,2,8,30,67,503,85.28,-10
2012,1,2,9,30,208,756,77.81,-10
2012,1,2,10,30,326,863,72.14,-9
2012,1,2,11,30,398,911,68.73,-8
2012,1,2,12,30,414,924,67.95,-7
2012,1,2,13,30,373,903,69.89,-7
2012,1,2,14,30,280,838,74.34,-7
2012,1,2,15,30,148,686,80.85000000000001,-9
2012,1,2,16,30,16,260,88.94,-11
2012,1,2,17,30,0,0,98.17,-12
2012,1,2,18,30,0,0,108.16,-13
2012,1,2,19,30,0,0,118.6,-13
2012,1,2,20,30,0,0,129.19,-13
2012,1,2,21,30,0,0,139.53,-13
2012,1,2,22,30,0,0,148.94,-13
2012,1,2,23,30,0,0,155.89,-13
2012,1,3,0,30,0,0,157.74,-13
2012,1,3,1,30,0,0,153.36,-13
2012,1,3,2,30,0,0,145.09,-14
2012,1,3,3,30,0,0,135.16,-14
2012,1,3,4,30,0,0,124.65,-14
2012,1,3,5,30,0,0,114.08,-14
2012,1,3,6,30,0,0,103.78,-14
2012,1,3,7,30,0,0,94.07,-13
2012,1,3,8,30,60,402,85.27,-12
2012,1,3,9,30,139,325,77.78,-9
2012,1,3,10,30,178,173,72.08,-7
2012,1,3,11,30,268,375,68.65,-5
2012,1,3,12,30,252,264,67.85,-4
2012,1,3,13,30,284,545,69.78,-3
2012,1,3,14,30,195,390,74.21000000000001,-3
2012,1,3,15,30,108,310,80.71000000000001,-3
2012,1,3,16,30,11,0,88.8,-4
2012,1,3,17,30,0,0,98.02,-5
2012,1,3,18,30,0,0,108.01,-5
2012,1,3,19,30,0,0,118.46,-5
2012,1,3,20,30,0,0,129.05,-6
2012,1,3,21,30,0,0,139.39,-6
2012,1,3,22,30,0,0,148.79,-6
2012,1,3,23,30,0,0,155.76,-6
2012,1,4,0,30,0,0,157.66,-6
2012,1,4,1,30,0,0,153.33,-5
2012,1,4,2,30,0,0,145.09,-5
2012,1,4,3,30,0,0,135.18,-6
2012,1,4,4,30,0,0,124.67,-6
2012,1,4,5,30,0,0,114.09,-7
2012,1,4,6,30,0,0,103.79,-7
2012,1,4,7,30,0,0,94.07,-6
2012,1,4,8,30,33,47,85.25,-5
2012,1,4,9,30,141,335,77.75,-4
2012,1,4,10,30,211,317,72.02,-2
2012,1,4,11,30,312,596,68.57000000000001,0
2012,1,4,12,30,392,859,67.74,1
2012,1,4,13,30,353,834,69.65,2
2012,1,4,14,30,174,259,74.07000000000001,1
2012,1,4,15,30,140,604,80.57000000000001,0
2012,1,4,16,30,17,222,88.65,-1
2012,1,4,17,30,0,0,97.88,-2
2012,1,4,18,30,0,0,107.87,-2
2012,1,4,19,30,0,0,118.31,-2
2012,1,4,20,30,0,0,128.9,-3
2012,1,4,21,30,0,0,139.24,-3
2012,1,4,22,30,0,0,148.65,-2
2012,1,4,23,30,0,0,155.63,-2
