Latitude,Longitude
35.2271,-80.8431
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2012,1,1,0,30,0,0,167.81,5
2012,1,1,1,30,0,0,161.62,4
2012,1,1,2,30,0,0,150.6,4
2012,1,1,3,30,0,0,138.55,3
2012,1,1,4,30,0,0,126.31,3
2012,1,1,5,30,0,0,114.19,2
2012,1,1,6,30,0,0,102.4,2
2012,1,1,7,30,0,0,91.18,4
2012,1,1,8,30,126,528,80.81,5
2012,1,1,9,30,288,708,71.71000000000001,8
2012,1,1,10,30,38,0,64.46000000000001,11
2012,1,1,11,30,173,5,59.75,13
2012,1,1,12,30,428,431,58.22,14
2012,1,1,13,30,486,780,60.1,15
2012,1,1,14,30,348,477,65.1,16
2012,1,1,15,30,147,85,72.57000000000001,15
2012,1,1,16,30,97,313,81.82000000000001,14
2012,1,1,17,30,0,0,92.3,12
2012,1,1,18,30,0,0,103.59,11
2012,1,1,19,30,0,0,115.42,9
2012,1,1,20,30,0,0,127.56,8
2012,1,1,21,30,0,0,139.79,6
2012,1,1,22,30,0,0,151.79,5
2012,1,1,23,30,0,0,162.56,4
2012,1,2,0,30,0,0,167.73,4
2012,1,2,1,30,0,0,161.64,3
2012,1,2,2,30,0,0,150.65,2
2012,1,2,3,30,0,0,138.6,1
2012,1,2,4,30,0,0,126.36,0
2012,1,2,5,30,0,0,114.24,0
2012,1,2,6,30,0,0,102.45,0
2012,1,2,7,30,0,0,91.21,0
2012,1,2,8,30,141,658,80.83,2
2012,1,2,9,30,318,848,71.71000000000001,3
2012,1,2,10,30,462,938,64.44,4
2012,1,2,11,30,554,975,59.7,5
2012,1,2,12,30,582,984,58.13,6
2012,1,2,13,30,546,966,59.99,7
2012,1,2,14,30,448,920,64.98,6
2012,1,2,15,30,299,819,72.44,5
2012,1,2,16,30,120,572,81.68,3
2012,1,2,17,30,0,0,92.16,1
2012,1,2,18,30,0,0,103.45,0
2012,1,2,19,30,0,0,115.28,0
2012,1,2,20,30,0,0,127.42,-1
2012,1,2,21,30,0,0,139.66,-2
2012,1,2,22,30,0,0,151.65,-2
2012,1,2,23,30,0,0,162.42000000000002,-3
