Latitude,Longitude
45.5152,-122.6784
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2012,1,1,0,30,0,0,157.26,2
2012,1,1,1,30,0,0,152.71,2
2012,1,1,2,30,0,0,144.44,2
2012,1,1,3,30,0,0,134.58,2
2012,1,1,4,30,0,0,124.17,2
2012,1,1,5,30,0,0,113.7,2
2012,1,1,6,30,0,0,103.53,2
2012,1,1,7,30,0,0,93.96,2
2012,1,1,8,30,19,0,85.32000000000001,2
2012,1,1,9,30,57,0,78.01,3
2012,1,1,10,30,204,318,72.5,3
2012,1,1,11,30,230,247,69.26,5
2012,1,1,12,30,181,80,68.62,6
2012,1,1,13,30,204,202,70.66,7
2012,1,1,14,30,139,148,75.15,6
2012,1,1,15,30,110,474,81.67,4
2012,1,1,16,30,0,0,89.73,4
2012,1,1,17,30,0,0,98.91,4
2012,1,1,18,30,0,0,108.83,4
2012,1,1,19,30,0,0,119.19,4
2012,1,1,20,30,0,0,129.67000000000002,3
2012,1,1,21,30,0,0,139.87,3
2012,1,1,22,30,0,0,149.06,3
2012,1,1,23,30,0,0,155.69,3
2012,1,2,0,30,0,0,157.20000000000002,3
2012,1,2,1,30,0,0,152.69,2
2012,1,2,2,30,0,0,144.45000000000002,2
2012,1,2,3,30,0,0,134.61,2
2012,1,2,4,30,0,0,124.19,1
2012,1,2,5,30,0,0,113.73,1
2012,1,2,6,30,0,0,103.55,1
2012,1,2,7,30,0,0,93.97,1
2012,1,2,8,30,20,0,85.31,3
2012,1,2,9,30,117,187,77.99,6
2012,1,2,10,30,19,0,72.45,8
2012,1,2,11,30,8,0,69.19,9
2012,1,2,12,30,50,0,68.52,10
2012,1,2,13,30,120,4,70.55,10
2012,1,2,14,30,29,0,75.03,10
2012,1,2,15,30,52,5,81.54,10
2012,1,2,16,30,0,0,89.59,9
2012,1,2,17,30,0,0,98.77,9
2012,1,2,18,30,0,0,108.69,8
2012,1,2,19,30,0,0,119.05,8
2012,1,2,20,30,0,0,129.53,7
2012,1,2,21,30,0,0,139.73,7
2012,1,2,22,30,0,0,148.92000000000002,7
2012,1,2,23,30,0,0,155.57,6
2012,1,3,0,30,0,0,157.12,6
2012,1,3,1,30,0,0,152.66,6
2012,1,3,2,30,0,0,144.45000000000002,7
2012,1,3,3,30,0,0,134.63,7
2012,1,3,4,30,0,0,124.22,7
2012,1,3,5,30,0,0,113.75,7
2012,1,3,6,30,0,0,103.56,6
2012,1,3,7,30,0,0,93.97,6
2012,1,3,8,30,55,358,85.3,6
2012,1,3,9,30,89,49,77.96000000000001,8
2012,1,3,10,30,188,231,72.4,9
2012,1,3,11,30,206,157,69.11,10
2012,1,3,12,30,161,39,68.42,11
2012,1,3,13,30,119,2,70.43,11
2012,1,3,14,30,66,0,74.9,10
2012,1,3,15,30,9,0,81.4,9
2012,1,3,16,30,0,0,89.45,7
2012,1,3,17,30,0,0,98.63,7
2012,1,3,18,30,0,0,108.55,6
2012,1,3,19,30,0,0,118.91,6
2012,1,3,20,30,0,0,129.39,6
2012,1,3,21,30,0,0,139.59,6
2012,1,3,22,30,0,0,148.78,6
2012,1,3,23,30,0,0,155.44,6
2012,1,4,0,30,0,0,157.03,5
2012,1,4,1,30,0,0,152.63,5
2012,1,4,2,30,0,0,144.45000000000002,6
2012,1,4,3,30,0,0,134.64,6
2012,1,4,4,30,0,0,124.23,7
2012,1,4,5,30,0,0,113.76,7
2012,1,4,6,30,0,0,103.57,7
2012,1,4,7,30,0,0,93.97,7
2012,1,4,8,30,24,0,85.28,9
2012,1,4,9,30,112,154,77.92,10
2012,1,4,10,30,141,63,72.34,11
2012,1,4,11,30,169,62,69.02,11
2012,1,4,12,30,60,0,68.32000000000001,10
2012,1,4,13,30,63,0,70.31,10
2012,1,4,14,30,31,0,74.76,10
2012,1,4,15,30,69,87,81.26,9
2012,1,4,16,30,0,0,89.3,9
2012,1,4,17,30,0,0,98.48,10
2012,1,4,18,30,0,0,108.4,10
2012,1,4,19,30,0,0,118.76,10
2012,1,4,20,30,0,0,129.24,10
2012,1,4,21,30,0,0,139.44,9
2012,1,4,22,30,0,0,148.63,8
2012,1,4,23,30,0,0,155.31,7
2012,1,5,0,30,0,0,156.94,7
2012,1,5,1,30,0,0,152.58,6
2012,1,5,2,30,0,0,144.44,6
2012,1,5,3,30,0,0,134.64,6
2012,1,5,4,30,0,0,124.24,6
2012,1,5,5,30,0,0,113.77,5
2012,1,5,6,30,0,0,103.57,5
2012,1,5,7,30,0,0,93.95,5
2012,1,5,8,30,52,240,85.25,5
2012,1,5,9,30,177,583,77.87,6
2012,1,5,10,30,289,754,72.27,7
2012,1,5,11,30,209,163,68.93,7
2012,1,5,12,30,368,811,68.2,8
2012,1,5,13,30,252,381,70.17,7
2012,1,5,14,30,240,675,74.62,7
2012,1,5,15,30,121,489,81.11,6
2012,1,5,16,30,0,0,89.15,4
2012,1,5,17,30,0,0,98.33,3
2012,1,5,18,30,0,0,108.25,3
2012,1,5,19,30,0,0,118.61,3
2012,1,5,20,30,0,0,129.09,3
2012,1,5,21,30,0,0,139.29,3
2012,1,5,22,30,0,0,148.48,3
2012,1,5,23,30,0,0,155.17000000000002,3
2012,1,6,0,30,0,0,156.84,3
2012,1,6,1,30,0,0,152.54,2
2012,1,6,2,30,0,0,144.43,1
2012,1,6,3,30,0,0,134.64,1
2012,1,6,4,30,0,0,124.24,1
2012,1,6,5,30,0,0,113.77,1
2012,1,6,6,30,0,0,103.56,1
2012,1,6,7,30,0,0,93.94,1
2012,1,6,8,30,8,0,85.22,1
2012,1,6,9,30,182,631,77.82000000000001,3
2012,1,6,10,30,171,153,72.2,4
2012,1,6,11,30,71,0,68.83,5
2012,1,6,12,30,54,0,68.08,5
2012,1,6,13,30,28,0,70.04,4
2012,1,6,14,30,23,0,74.47,3
2012,1,6,15,30,7,0,80.95,2
2012,1,6,16,30,0,0,89.0,2
2012,1,6,17,30,0,0,98.17,1
2012,1,6,18,30,0,0,108.1,1
2012,1,6,19,30,0,0,118.46,1
2012,1,6,20,30,0,0,128.94,1
2012,1,6,21,30,0,0,139.13,1
2012,1,6,22,30,0,0,148.33,1
2012,1,6,23,30,0,0,155.02,1
2012,1,7,0,30,0,0,156.73,1
2012,1,7,1,30,0,0,152.48,1
2012,1,7,2,30,0,0,144.4,1
2012,1,7,3,30,0,0,134.63,1
2012,1,7,4,30,0,0,124.24,1
2012,1,7,5,30,0,0,113.76,2
2012,1,7,6,30,0,0,103.55,1
2012,1,7,7,30,0,0,93.91,1
2012,1,7,8,30,56,340,85.18,3
2012,1,7,9,30,13,0,77.76,4
2012,1,7,10,30,131,37,72.11,5
2012,1,7,11,30,125,0,68.72,6
2012,1,7,12,30,93,0,67.95,6
2012,1,7,13,30,121,1,69.89,6
2012,1,7,14,30,138,109,74.32000000000001,5
2012,1,7,15,30,72,82,80.8,4
2012,1,7,16,30,7,0,88.84,4
2012,1,7,17,30,0,0,98.01,3
2012,1,7,18,30,0,0,107.94,3
2012,1,7,19,30,0,0,118.3,2
2012,1,7,20,30,0,0,128.78,2
2012,1,7,21,30,0,0,138.97,1
2012,1,7,22,30,0,0,148.17000000000002,1
2012,1,7,23,30,0,0,154.87,1
2012,1,8,0,30,0,0,156.61,1
2012,1,8,1,30,0,0,152.41,1
2012,1,8,2,30,0,0,144.37,1
2012,1,8,3,30,0,0,134.62,1
2012,1,8,4,30,0,0,124.23,1
2012,1,8,5,30,0,0,113.75,1
2012,1,8,6,30,0,0,103.53,1
2012,1,8,7,30,0,0,93.88,1
2012,1,8,8,30,58,373,85.13,3
2012,1,8,9,30,71,0,77.69,5
