Latitude,Longitude
32.7833,-79.932
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2012,1,1,0,30,0,0,170.15,11
2012,1,1,1,30,0,0,162.32,11
2012,1,1,2,30,0,0,150.43,10
2012,1,1,3,30,0,0,137.9,10
2012,1,1,4,30,0,0,125.31,10
2012,1,1,5,30,0,0,112.9,10
2012,1,1,6,30,0,0,100.85,10
2012,1,1,7,30,0,0,89.36,11
2012,1,1,8,30,166,620,78.73,13
2012,1,1,9,30,265,418,69.4,15
2012,1,1,10,30,366,405,61.97,17
2012,1,1,11,30,411,340,57.2,18
2012,1,1,12,30,479,491,55.8,19
2012,1,1,13,30,442,477,58.0,19
2012,1,1,14,30,352,430,63.440000000000005,19
2012,1,1,15,30,250,492,71.36,18
2012,1,1,16,30,113,421,81.03,17
2012,1,1,17,30,0,0,91.89,17
2012,1,1,18,30,0,0,103.53,17
2012,1,1,19,30,0,0,115.68,17
2012,1,1,20,30,0,0,128.14,17
2012,1,1,21,30,0,0,140.74,17
2012,1,1,22,30,0,0,153.20000000000002,17
2012,1,1,23,30,0,0,164.68,16
2012,1,2,0,30,0,0,170.08,15
2012,1,2,1,30,0,0,162.35,13
2012,1,2,2,30,0,0,150.49,12
2012,1,2,3,30,0,0,137.96,11
2012,1,2,4,30,0,0,125.38,10
2012,1,2,5,30,0,0,112.96,9
2012,1,2,6,30,0,0,100.9,9
2012,1,2,7,30,0,0,89.4,9
2012,1,2,8,30,172,660,78.76,9
2012,1,2,9,30,354,838,69.4,10
2012,1,2,10,30,500,925,61.940000000000005,11
2012,1,2,11,30,591,963,57.14,12
2012,1,2,12,30,618,973,55.71,12
2012,1,2,13,30,579,960,57.89,12
2012,1,2,14,30,477,919,63.31,12
2012,1,2,15,30,322,829,71.23,12
2012,1,2,16,30,136,621,80.9,11
2012,1,2,17,30,0,0,91.75,9
2012,1,2,18,30,0,0,103.39,9
2012,1,2,19,30,0,0,115.54,8
2012,1,2,20,30,0,0,128.01,7
2012,1,2,21,30,0,0,140.6,7
2012,1,2,22,30,0,0,153.06,6
2012,1,2,23,30,0,0,164.54,5
2012,1,3,0,30,0,0,170.01,4
2012,1,3,1,30,0,0,162.38,3
2012,1,3,2,30,0,0,150.55,2
2012,1,3,3,30,0,0,138.03,1
2012,1,3,4,30,0,0,125.44,1
2012,1,3,5,30,0,0,113.02,1
2012,1,3,6,30,0,0,100.94,0
2012,1,3,7,30,0,0,89.43,0
2012,1,3,8,30,103,153,78.77,1
2012,1,3,9,30,278,486,69.39,2
2012,1,3,10,30,507,916,61.91,3
2012,1,3,11,30,599,960,57.08,3
2012,1,3,12,30,627,972,55.61,4
2012,1,3,13,30,587,959,57.77,5
2012,1,3,14,30,484,919,63.18,5
2012,1,3,15,30,328,831,71.09,5
2012,1,3,16,30,141,635,80.75,4
2012,1,3,17,30,0,0,91.61,3
2012,1,3,18,30,0,0,103.25,3
2012,1,3,19,30,0,0,115.4,2
2012,1,3,20,30,0,0,127.87,2
2012,1,3,21,30,0,0,140.47,2
2012,1,3,22,30,0,0,152.92000000000002,1
2012,1,3,23,30,0,0,164.4,1
2012,1,4,0,30,0,0,169.93,1
2012,1,4,1,30,0,0,162.41,0
2012,1,4,2,30,0,0,150.6,0
2012,1,4,3,30,0,0,138.08,0
2012,1,4,4,30,0,0,125.49,0
2012,1,4,5,30,0,0,113.06,0
2012,1,4,6,30,0,0,100.98,0
2012,1,4,7,30,0,0,89.45,1
2012,1,4,8,30,98,126,78.78,2
2012,1,4,9,30,273,461,69.38,4
2012,1,4,10,30,497,908,61.86,5
2012,1,4,11,30,588,948,57.0,6
2012,1,4,12,30,617,958,55.51,7
2012,1,4,13,30,579,945,57.64,8
2012,1,4,14,30,476,896,63.04,9
2012,1,4,15,30,321,793,70.94,9
2012,1,4,16,30,135,567,80.61,8
2012,1,4,17,30,0,0,91.46,7
2012,1,4,18,30,0,0,103.11,7
2012,1,4,19,30,0,0,115.26,7
2012,1,4,20,30,0,0,127.73,7
2012,1,4,21,30,0,0,140.33,7
2012,1,4,22,30,0,0,152.78,7
2012,1,4,23,30,0,0,164.25,6
2012,1,5,0,30,0,0,169.83,6
2012,1,5,1,30,0,0,162.42000000000002,6
2012,1,5,2,30,0,0,150.64,6
2012,1,5,3,30,0,0,138.13,5
2012,1,5,4,30,0,0,125.54,5
2012,1,5,5,30,0,0,113.11,5
2012,1,5,6,30,0,0,101.02,5
2012,1,5,7,30,0,0,89.47,5
2012,1,5,8,30,156,522,78.78,7
2012,1,5,9,30,330,720,69.36,9
2012,1,5,10,30,479,848,61.82,11
2012,1,5,11,30,568,884,56.92,13
2012,1,5,12,30,594,885,55.4,14
