Latitude,Longitude
41.1792,-73.1894
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2013,1,1,0,30,0,0,160.48,1
2013,1,1,1,30,0,0,153.24,1
2013,1,1,2,30,0,0,143.12,1
2013,1,1,3,30,0,0,132.06,1
2013,1,1,4,30,0,0,120.78,1
2013,1,1,5,30,0,0,109.65,1
2013,1,1,6,30,0,0,98.94,1
2013,1,1,7,30,6,0,88.93,1
2013,1,1,8,30,77,73,79.99,1
2013,1,1,9,30,201,304,72.56,2
2013,1,1,10,30,235,181,67.18,2
2013,1,1,11,30,210,63,64.4,2
2013,1,1,12,30,244,130,64.58,2
2013,1,1,13,30,209,123,67.67,1
2013,1,1,14,30,177,231,73.31,1
2013,1,1,15,30,98,234,80.95,0
2013,1,1,16,30,0,0,90.03,0
2013,1,1,17,30,0,0,100.14,0
2013,1,1,18,30,0,0,110.91,0
2013,1,1,19,30,0,0,122.07,-1
2013,1,1,20,30,0,0,133.34,-2
2013,1,1,21,30,0,0,144.33,-3
2013,1,1,22,30,0,0,154.23,-4
2013,1,1,23,30,0,0,160.89,-5
2013,1,2,0,30,0,0,160.43,-5
2013,1,2,1,30,0,0,153.24,-6
2013,1,2,2,30,0,0,143.15,-6
2013,1,2,3,30,0,0,132.1,-6
2013,1,2,4,30,0,0,120.82,-7
2013,1,2,5,30,0,0,109.69,-7
2013,1,2,6,30,0,0,98.97,-7
2013,1,2,7,30,11,0,88.94,-6
2013,1,2,8,30,118,381,79.98,-4
2013,1,2,9,30,238,519,72.53,-3
2013,1,2,10,30,328,570,67.13,-1
2013,1,2,11,30,382,635,64.32000000000001,0
2013,1,2,12,30,373,593,64.47,0
2013,1,2,13,30,311,513,67.55,0
2013,1,2,14,30,163,163,73.18,0
2013,1,2,15,30,94,200,80.81,0
2013,1,2,16,30,0,0,89.89,-1
2013,1,2,17,30,0,0,100.0,-2
2013,1,2,18,30,0,0,110.77,-2
2013,1,2,19,30,0,0,121.93,-2
2013,1,2,20,30,0,0,133.2,-2
2013,1,2,21,30,0,0,144.19,-2
2013,1,2,22,30,0,0,154.09,-2
2013,1,2,23,30,0,0,160.77,-3
2013,1,3,0,30,0,0,160.38,-4
2013,1,3,1,30,0,0,153.24,-5
2013,1,3,2,30,0,0,143.17000000000002,-6
2013,1,3,3,30,0,0,132.13,-7
2013,1,3,4,30,0,0,120.85,-7
2013,1,3,5,30,0,0,109.71,-8
2013,1,3,6,30,0,0,98.98,-9
2013,1,3,7,30,10,0,88.95,-8
2013,1,3,8,30,113,335,79.97,-7
2013,1,3,9,30,246,571,72.49,-5
2013,1,3,10,30,327,563,67.06,-4
2013,1,3,11,30,376,592,64.24,-2
2013,1,3,12,30,463,827,64.36,-1
2013,1,3,13,30,401,807,67.42,-1
2013,1,3,14,30,229,510,73.04,-1
2013,1,3,15,30,134,485,80.67,-1
2013,1,3,16,30,0,0,89.75,-2
2013,1,3,17,30,0,0,99.85,-3
2013,1,3,18,30,0,0,110.63,-2
2013,1,3,19,30,0,0,121.79,-2
2013,1,3,20,30,0,0,133.05,-2
2013,1,3,21,30,0,0,144.04,-2
2013,1,3,22,30,0,0,153.95000000000002,-2
2013,1,3,23,30,0,0,160.64,-2
2013,1,4,0,30,0,0,160.31,-2
2013,1,4,1,30,0,0,153.23,-2
2013,1,4,2,30,0,0,143.19,-2
2013,1,4,3,30,0,0,132.15,-2
2013,1,4,4,30,0,0,120.88,-2
2013,1,4,5,30,0,0,109.73,-2
2013,1,4,6,30,0,0,98.99,-1
2013,1,4,7,30,5,0,88.94,0
2013,1,4,8,30,63,7,79.95,0
2013,1,4,9,30,115,12,72.45,0
2013,1,4,10,30,217,115,67.0,1
2013,1,4,11,30,319,338,64.14,2
2013,1,4,12,30,240,103,64.24,2
2013,1,4,13,30,391,745,67.29,2
2013,1,4,14,30,278,640,72.9,1
2013,1,4,15,30,133,443,80.52,1
2013,1,4,16,30,0,0,89.60000000000001,0
2013,1,4,17,30,0,0,99.7,0
2013,1,4,18,30,0,0,110.48,0
2013,1,4,19,30,0,0,121.64,0
2013,1,4,20,30,0,0,132.9,0
2013,1,4,21,30,0,0,143.89,0
2013,1,4,22,30,0,0,153.79,0
2013,1,4,23,30,0,0,160.5,0
2013,1,5,0,30,0,0,160.24,0
2013,1,5,1,30,0,0,153.21,-1
2013,1,5,2,30,0,0,143.20000000000002,-1
2013,1,5,3,30,0,0,132.17000000000002,-2
2013,1,5,4,30,0,0,120.9,-2
2013,1,5,5,30,0,0,109.74,-2
2013,1,5,6,30,0,0,99.0,-1
2013,1,5,7,30,8,0,88.93,0
2013,1,5,8,30,102,232,79.92,0
2013,1,5,9,30,298,720,72.4,1
2013,1,5,10,30,410,811,66.92,2
2013,1,5,11,30,468,844,64.04,3
2013,1,5,12,30,383,623,64.12,3
2013,1,5,13,30,352,714,67.15,3
2013,1,5,14,30,290,708,72.75,3
2013,1,5,15,30,142,526,80.36,2
2013,1,5,16,30,0,0,89.44,1
2013,1,5,17,30,0,0,99.55,0
2013,1,5,18,30,0,0,110.33,0
2013,1,5,19,30,0,0,121.49,1
2013,1,5,20,30,0,0,132.75,1
2013,1,5,21,30,0,0,143.74,0
2013,1,5,22,30,0,0,153.64,0
2013,1,5,23,30,0,0,160.36,1
2013,1,6,0,30,0,0,160.16,0
2013,1,6,1,30,0,0,153.19,0
2013,1,6,2,30,0,0,143.20000000000002,0
2013,1,6,3,30,0,0,132.18,0
2013,1,6,4,30,0,0,120.91,0
2013,1,6,5,30,0,0,109.75,0
2013,1,6,6,30,0,0,98.99,0
2013,1,6,7,30,3,0,88.92,0
2013,1,6,8,30,48,0,79.88,1
2013,1,6,9,30,238,505,72.34,2
2013,1,6,10,30,327,541,66.84,3
2013,1,6,11,30,459,800,63.93,3
2013,1,6,12,30,458,809,63.99,4
2013,1,6,13,30,398,775,67.0,4
2013,1,6,14,30,285,679,72.59,3
2013,1,6,15,30,138,486,80.21000000000001,2
2013,1,6,16,30,0,0,89.29,1
2013,1,6,17,30,0,0,99.39,1
2013,1,6,18,30,0,0,110.17,2
2013,1,6,19,30,0,0,121.33,2
2013,1,6,20,30,0,0,132.6,1
2013,1,6,21,30,0,0,143.58,1
2013,1,6,22,30,0,0,153.48,0
2013,1,6,23,30,0,0,160.22,0
2013,1,7,0,30,0,0,160.07,0
2013,1,7,1,30,0,0,153.16,0
2013,1,7,2,30,0,0,143.20000000000002,0
2013,1,7,3,30,0,0,132.19,0
2013,1,7,4,30,0,0,120.92,0
2013,1,7,5,30,0,0,109.75,0
2013,1,7,6,30,0,0,98.99,0
2013,1,7,7,30,13,97,88.89,0
2013,1,7,8,30,150,533,79.84,2
2013,1,7,9,30,301,722,72.27,3
2013,1,7,10,30,414,813,66.74,3
2013,1,7,11,30,474,850,63.81,4
2013,1,7,12,30,474,855,63.85,4
2013,1,7,13,30,414,832,66.85,4
2013,1,7,14,30,301,758,72.43,3
2013,1,7,15,30,152,592,80.04,1
2013,1,7,16,30,0,0,89.12,1
2013,1,7,17,30,0,0,99.23,1
2013,1,7,18,30,0,0,110.01,1
2013,1,7,19,30,0,0,121.18,1
2013,1,7,20,30,0,0,132.44,1
2013,1,7,21,30,0,0,143.42000000000002,0
2013,1,7,22,30,0,0,153.32,0
2013,1,7,23,30,0,0,160.06,0
2013,1,8,0,30,0,0,159.97,0
2013,1,8,1,30,0,0,153.12,0
2013,1,8,2,30,0,0,143.19,0
2013,1,8,3,30,0,0,132.19,0
2013,1,8,4,30,0,0,120.92,0
2013,1,8,5,30,0,0,109.75,0
2013,1,8,6,30,0,0,98.97,0
2013,1,8,7,30,13,103,88.87,1
2013,1,8,8,30,151,536,79.79,2
2013,1,8,9,30,300,719,72.2,4
2013,1,8,10,30,413,805,66.65,5
2013,1,8,11,30,471,831,63.690000000000005,5
2013,1,8,12,30,470,825,63.7,6
2013,1,8,13,30,411,800,66.69,6
2013,1,8,14,30,300,727,72.27,5
2013,1,8,15,30,107,229,79.87,3
2013,1,8,16,30,9,0,88.96000000000001,2
2013,1,8,17,30,0,0,99.07,2
2013,1,8,18,30,0,0,109.85,2
2013,1,8,19,30,0,0,121.02,1
2013,1,8,20,30,0,0,132.28,1
2013,1,8,21,30,0,0,143.26,1
2013,1,8,22,30,0,0,153.15,1
2013,1,8,23,30,0,0,159.9,1
2013,1,9,0,30,0,0,159.87,1
2013,1,9,1,30,0,0,153.08,1
2013,1,9,2,30,0,0,143.17000000000002,1
2013,1,9,3,30,0,0,132.19,1
2013,1,9,4,30,0,0,120.91,1
2013,1,9,5,30,0,0,109.74,2
2013,1,9,6,30,0,0,98.95,2
2013,1,9,7,30,11,82,88.83,2
2013,1,9,8,30,118,351,79.74,3
2013,1,9,9,30,193,244,72.12,4
2013,1,9,10,30,233,157,66.54,5
2013,1,9,11,30,282,198,63.56,5
2013,1,9,12,30,246,114,63.55,6
2013,1,9,13,30,123,0,66.52,5
2013,1,9,14,30,32,0,72.10000000000001,5
2013,1,9,15,30,49,0,79.7,5
2013,1,9,16,30,4,0,88.79,5
2013,1,9,17,30,0,0,98.9,5
2013,1,9,18,30,0,0,109.69,5
2013,1,9,19,30,0,0,120.86,4
2013,1,9,20,30,0,0,132.12,4
2013,1,9,21,30,0,0,143.09,4
2013,1,9,22,30,0,0,152.97,4
2013,1,9,23,30,0,0,159.73,3
2013,1,10,0,30,0,0,159.75,3
2013,1,10,1,30,0,0,153.02,3
2013,1,10,2,30,0,0,143.15,3
2013,1,10,3,30,0,0,132.17000000000002,2
2013,1,10,4,30,0,0,120.9,2
2013,1,10,5,30,0,0,109.72,2
2013,1,10,6,30,0,0,98.93,2
2013,1,10,7,30,14,140,88.79,2
2013,1,10,8,30,153,599,79.68,3
2013,1,10,9,30,298,770,72.04,4
2013,1,10,10,30,409,856,66.43,5
2013,1,10,11,30,466,884,63.42,5
2013,1,10,12,30,466,884,63.39,5
2013,1,10,13,30,409,855,66.35,5
2013,1,10,14,30,300,779,71.92,5
2013,1,10,15,30,73,33,79.53,3
2013,1,10,16,30,17,197,88.61,2
2013,1,10,17,30,0,0,98.74,1
2013,1,10,18,30,0,0,109.52,1
2013,1,10,19,30,0,0,120.69,1
2013,1,10,20,30,0,0,131.96,0
2013,1,10,21,30,0,0,142.92000000000002,0
2013,1,10,22,30,0,0,152.8,0
2013,1,10,23,30,0,0,159.56,0
2013,1,11,0,30,0,0,159.63,0
2013,1,11,1,30,0,0,152.96,0
2013,1,11,2,30,0,0,143.12,0
2013,1,11,3,30,0,0,132.16,0
2013,1,11,4,30,0,0,120.89,0
2013,1,11,5,30,0,0,109.7,0
2013,1,11,6,30,0,0,98.89,0
2013,1,11,7,30,5,0,88.74,1
2013,1,11,8,30,46,0,79.61,2
2013,1,11,9,30,111,2,71.94,3
2013,1,11,10,30,88,0,66.31,3
2013,1,11,11,30,91,0,63.27,4
2013,1,11,12,30,201,40,63.22,4
2013,1,11,13,30,12,0,66.17,4
2013,1,11,14,30,36,0,71.74,4
2013,1,11,15,30,42,0,79.35000000000001,4
2013,1,11,16,30,4,0,88.44,4
2013,1,11,17,30,0,0,98.56,4
2013,1,11,18,30,0,0,109.35,4
2013,1,11,19,30,0,0,120.53,5
2013,1,11,20,30,0,0,131.79,5
2013,1,11,21,30,0,0,142.75,5
2013,1,11,22,30,0,0,152.62,5
2013,1,11,23,30,0,0,159.38,5
2013,1,12,0,30,0,0,159.5,6
2013,1,12,1,30,0,0,152.89,6
2013,1,12,2,30,0,0,143.08,6
2013,1,12,3,30,0,0,132.13,6
2013,1,12,4,30,0,0,120.86,5
2013,1,12,5,30,0,0,109.67,5
2013,1,12,6,30,0,0,98.85,5
2013,1,12,7,30,9,0,88.69,5
2013,1,12,8,30,88,109,79.53,5
2013,1,12,9,30,156,92,71.85000000000001,5
2013,1,12,10,30,261,228,66.18,5
2013,1,12,11,30,221,64,63.120000000000005,6
2013,1,12,12,30,209,47,63.05,6
2013,1,12,13,30,119,0,65.99,6
2013,1,12,14,30,67,0,71.55,6
2013,1,12,15,30,28,0,79.16,6
2013,1,12,16,30,3,0,88.26,6
2013,1,12,17,30,0,0,98.39,5
2013,1,12,18,30,0,0,109.18,5
2013,1,12,19,30,0,0,120.36,5
2013,1,12,20,30,0,0,131.62,5
2013,1,12,21,30,0,0,142.57,5
2013,1,12,22,30,0,0,152.43,5
2013,1,12,23,30,0,0,159.19,5
2013,1,13,0,30,0,0,159.36,5
2013,1,13,1,30,0,0,152.81,5
2013,1,13,2,30,0,0,143.04,5
2013,1,13,3,30,0,0,132.1,5
2013,1,13,4,30,0,0,120.83,5
2013,1,13,5,30,0,0,109.64,4
2013,1,13,6,30,0,0,98.81,4
2013,1,13,7,30,4,0,88.62,4
2013,1,13,8,30,60,0,79.45,5
2013,1,13,9,30,84,0,71.74,5
2013,1,13,10,30,129,0,66.05,6
2013,1,13,11,30,170,11,62.96,7
2013,1,13,12,30,249,106,62.870000000000005,7
2013,1,13,13,30,115,0,65.8,8
2013,1,13,14,30,94,0,71.36,8
2013,1,13,15,30,75,28,78.97,7
2013,1,13,16,30,10,0,88.07000000000001,7
2013,1,13,17,30,0,0,98.21,7
2013,1,13,18,30,0,0,109.01,6
2013,1,13,19,30,0,0,120.18,6
2013,1,13,20,30,0,0,131.45,6
2013,1,13,21,30,0,0,142.4,6
2013,1,13,22,30,0,0,152.24,6
2013,1,13,23,30,0,0,159.0,6
2013,1,14,0,30,0,0,159.22,6
2013,1,14,1,30,0,0,152.73,6
2013,1,14,2,30,0,0,142.98,6
2013,1,14,3,30,0,0,132.06,6
2013,1,14,4,30,0,0,120.8,7
2013,1,14,5,30,0,0,109.6,7
2013,1,14,6,30,0,0,98.76,7
2013,1,14,7,30,2,0,88.56,7
2013,1,14,8,30,23,0,79.36,7
2013,1,14,9,30,193,215,71.62,7
2013,1,14,10,30,236,145,65.91,8
2013,1,14,11,30,268,144,62.79,9
2013,1,14,12,30,168,9,62.690000000000005,9
2013,1,14,13,30,278,260,65.6,9
2013,1,14,14,30,158,81,71.16,8
2013,1,14,15,30,17,0,78.78,7
2013,1,14,16,30,2,0,87.89,6
2013,1,14,17,30,0,0,98.03,5
2013,1,14,18,30,0,0,108.83,5
2013,1,14,19,30,0,0,120.01,4
2013,1,14,20,30,0,0,131.27,4
2013,1,14,21,30,0,0,142.22,3
2013,1,14,22,30,0,0,152.05,3
2013,1,14,23,30,0,0,158.8,2
2013,1,15,0,30,0,0,159.06,1
2013,1,15,1,30,0,0,152.64,1
2013,1,15,2,30,0,0,142.93,1
2013,1,15,3,30,0,0,132.02,1
2013,1,15,4,30,0,0,120.76,1
2013,1,15,5,30,0,0,109.55,1
2013,1,15,6,30,0,0,98.7,1
2013,1,15,7,30,10,0,88.48,1
2013,1,15,8,30,103,191,79.27,1
2013,1,15,9,30,98,0,71.5,2
2013,1,15,10,30,156,12,65.76,3
2013,1,15,11,30,199,33,62.620000000000005,3
2013,1,15,12,30,189,23,62.49,3
2013,1,15,13,30,202,66,65.4,3
2013,1,15,14,30,152,62,70.96000000000001,3
2013,1,15,15,30,84,49,78.58,2
2013,1,15,16,30,12,0,87.7,2
2013,1,15,17,30,0,0,97.84,2
2013,1,15,18,30,0,0,108.65,2
2013,1,15,19,30,0,0,119.83,2
2013,1,15,20,30,0,0,131.09,2
2013,1,15,21,30,0,0,142.03,1
2013,1,15,22,30,0,0,151.85,1
2013,1,15,23,30,0,0,158.6,0
2013,1,16,0,30,0,0,158.9,0
2013,1,16,1,30,0,0,152.54,0
2013,1,16,2,30,0,0,142.86,0
2013,1,16,3,30,0,0,131.97,0
2013,1,16,4,30,0,0,120.71,0
2013,1,16,5,30,0,0,109.5,0
2013,1,16,6,30,0,0,98.63,0
2013,1,16,7,30,2,0,88.4,0
2013,1,16,8,30,55,0,79.17,1
2013,1,16,9,30,30,0,71.38,1
2013,1,16,10,30,21,0,65.6,1
2013,1,16,11,30,91,0,62.440000000000005,2
2013,1,16,12,30,73,0,62.29,2
2013,1,16,13,30,93,0,65.19,2
2013,1,16,14,30,19,0,70.75,2
2013,1,16,15,30,42,0,78.38,1
2013,1,16,16,30,5,0,87.5,1
2013,1,16,17,30,0,0,97.66,1
2013,1,16,18,30,0,0,108.47,1
2013,1,16,19,30,0,0,119.66,1
2013,1,16,20,30,0,0,130.91,1
2013,1,16,21,30,0,0,141.85,1
2013,1,16,22,30,0,0,151.65,1
2013,1,16,23,30,0,0,158.39,1
2013,1,17,0,30,0,0,158.73,1
2013,1,17,1,30,0,0,152.43,0
2013,1,17,2,30,0,0,142.79,0
2013,1,17,3,30,0,0,131.91,0
2013,1,17,4,30,0,0,120.66,0
2013,1,17,5,30,0,0,109.44,0
2013,1,17,6,30,0,0,98.56,0
2013,1,17,7,30,5,0,88.32000000000001,1
2013,1,17,8,30,116,267,79.06,2
2013,1,17,9,30,92,0,71.24,3
2013,1,17,10,30,317,403,65.44,3
2013,1,17,11,30,357,385,62.25,4
2013,1,17,12,30,383,476,62.09,4
2013,1,17,13,30,341,480,64.98,4
2013,1,17,14,30,177,117,70.54,4
2013,1,17,15,30,100,104,78.17,3
2013,1,17,16,30,16,0,87.31,2
2013,1,17,17,30,0,0,97.47,1
2013,1,17,18,30,0,0,108.29,1
2013,1,17,19,30,0,0,119.48,1
2013,1,17,20,30,0,0,130.73,0
2013,1,17,21,30,0,0,141.66,0
2013,1,17,22,30,0,0,151.45000000000002,0
2013,1,17,23,30,0,0,158.18,0
2013,1,18,0,30,0,0,158.56,-1
2013,1,18,1,30,0,0,152.31,-1
2013,1,18,2,30,0,0,142.71,-1
2013,1,18,3,30,0,0,131.85,-2
2013,1,18,4,30,0,0,120.59,-2
2013,1,18,5,30,0,0,109.38,-2
2013,1,18,6,30,0,0,98.49,-3
2013,1,18,7,30,14,0,88.22,-4
2013,1,18,8,30,128,357,78.94,-3
2013,1,18,9,30,341,835,71.10000000000001,-3
2013,1,18,10,30,463,923,65.27,-3
2013,1,18,11,30,527,940,62.06,-2
2013,1,18,12,30,528,926,61.88,-2
2013,1,18,13,30,469,909,64.76,-2
2013,1,18,14,30,353,833,70.32000000000001,-2
2013,1,18,15,30,196,682,77.97,-2
2013,1,18,16,30,36,329,87.11,-3
2013,1,18,17,30,0,0,97.28,-4
2013,1,18,18,30,0,0,108.11,-4
2013,1,18,19,30,0,0,119.29,-4
2013,1,18,20,30,0,0,130.55,-3
2013,1,18,21,30,0,0,141.46,-3
2013,1,18,22,30,0,0,151.24,-2
2013,1,18,23,30,0,0,157.96,-2
2013,1,19,0,30,0,0,158.37,-1
2013,1,19,1,30,0,0,152.19,0
2013,1,19,2,30,0,0,142.62,0
2013,1,19,3,30,0,0,131.78,0
2013,1,19,4,30,0,0,120.53,0
2013,1,19,5,30,0,0,109.3,0
2013,1,19,6,30,0,0,98.41,0
2013,1,19,7,30,12,0,88.12,1
2013,1,19,8,30,170,608,78.82000000000001,2
2013,1,19,9,30,198,205,70.95,3
2013,1,19,10,30,320,397,65.1,3
2013,1,19,11,30,370,395,61.86,4
2013,1,19,12,30,364,381,61.66,5
2013,1,19,13,30,297,280,64.54,6
