Latitude,Longitude
41.2565,-95.9345
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2013,1,1,0,30,0,0,161.72,-10
2013,1,1,1,30,0,0,157.49,-11
2013,1,1,2,30,0,0,148.51,-11
2013,1,1,3,30,0,0,137.83,-12
2013,1,1,4,30,0,0,126.62,-12
2013,1,1,5,30,0,0,115.39,-13
2013,1,1,6,30,0,0,104.44,-13
2013,1,1,7,30,0,0,94.04,-12
2013,1,1,8,30,72,413,84.51,-11
2013,1,1,9,30,226,685,76.24,-10
2013,1,1,10,30,357,800,69.74,-8
2013,1,1,11,30,441,848,65.56,-7
2013,1,1,12,30,468,857,64.19,-5
2013,1,1,13,30,435,832,65.79,-5
2013,1,1,14,30,344,766,70.17,-5
2013,1,1,15,30,210,634,76.84,-5
2013,1,1,16,30,59,337,85.22,-7
2013,1,1,17,30,0,0,94.84,-8
2013,1,1,18,30,0,0,105.29,-9
2013,1,1,19,30,0,0,116.27,-10
2013,1,1,20,30,0,0,127.5,-10
2013,1,1,21,30,0,0,138.69,-10
2013,1,1,22,30,0,0,149.28,-9
2013,1,1,23,30,0,0,158.0,-9
2013,1,2,0,30,0,0,161.63,-9
2013,1,2,1,30,0,0,157.48,-9
2013,1,2,2,30,0,0,148.53,-9
2013,1,2,3,30,0,0,137.86,-9
2013,1,2,4,30,0,0,126.66,-9
2013,1,2,5,30,0,0,115.43,-9
2013,1,2,6,30,0,0,104.47,-10
2013,1,2,7,30,0,0,94.06,-9
2013,1,2,8,30,27,0,84.51,-8
2013,1,2,9,30,83,0,76.22,-6
2013,1,2,10,30,113,0,69.7,-3
2013,1,2,11,30,166,20,65.49,-1
2013,1,2,12,30,246,120,64.09,0
2013,1,2,13,30,423,748,65.68,0
2013,1,2,14,30,190,137,70.05,0
2013,1,2,15,30,120,130,76.7,0
2013,1,2,16,30,35,53,85.08,-1
2013,1,2,17,30,0,0,94.7,-2
2013,1,2,18,30,0,0,105.15,-3
2013,1,2,19,30,0,0,116.13,-4
2013,1,2,20,30,0,0,127.36,-4
2013,1,2,21,30,0,0,138.54,-4
2013,1,2,22,30,0,0,149.14,-4
2013,1,2,23,30,0,0,157.87,-4
2013,1,3,0,30,0,0,161.54,-4
2013,1,3,1,30,0,0,157.45000000000002,-4
2013,1,3,2,30,0,0,148.54,-4
2013,1,3,3,30,0,0,137.89,-4
2013,1,3,4,30,0,0,126.69,-5
2013,1,3,5,30,0,0,115.45,-5
2013,1,3,6,30,0,0,104.49,-5
2013,1,3,7,30,0,0,94.07,-6
