Latitude,Longitude
36.8516,-75.9792
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2013,1,1,0,30,0,0,165.3,6
2013,1,1,1,30,0,0,157.46,6
2013,1,1,2,30,0,0,146.4,6
2013,1,1,3,30,0,0,134.54,5
2013,1,1,4,30,0,0,122.56,5
2013,1,1,5,30,0,0,110.74,5
2013,1,1,6,30,0,0,99.32,5
2013,1,1,7,30,1,0,88.54,5
2013,1,1,8,30,23,0,78.75,6
2013,1,1,9,30,97,0,70.4,6
2013,1,1,10,30,79,0,64.07000000000001,7
2013,1,1,11,30,99,0,60.45,7
2013,1,1,12,30,119,0,60.02,8
2013,1,1,13,30,86,0,62.85,8
2013,1,1,14,30,78,0,68.54,8
2013,1,1,15,30,83,1,76.43,8
2013,1,1,16,30,18,0,85.9,7
2013,1,1,17,30,0,0,96.46,7
2013,1,1,18,30,0,0,107.74,7
2013,1,1,19,30,0,0,119.48,7
2013,1,1,20,30,0,0,131.44,6
2013,1,1,21,30,0,0,143.36,6
2013,1,1,22,30,0,0,154.72,6
2013,1,1,23,30,0,0,163.83,5
2013,1,2,0,30,0,0,165.25,5
2013,1,2,1,30,0,0,157.47,5
2013,1,2,2,30,0,0,146.44,5
2013,1,2,3,30,0,0,134.59,4
2013,1,2,4,30,0,0,122.61,4
2013,1,2,5,30,0,0,110.78,4
2013,1,2,6,30,0,0,99.35,4
2013,1,2,7,30,2,0,88.56,4
2013,1,2,8,30,27,0,78.76,4
2013,1,2,9,30,74,0,70.38,4
2013,1,2,10,30,304,282,64.03,5
2013,1,2,11,30,351,283,60.370000000000005,5
2013,1,2,12,30,259,78,59.92,5
2013,1,2,13,30,286,184,62.73,5
2013,1,2,14,30,229,208,68.41,5
2013,1,2,15,30,205,597,76.29,5
2013,1,2,16,30,48,284,85.76,4
2013,1,2,17,30,0,0,96.32,4
2013,1,2,18,30,0,0,107.6,4
2013,1,2,19,30,0,0,119.34,3
2013,1,2,20,30,0,0,131.3,3
2013,1,2,21,30,0,0,143.22,3
2013,1,2,22,30,0,0,154.58,3
2013,1,2,23,30,0,0,163.69,2
2013,1,3,0,30,0,0,165.19,2
2013,1,3,1,30,0,0,157.49,2
2013,1,3,2,30,0,0,146.48,2
2013,1,3,3,30,0,0,134.64,2
2013,1,3,4,30,0,0,122.65,2
2013,1,3,5,30,0,0,110.82,2
2013,1,3,6,30,0,0,99.38,2
2013,1,3,7,30,5,0,88.58,2
2013,1,3,8,30,64,0,78.75,3
2013,1,3,9,30,221,272,70.35000000000001,3
2013,1,3,10,30,152,2,63.98,3
2013,1,3,11,30,290,135,60.29,3
2013,1,3,12,30,367,311,59.81,3
2013,1,3,13,30,244,94,62.6,3
2013,1,3,14,30,229,202,68.27,3
2013,1,3,15,30,100,37,76.15,3
2013,1,3,16,30,24,0,85.62,2
2013,1,3,17,30,0,0,96.17,2
2013,1,3,18,30,0,0,107.46,2
2013,1,3,19,30,0,0,119.19,2
2013,1,3,20,30,0,0,131.16,2
2013,1,3,21,30,0,0,143.08,2
2013,1,3,22,30,0,0,154.44,2
2013,1,3,23,30,0,0,163.55,1
2013,1,4,0,30,0,0,165.13,1
2013,1,4,1,30,0,0,157.49,1
2013,1,4,2,30,0,0,146.51,1
2013,1,4,3,30,0,0,134.68,1
2013,1,4,4,30,0,0,122.69,1
2013,1,4,5,30,0,0,110.85,1
2013,1,4,6,30,0,0,99.4,1
2013,1,4,7,30,18,209,88.59,1
2013,1,4,8,30,176,664,78.74,2
2013,1,4,9,30,341,826,70.32000000000001,4
2013,1,4,10,30,467,901,63.92,5
2013,1,4,11,30,538,931,60.2,5
2013,1,4,12,30,546,932,59.69,6
2013,1,4,13,30,490,905,62.47,6
2013,1,4,14,30,377,839,68.12,7
2013,1,4,15,30,222,706,76.0,6
2013,1,4,16,30,56,394,85.47,5
2013,1,4,17,30,0,0,96.03,5
2013,1,4,18,30,0,0,107.31,5
2013,1,4,19,30,0,0,119.05,5
2013,1,4,20,30,0,0,131.01,4
2013,1,4,21,30,0,0,142.93,4
2013,1,4,22,30,0,0,154.29,3
2013,1,4,23,30,0,0,163.41,3
2013,1,5,0,30,0,0,165.05,2
2013,1,5,1,30,0,0,157.49,2
2013,1,5,2,30,0,0,146.54,2
2013,1,5,3,30,0,0,134.71,2
2013,1,5,4,30,0,0,122.72,1
2013,1,5,5,30,0,0,110.88,1
2013,1,5,6,30,0,0,99.42,1
2013,1,5,7,30,17,207,88.59,2
2013,1,5,8,30,175,661,78.73,3
2013,1,5,9,30,338,820,70.28,4
2013,1,5,10,30,460,877,63.85,5
2013,1,5,11,30,529,907,60.11,6
2013,1,5,12,30,430,517,59.57,6
2013,1,5,13,30,406,600,62.33,6
2013,1,5,14,30,373,806,67.97,6
2013,1,5,15,30,221,672,75.85000000000001,5
2013,1,5,16,30,58,397,85.31,4
2013,1,5,17,30,0,0,95.87,4
2013,1,5,18,30,0,0,107.16,4
2013,1,5,19,30,0,0,118.9,4
2013,1,5,20,30,0,0,130.87,4
2013,1,5,21,30,0,0,142.78,4
2013,1,5,22,30,0,0,154.13,5
2013,1,5,23,30,0,0,163.26,5
2013,1,6,0,30,0,0,164.97,5
2013,1,6,1,30,0,0,157.48,5
2013,1,6,2,30,0,0,146.56,4
2013,1,6,3,30,0,0,134.74,4
2013,1,6,4,30,0,0,122.75,4
2013,1,6,5,30,0,0,110.9,4
2013,1,6,6,30,0,0,99.43,4
2013,1,6,7,30,2,0,88.59,4
2013,1,6,8,30,75,18,78.71000000000001,5
2013,1,6,9,30,138,25,70.24,5
2013,1,6,10,30,168,13,63.78,6
2013,1,6,11,30,206,24,60.0,7
2013,1,6,12,30,257,69,59.44,8
2013,1,6,13,30,330,289,62.18,8
2013,1,6,14,30,173,52,67.82000000000001,8
2013,1,6,15,30,124,109,75.69,7
2013,1,6,16,30,32,25,85.16,7
2013,1,6,17,30,0,0,95.72,7
2013,1,6,18,30,0,0,107.01,6
2013,1,6,19,30,0,0,118.75,6
2013,1,6,20,30,0,0,130.72,6
2013,1,6,21,30,0,0,142.63,5
2013,1,6,22,30,0,0,153.98,5
2013,1,6,23,30,0,0,163.1,5
2013,1,7,0,30,0,0,164.87,5
2013,1,7,1,30,0,0,157.47,4
2013,1,7,2,30,0,0,146.57,4
2013,1,7,3,30,0,0,134.76,4
2013,1,7,4,30,0,0,122.77,4
2013,1,7,5,30,0,0,110.92,4
2013,1,7,6,30,0,0,99.44,4
2013,1,7,7,30,16,134,88.58,4
2013,1,7,8,30,167,577,78.68,5
2013,1,7,9,30,330,756,70.18,6
2013,1,7,10,30,456,842,63.7,7
2013,1,7,11,30,527,875,59.89,7
2013,1,7,12,30,537,877,59.31,7
2013,1,7,13,30,486,856,62.03,8
2013,1,7,14,30,379,796,67.66,7
2013,1,7,15,30,227,671,75.53,6
2013,1,7,16,30,61,369,84.99,5
2013,1,7,17,30,0,0,95.56,5
2013,1,7,18,30,0,0,106.86,5
2013,1,7,19,30,0,0,118.6,5
2013,1,7,20,30,0,0,130.57,5
2013,1,7,21,30,0,0,142.48,5
2013,1,7,22,30,0,0,153.82,5
2013,1,7,23,30,0,0,162.94,5
2013,1,8,0,30,0,0,164.77,5
2013,1,8,1,30,0,0,157.44,5
2013,1,8,2,30,0,0,146.58,4
2013,1,8,3,30,0,0,134.78,4
2013,1,8,4,30,0,0,122.79,4
2013,1,8,5,30,0,0,110.93,4
2013,1,8,6,30,0,0,99.44,4
2013,1,8,7,30,17,196,88.56,4
2013,1,8,8,30,173,646,78.64,5
2013,1,8,9,30,336,805,70.12,6
2013,1,8,10,30,459,872,63.61,8
2013,1,8,11,30,446,611,59.78,9
2013,1,8,12,30,463,649,59.16,9
2013,1,8,13,30,426,672,61.870000000000005,10
2013,1,8,14,30,300,458,67.49,10
2013,1,8,15,30,157,256,75.36,9
2013,1,8,16,30,42,107,84.83,8
2013,1,8,17,30,0,0,95.4,8
2013,1,8,18,30,0,0,106.7,7
2013,1,8,19,30,0,0,118.45,7
2013,1,8,20,30,0,0,130.41,7
2013,1,8,21,30,0,0,142.33,7
2013,1,8,22,30,0,0,153.65,7
2013,1,8,23,30,0,0,162.77,7
2013,1,9,0,30,0,0,164.66,7
2013,1,9,1,30,0,0,157.41,7
2013,1,9,2,30,0,0,146.58,6
2013,1,9,3,30,0,0,134.79,6
2013,1,9,4,30,0,0,122.8,6
2013,1,9,5,30,0,0,110.93,6
2013,1,9,6,30,0,0,99.43,6
2013,1,9,7,30,16,106,88.54,6
2013,1,9,8,30,160,540,78.60000000000001,7
2013,1,9,9,30,317,719,70.06,8
2013,1,9,10,30,443,825,63.51,9
2013,1,9,11,30,512,860,59.65,11
2013,1,9,12,30,521,863,59.01,12
2013,1,9,13,30,406,550,61.7,13
2013,1,9,14,30,224,154,67.32000000000001,14
2013,1,9,15,30,135,134,75.19,13
2013,1,9,16,30,37,47,84.66,12
2013,1,9,17,30,0,0,95.24,12
2013,1,9,18,30,0,0,106.54,11
2013,1,9,19,30,0,0,118.29,11
2013,1,9,20,30,0,0,130.26,10
2013,1,9,21,30,0,0,142.17000000000002,10
2013,1,9,22,30,0,0,153.49,10
2013,1,9,23,30,0,0,162.59,9
2013,1,10,0,30,0,0,164.54,9
2013,1,10,1,30,0,0,157.37,8
2013,1,10,2,30,0,0,146.57,8
2013,1,10,3,30,0,0,134.79,8
2013,1,10,4,30,0,0,122.8,8
2013,1,10,5,30,0,0,110.93,7
2013,1,10,6,30,0,0,99.42,7
2013,1,10,7,30,18,0,88.52,7
2013,1,10,8,30,124,287,78.56,8
2013,1,10,9,30,343,838,69.98,9
2013,1,10,10,30,470,909,63.41,9
2013,1,10,11,30,542,938,59.52,10
2013,1,10,12,30,553,940,58.86,10
2013,1,10,13,30,500,900,61.53,9
2013,1,10,14,30,392,844,67.14,9
2013,1,10,15,30,240,726,75.01,8
2013,1,10,16,30,70,420,84.49,7
2013,1,10,17,30,0,0,95.07,6
2013,1,10,18,30,0,0,106.38,6
2013,1,10,19,30,0,0,118.13,6
2013,1,10,20,30,0,0,130.1,6
2013,1,10,21,30,0,0,142.01,6
2013,1,10,22,30,0,0,153.32,6
2013,1,10,23,30,0,0,162.41,6
2013,1,11,0,30,0,0,164.41,6
2013,1,11,1,30,0,0,157.33,6
2013,1,11,2,30,0,0,146.56,6
2013,1,11,3,30,0,0,134.79,6
2013,1,11,4,30,0,0,122.8,7
2013,1,11,5,30,0,0,110.93,7
2013,1,11,6,30,0,0,99.4,7
2013,1,11,7,30,11,0,88.48,7
2013,1,11,8,30,164,571,78.5,8
2013,1,11,9,30,55,0,69.9,9
2013,1,11,10,30,286,203,63.3,10
2013,1,11,11,30,84,0,59.38,10
2013,1,11,12,30,319,157,58.69,11
2013,1,11,13,30,80,0,61.35,12
2013,1,11,14,30,75,0,66.96000000000001,12
2013,1,11,15,30,71,0,74.83,12
2013,1,11,16,30,10,0,84.32000000000001,12
2013,1,11,17,30,0,0,94.9,12
2013,1,11,18,30,0,0,106.21,12
2013,1,11,19,30,0,0,117.97,12
2013,1,11,20,30,0,0,129.94,11
2013,1,11,21,30,0,0,141.85,11
2013,1,11,22,30,0,0,153.15,10
2013,1,11,23,30,0,0,162.23,10
2013,1,12,0,30,0,0,164.28,10
2013,1,12,1,30,0,0,157.27,9
2013,1,12,2,30,0,0,146.54,9
2013,1,12,3,30,0,0,134.79,9
2013,1,12,4,30,0,0,122.8,9
2013,1,12,5,30,0,0,110.92,9
2013,1,12,6,30,0,0,99.38,9
2013,1,12,7,30,16,113,88.44,9
2013,1,12,8,30,158,535,78.44,9
2013,1,12,9,30,103,0,69.82000000000001,10
2013,1,12,10,30,222,67,63.18,11
2013,1,12,11,30,204,19,59.23,11
2013,1,12,12,30,178,5,58.52,12
2013,1,12,13,30,116,0,61.17,12
2013,1,12,14,30,136,0,66.77,11
2013,1,12,15,30,165,252,74.65,10
2013,1,12,16,30,62,235,84.14,9
2013,1,12,17,30,0,0,94.73,9
2013,1,12,18,30,0,0,106.05,8
2013,1,12,19,30,0,0,117.81,8
2013,1,12,20,30,0,0,129.78,8
2013,1,12,21,30,0,0,141.68,8
2013,1,12,22,30,0,0,152.97,8
2013,1,12,23,30,0,0,162.04,8
2013,1,13,0,30,0,0,164.13,8
2013,1,13,1,30,0,0,157.21,8
2013,1,13,2,30,0,0,146.52,8
2013,1,13,3,30,0,0,134.78,8
2013,1,13,4,30,0,0,122.79,8
2013,1,13,5,30,0,0,110.9,8
2013,1,13,6,30,0,0,99.35,8
2013,1,13,7,30,8,0,88.4,9
2013,1,13,8,30,63,0,78.37,10
2013,1,13,9,30,139,21,69.72,11
2013,1,13,10,30,205,43,63.06,12
2013,1,13,11,30,256,65,59.08,13
2013,1,13,12,30,343,199,58.35,14
2013,1,13,13,30,316,209,60.98,14
2013,1,13,14,30,283,327,66.58,14
2013,1,13,15,30,137,113,74.46000000000001,13
2013,1,13,16,30,66,283,83.96000000000001,13
2013,1,13,17,30,0,0,94.56,12
2013,1,13,18,30,0,0,105.88,12
2013,1,13,19,30,0,0,117.65,12
2013,1,13,20,30,0,0,129.62,12
2013,1,13,21,30,0,0,141.51,12
2013,1,13,22,30,0,0,152.79,12
2013,1,13,23,30,0,0,161.85,12
2013,1,14,0,30,0,0,163.98,12
2013,1,14,1,30,0,0,157.14,12
2013,1,14,2,30,0,0,146.49,12
2013,1,14,3,30,0,0,134.76,11
2013,1,14,4,30,0,0,122.77,11
2013,1,14,5,30,0,0,110.87,11
2013,1,14,6,30,0,0,99.32,11
2013,1,14,7,30,16,0,88.35000000000001,11
2013,1,14,8,30,122,246,78.3,12
2013,1,14,9,30,228,263,69.62,13
2013,1,14,10,30,144,0,62.93,14
2013,1,14,11,30,67,0,58.92,15
2013,1,14,12,30,114,0,58.16,16
2013,1,14,13,30,20,0,60.79,17
2013,1,14,14,30,51,0,66.38,16
2013,1,14,15,30,35,0,74.27,15
2013,1,14,16,30,2,0,83.77,14
2013,1,14,17,30,0,0,94.38,12
2013,1,14,18,30,0,0,105.71,11
2013,1,14,19,30,0,0,117.48,11
2013,1,14,20,30,0,0,129.46,10
2013,1,14,21,30,0,0,141.35,10
2013,1,14,22,30,0,0,152.61,10
2013,1,14,23,30,0,0,161.65,9
2013,1,15,0,30,0,0,163.82,8
2013,1,15,1,30,0,0,157.06,8
2013,1,15,2,30,0,0,146.45000000000002,7
2013,1,15,3,30,0,0,134.73,7
2013,1,15,4,30,0,0,122.75,7
2013,1,15,5,30,0,0,110.84,7
2013,1,15,6,30,0,0,99.28,8
2013,1,15,7,30,3,0,88.29,8
2013,1,15,8,30,54,0,78.22,8
2013,1,15,9,30,34,0,69.52,8
2013,1,15,10,30,27,0,62.79,8
2013,1,15,11,30,71,0,58.75,8
2013,1,15,12,30,52,0,57.97,8
2013,1,15,13,30,52,0,60.58,8
2013,1,15,14,30,63,0,66.18,8
2013,1,15,15,30,98,2,74.07000000000001,7
2013,1,15,16,30,18,0,83.58,7
2013,1,15,17,30,0,0,94.2,7
2013,1,15,18,30,0,0,105.54,7
2013,1,15,19,30,0,0,117.32,8
