Latitude,Longitude
41.8781,-87.6298
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2014,1,1,0,30,0,0,159.66,-6
2014,1,1,1,30,0,0,152.47,-5
2014,1,1,2,30,0,0,142.49,-5
2014,1,1,3,30,0,0,131.57,-5
2014,1,1,4,30,0,0,120.42,-4
2014,1,1,5,30,0,0,109.41,-4
2014,1,1,6,30,0,0,98.83,-5
2014,1,1,7,30,1,0,88.96000000000001,-5
2014,1,1,8,30,30,0,80.18,-5
2014,1,1,9,30,103,0,72.91,-5
2014,1,1,10,30,148,16,67.71000000000001,-5
2014,1,1,11,30,174,25,65.09,-5
2014,1,1,12,30,169,22,65.37,-5
2014,1,1,13,30,123,0,68.52,-5
2014,1,1,14,30,77,0,74.17,-5
2014,1,1,15,30,43,0,81.77,-5
2014,1,1,16,30,0,0,90.79,-5
2014,1,1,17,30,0,0,100.82,-5
2014,1,1,18,30,0,0,111.5,-5
2014,1,1,19,30,0,0,122.56,-5
2014,1,1,20,30,0,0,133.69,-5
2014,1,1,21,30,0,0,144.5,-5
2014,1,1,22,30,0,0,154.12,-6
2014,1,1,23,30,0,0,160.35,-5
2014,1,2,0,30,0,0,159.62,-5
2014,1,2,1,30,0,0,152.48,-5
2014,1,2,2,30,0,0,142.52,-5
2014,1,2,3,30,0,0,131.6,-5
2014,1,2,4,30,0,0,120.45,-5
2014,1,2,5,30,0,0,109.44,-5
2014,1,2,6,30,0,0,98.85,-5
2014,1,2,7,30,4,0,88.97,-6
2014,1,2,8,30,53,0,80.17,-6
2014,1,2,9,30,55,0,72.88,-6
2014,1,2,10,30,96,0,67.65,-6
2014,1,2,11,30,128,0,65.01,-6
2014,1,2,12,30,127,0,65.27,-6
2014,1,2,13,30,95,0,68.4,-6
2014,1,2,14,30,69,0,74.04,-6
2014,1,2,15,30,38,0,81.63,-6
2014,1,2,16,30,0,0,90.65,-7
2014,1,2,17,30,0,0,100.68,-7
