Latitude,Longitude
46.8772,-96.7898
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2014,1,1,0,30,0,0,156.11,-26
2014,1,1,1,30,0,0,153.29,-26
2014,1,1,2,30,0,0,146.18,-26
2014,1,1,3,30,0,0,136.98,-26
2014,1,1,4,30,0,0,126.95,-26
2014,1,1,5,30,0,0,116.72,-25
2014,1,1,6,30,0,0,106.67,-25
2014,1,1,7,30,0,0,97.12,-25
2014,1,1,8,30,3,0,88.39,-24
2014,1,1,9,30,22,0,80.87,-23
2014,1,1,10,30,51,0,74.98,-22
2014,1,1,11,30,67,0,71.19,-21
2014,1,1,12,30,57,0,69.84,-20
2014,1,1,13,30,128,19,71.11,-19
2014,1,1,14,30,96,6,74.84,-19
2014,1,1,15,30,63,23,80.67,-19
2014,1,1,16,30,10,0,88.15,-19
2014,1,1,17,30,0,0,96.85,-20
2014,1,1,18,30,0,0,106.37,-21
2014,1,1,19,30,0,0,116.41,-22
2014,1,1,20,30,0,0,126.64,-23
2014,1,1,21,30,0,0,136.68,-23
2014,1,1,22,30,0,0,145.9,-23
2014,1,1,23,30,0,0,153.07,-23
2014,1,2,0,30,0,0,156.02,-24
2014,1,2,1,30,0,0,153.25,-24
2014,1,2,2,30,0,0,146.18,-25
2014,1,2,3,30,0,0,137.0,-25
2014,1,2,4,30,0,0,126.97,-26
2014,1,2,5,30,0,0,116.74,-26
2014,1,2,6,30,0,0,106.68,-27
2014,1,2,7,30,0,0,97.12,-27
2014,1,2,8,30,22,0,88.38,-28
2014,1,2,9,30,148,654,80.85000000000001,-27
2014,1,2,10,30,269,802,74.94,-25
2014,1,2,11,30,349,865,71.12,-23
2014,1,2,12,30,377,882,69.76,-22
2014,1,2,13,30,350,862,71.0,-21
2014,1,2,14,30,271,798,74.72,-21
2014,1,2,15,30,152,656,80.54,-21
2014,1,2,16,30,26,282,88.01,-22
2014,1,2,17,30,0,0,96.71,-23
2014,1,2,18,30,0,0,106.23,-22
2014,1,2,19,30,0,0,116.27,-22
2014,1,2,20,30,0,0,126.5,-21
2014,1,2,21,30,0,0,136.54,-21
2014,1,2,22,30,0,0,145.76,-20
2014,1,2,23,30,0,0,152.94,-20
2014,1,3,0,30,0,0,155.93,-19
2014,1,3,1,30,0,0,153.20000000000002,-19
2014,1,3,2,30,0,0,146.17000000000002,-19
2014,1,3,3,30,0,0,137.01,-18
2014,1,3,4,30,0,0,126.99,-17
2014,1,3,5,30,0,0,116.75,-16
2014,1,3,6,30,0,0,106.69,-15
2014,1,3,7,30,0,0,97.12,-14
2014,1,3,8,30,2,0,88.37,-13
2014,1,3,9,30,16,0,80.81,-12
2014,1,3,10,30,99,13,74.89,-11
2014,1,3,11,30,40,0,71.04,-9
2014,1,3,12,30,47,0,69.66,-8
