Latitude,Longitude
30.3322,-81.6557
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2015,1,1,0,30,0,0,172.69,11
2015,1,1,1,30,0,0,164.74,11
2015,1,1,2,30,0,0,152.3,10
2015,1,1,3,30,0,0,139.39,10
2015,1,1,4,30,0,0,126.49,10
2015,1,1,5,30,0,0,113.77,10
2015,1,1,6,30,0,0,101.39,10
2015,1,1,7,30,0,0,89.53,11
2015,1,1,8,30,100,123,78.48,11
2015,1,1,9,30,56,0,68.63,12
2015,1,1,10,30,244,66,60.61,13
2015,1,1,11,30,248,31,55.23,14
2015,1,1,12,30,245,23,53.31,15
2015,1,1,13,30,279,56,55.2,15
2015,1,1,14,30,209,29,60.56,15
2015,1,1,15,30,123,0,68.56,15
2015,1,1,16,30,92,75,78.39,14
2015,1,1,17,30,0,0,89.44,13
2015,1,1,18,30,0,0,101.29,13
2015,1,1,19,30,0,0,113.67,13
2015,1,1,20,30,0,0,126.39,13
2015,1,1,21,30,0,0,139.29,13
2015,1,1,22,30,0,0,152.19,13
2015,1,1,23,30,0,0,164.63,13
2015,1,2,0,30,0,0,172.61,13
2015,1,2,1,30,0,0,164.79,13
2015,1,2,2,30,0,0,152.37,12
2015,1,2,3,30,0,0,139.46,12
2015,1,2,4,30,0,0,126.56,12
2015,1,2,5,30,0,0,113.83,12
2015,1,2,6,30,0,0,101.45,12
2015,1,2,7,30,0,0,89.57000000000001,13
2015,1,2,8,30,6,0,78.5,14
2015,1,2,9,30,165,49,68.64,16
2015,1,2,10,30,251,76,60.59,18
2015,1,2,11,30,264,42,55.18,20
2015,1,2,12,30,242,21,53.22,21
2015,1,2,13,30,455,387,55.09,22
2015,1,2,14,30,349,279,60.43,21
2015,1,2,15,30,212,155,68.42,20
2015,1,2,16,30,88,56,78.25,19
2015,1,2,17,30,0,0,89.3,17
2015,1,2,18,30,0,0,101.16,16
2015,1,2,19,30,0,0,113.54,16
2015,1,2,20,30,0,0,126.25,15
2015,1,2,21,30,0,0,139.15,15
2015,1,2,22,30,0,0,152.06,15
2015,1,2,23,30,0,0,164.49,15
2015,1,3,0,30,0,0,172.51,15
2015,1,3,1,30,0,0,164.83,15
2015,1,3,2,30,0,0,152.43,16
2015,1,3,3,30,0,0,139.53,16
2015,1,3,4,30,0,0,126.62,16
2015,1,3,5,30,0,0,113.89,16
2015,1,3,6,30,0,0,101.5,16
2015,1,3,7,30,0,0,89.61,17
2015,1,3,8,30,156,537,78.53,19
2015,1,3,9,30,335,736,68.64,21
2015,1,3,10,30,261,89,60.56,22
2015,1,3,11,30,442,349,55.120000000000005,23
2015,1,3,12,30,467,355,53.13,24
2015,1,3,13,30,465,412,54.97,24
2015,1,3,14,30,393,418,60.29,24
2015,1,3,15,30,217,165,68.28,23
2015,1,3,16,30,65,0,78.11,22
2015,1,3,17,30,0,0,89.16,20
2015,1,3,18,30,0,0,101.02,20
2015,1,3,19,30,0,0,113.4,19
2015,1,3,20,30,0,0,126.12,19
2015,1,3,21,30,0,0,139.02,19
2015,1,3,22,30,0,0,151.92000000000002,19
2015,1,3,23,30,0,0,164.35,19
2015,1,4,0,30,0,0,172.41,19
2015,1,4,1,30,0,0,164.87,18
2015,1,4,2,30,0,0,152.49,18
2015,1,4,3,30,0,0,139.59,18
2015,1,4,4,30,0,0,126.68,18
2015,1,4,5,30,0,0,113.95,18
2015,1,4,6,30,0,0,101.54,18
2015,1,4,7,30,0,0,89.64,18
2015,1,4,8,30,153,477,78.54,20
2015,1,4,9,30,151,27,68.63,21
2015,1,4,10,30,278,116,60.53,22
2015,1,4,11,30,354,150,55.05,23
2015,1,4,12,30,452,305,53.02,24
2015,1,4,13,30,342,127,54.84,24
2015,1,4,14,30,214,31,60.15,23
2015,1,4,15,30,207,132,68.13,22
2015,1,4,16,30,63,0,77.96000000000001,21
2015,1,4,17,30,0,0,89.02,21
2015,1,4,18,30,0,0,100.88,20
2015,1,4,19,30,0,0,113.26,20
