Latitude,Longitude
29.9509,-90.0758
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2015,1,1,0,30,0,0,170.88,8
2015,1,1,1,30,0,0,159.49,8
2015,1,1,2,30,0,0,146.66,8
2015,1,1,3,30,0,0,133.68,8
2015,1,1,4,30,0,0,120.8,8
2015,1,1,5,30,0,0,108.17,8
2015,1,1,6,30,0,0,95.96,8
2015,1,1,7,30,4,0,84.37,9
2015,1,1,8,30,54,0,73.74,10
2015,1,1,9,30,100,0,64.56,10
2015,1,1,10,30,129,0,57.54,12
2015,1,1,11,30,217,12,53.57,13
2015,1,1,12,30,270,37,53.32,14
2015,1,1,13,30,220,20,56.84,15
2015,1,1,14,30,166,11,63.52,15
2015,1,1,15,30,177,188,72.46000000000001,14
2015,1,1,16,30,23,0,82.94,14
2015,1,1,17,30,0,0,94.43,13
2015,1,1,18,30,0,0,106.58,13
2015,1,1,19,30,0,0,119.16,13
2015,1,1,20,30,0,0,132.02,13
2015,1,1,21,30,0,0,144.99,13
2015,1,1,22,30,0,0,157.86,13
2015,1,1,23,30,0,0,169.64,13
2015,1,2,0,30,0,0,170.88,13
2015,1,2,1,30,0,0,159.55,13
2015,1,2,2,30,0,0,146.73,13
2015,1,2,3,30,0,0,133.75,13
2015,1,2,4,30,0,0,120.87,14
2015,1,2,5,30,0,0,108.23,14
2015,1,2,6,30,0,0,96.01,14
2015,1,2,7,30,20,0,84.4,15
2015,1,2,8,30,150,136,73.76,17
2015,1,2,9,30,290,257,64.55,18
2015,1,2,10,30,406,338,57.51,18
2015,1,2,11,30,435,279,53.5,19
2015,1,2,12,30,447,300,53.22,20
2015,1,2,13,30,350,175,56.72,20
2015,1,2,14,30,267,154,63.38,20
2015,1,2,15,30,111,6,72.33,19
2015,1,2,16,30,37,0,82.8,18
2015,1,2,17,30,0,0,94.29,18
2015,1,2,18,30,0,0,106.44,18
2015,1,2,19,30,0,0,119.03,18
2015,1,2,20,30,0,0,131.88,18
2015,1,2,21,30,0,0,144.86,18
2015,1,2,22,30,0,0,157.73,18
2015,1,2,23,30,0,0,169.5,18
2015,1,3,0,30,0,0,170.87,18
2015,1,3,1,30,0,0,159.61,18
2015,1,3,2,30,0,0,146.8,18
2015,1,3,3,30,0,0,133.82,18
2015,1,3,4,30,0,0,120.93,18
2015,1,3,5,30,0,0,108.29,18
2015,1,3,6,30,0,0,96.05,18
2015,1,3,7,30,48,151,84.44,18
2015,1,3,8,30,104,9,73.77,19
2015,1,3,9,30,196,46,64.54,20
2015,1,3,10,30,183,5,57.46,21
2015,1,3,11,30,305,66,53.42,21
2015,1,3,12,30,352,117,53.11,21
2015,1,3,13,30,304,97,56.59,20
2015,1,3,14,30,235,87,63.24,20
2015,1,3,15,30,158,108,72.18,20
2015,1,3,16,30,27,0,82.66,20
2015,1,3,17,30,0,0,94.15,20
2015,1,3,18,30,0,0,106.3,19
2015,1,3,19,30,0,0,118.89,19
2015,1,3,20,30,0,0,131.75,19
2015,1,3,21,30,0,0,144.73,19
2015,1,3,22,30,0,0,157.59,18
2015,1,3,23,30,0,0,169.35,17
2015,1,4,0,30,0,0,170.85,16
2015,1,4,1,30,0,0,159.67000000000002,15
2015,1,4,2,30,0,0,146.86,15
2015,1,4,3,30,0,0,133.88,15
2015,1,4,4,30,0,0,120.99,14
2015,1,4,5,30,0,0,108.34,14
2015,1,4,6,30,0,0,96.09,14
2015,1,4,7,30,25,0,84.46000000000001,14
2015,1,4,8,30,145,118,73.77,14
2015,1,4,9,30,347,476,64.52,14
2015,1,4,10,30,411,350,57.41,14
2015,1,4,11,30,515,505,53.34,14
2015,1,4,12,30,549,624,52.99,14
2015,1,4,13,30,261,48,56.46,14
2015,1,4,14,30,283,188,63.1,14
2015,1,4,15,30,172,152,72.03,14
2015,1,4,16,30,36,0,82.51,13
2015,1,4,17,30,0,0,94.01,12
2015,1,4,18,30,0,0,106.16,11
2015,1,4,19,30,0,0,118.76,11
2015,1,4,20,30,0,0,131.62,11
2015,1,4,21,30,0,0,144.59,10
2015,1,4,22,30,0,0,157.45000000000002,10
2015,1,4,23,30,0,0,169.20000000000002,9
2015,1,5,0,30,0,0,170.83,8
2015,1,5,1,30,0,0,159.71,7
2015,1,5,2,30,0,0,146.92000000000002,6
2015,1,5,3,30,0,0,133.94,6
2015,1,5,4,30,0,0,121.04,5
2015,1,5,5,30,0,0,108.39,5
2015,1,5,6,30,0,0,96.13,5
2015,1,5,7,30,45,115,84.48,5
2015,1,5,8,30,200,394,73.77,5
2015,1,5,9,30,332,411,64.49,6
2015,1,5,10,30,584,946,57.36,7
2015,1,5,11,30,659,972,53.25,8
2015,1,5,12,30,664,959,52.870000000000005,9
2015,1,5,13,30,603,943,56.32,10
2015,1,5,14,30,479,896,62.95,11
2015,1,5,15,30,264,630,71.88,10
2015,1,5,16,30,89,347,82.36,9
2015,1,5,17,30,0,0,93.86,8
2015,1,5,18,30,0,0,106.02,8
