Latitude,Longitude
40.7357,-74.1724
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2015,1,1,0,30,0,0,161.20000000000002,-3
2015,1,1,1,30,0,0,154.1,-3
2015,1,1,2,30,0,0,143.95000000000002,-3
2015,1,1,3,30,0,0,132.83,-4
2015,1,1,4,30,0,0,121.48,-4
2015,1,1,5,30,0,0,110.27,-4
2015,1,1,6,30,0,0,99.46,-5
2015,1,1,7,30,0,0,89.33,-4
2015,1,1,8,30,144,591,80.25,-2
2015,1,1,9,30,290,771,72.65,0
2015,1,1,10,30,401,856,67.08,0
2015,1,1,11,30,459,888,64.1,0
2015,1,1,12,30,459,885,64.08,1
2015,1,1,13,30,398,834,67.03,2
2015,1,1,14,30,290,759,72.58,1
2015,1,1,15,30,146,602,80.16,0
2015,1,1,16,30,0,0,89.23,0
2015,1,1,17,30,0,0,99.34,0
2015,1,1,18,30,0,0,110.14,0
2015,1,1,19,30,0,0,121.35,0
2015,1,1,20,30,0,0,132.7,0
2015,1,1,21,30,0,0,143.82,0
2015,1,1,22,30,0,0,153.97,0
2015,1,1,23,30,0,0,161.09,0
2015,1,2,0,30,0,0,161.15,0
2015,1,2,1,30,0,0,154.11,0
2015,1,2,2,30,0,0,143.99,0
2015,1,2,3,30,0,0,132.87,-1
2015,1,2,4,30,0,0,121.52,-1
2015,1,2,5,30,0,0,110.3,-1
2015,1,2,6,30,0,0,99.48,-1
2015,1,2,7,30,0,0,89.35000000000001,0
2015,1,2,8,30,83,121,80.25,0
2015,1,2,9,30,220,420,72.62,2
2015,1,2,10,30,302,403,67.03,3
2015,1,2,11,30,355,476,64.02,3
2015,1,2,12,30,302,272,63.98,4
2015,1,2,13,30,310,467,66.91,3
2015,1,2,14,30,275,639,72.45,2
2015,1,2,15,30,137,467,80.02,1
2015,1,2,16,30,0,0,89.09,0
2015,1,2,17,30,0,0,99.2,0
2015,1,2,18,30,0,0,110.0,0
2015,1,2,19,30,0,0,121.21,0
2015,1,2,20,30,0,0,132.56,0
2015,1,2,21,30,0,0,143.68,0
2015,1,2,22,30,0,0,153.83,-1
2015,1,2,23,30,0,0,160.97,-1
2015,1,3,0,30,0,0,161.1,-1
2015,1,3,1,30,0,0,154.11,-1
2015,1,3,2,30,0,0,144.01,-2
2015,1,3,3,30,0,0,132.91,-2
2015,1,3,4,30,0,0,121.56,-3
2015,1,3,5,30,0,0,110.33,-2
2015,1,3,6,30,0,0,99.51,-2
2015,1,3,7,30,0,0,89.35000000000001,-1
2015,1,3,8,30,6,0,80.24,0
2015,1,3,9,30,87,0,72.59,1
2015,1,3,10,30,77,0,66.97,3
2015,1,3,11,30,31,0,63.940000000000005,4
2015,1,3,12,30,45,0,63.88,3
2015,1,3,13,30,58,0,66.79,2
2015,1,3,14,30,82,0,72.31,2
2015,1,3,15,30,7,0,79.88,2
2015,1,3,16,30,0,0,88.94,2
2015,1,3,17,30,0,0,99.06,2
2015,1,3,18,30,0,0,109.86,2
2015,1,3,19,30,0,0,121.07,3
2015,1,3,20,30,0,0,132.42000000000002,3
2015,1,3,21,30,0,0,143.54,4
2015,1,3,22,30,0,0,153.68,4
2015,1,3,23,30,0,0,160.84,3
2015,1,4,0,30,0,0,161.03,3
2015,1,4,1,30,0,0,154.1,3
2015,1,4,2,30,0,0,144.03,3
2015,1,4,3,30,0,0,132.94,3
2015,1,4,4,30,0,0,121.59,3
2015,1,4,5,30,0,0,110.36,3
2015,1,4,6,30,0,0,99.52,3
2015,1,4,7,30,0,0,89.36,3
2015,1,4,8,30,9,0,80.22,3
2015,1,4,9,30,84,0,72.56,4
2015,1,4,10,30,16,0,66.91,5
2015,1,4,11,30,60,0,63.85,6
2015,1,4,12,30,158,6,63.76,7
2015,1,4,13,30,70,0,66.66,8
2015,1,4,14,30,114,8,72.17,8
2015,1,4,15,30,54,0,79.73,7
2015,1,4,16,30,5,0,88.8,7
2015,1,4,17,30,0,0,98.91,7
2015,1,4,18,30,0,0,109.72,7
