Latitude,Longitude
43.0389,-87.9065
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2015,1,1,0,30,0,0,158.69,-9
2015,1,1,1,30,0,0,151.94,-9
2015,1,1,2,30,0,0,142.31,-9
2015,1,1,3,30,0,0,131.64,-9
2015,1,1,4,30,0,0,120.7,-10
2015,1,1,5,30,0,0,109.88,-10
2015,1,1,6,30,0,0,99.47,-10
2015,1,1,7,30,0,0,89.76,-10
2015,1,1,8,30,92,258,81.12,-9
2015,1,1,9,30,179,282,73.99,-7
2015,1,1,10,30,121,0,68.88,-5
2015,1,1,11,30,89,0,66.28,-3
2015,1,1,12,30,187,55,66.51,-2
2015,1,1,13,30,139,19,69.53,-1
2015,1,1,14,30,136,126,75.0,-1
2015,1,1,15,30,101,463,82.41,-1
2015,1,1,16,30,0,0,91.25,-2
2015,1,1,17,30,0,0,101.08,-2
2015,1,1,18,30,0,0,111.58,-2
2015,1,1,19,30,0,0,122.44,-3
2015,1,1,20,30,0,0,133.36,-3
2015,1,1,21,30,0,0,143.92000000000002,-4
2015,1,1,22,30,0,0,153.24,-4
2015,1,1,23,30,0,0,159.21,-4
2015,1,2,0,30,0,0,158.64,-5
2015,1,2,1,30,0,0,151.94,-5
2015,1,2,2,30,0,0,142.33,-6
2015,1,2,3,30,0,0,131.68,-6
2015,1,2,4,30,0,0,120.73,-7
2015,1,2,5,30,0,0,109.91,-8
2015,1,2,6,30,0,0,99.49,-8
2015,1,2,7,30,0,0,89.77,-7
2015,1,2,8,30,96,294,81.12,-6
2015,1,2,9,30,193,362,73.96000000000001,-4
2015,1,2,10,30,280,447,68.83,-2
2015,1,2,11,30,332,517,66.2,0
2015,1,2,12,30,356,664,66.41,0
2015,1,2,13,30,245,322,69.42,0
2015,1,2,14,30,183,373,74.88,0
2015,1,2,15,30,70,155,82.27,-1
2015,1,2,16,30,0,0,91.11,-2
2015,1,2,17,30,0,0,100.94,-2
2015,1,2,18,30,0,0,111.44,-2
2015,1,2,19,30,0,0,122.3,-2
2015,1,2,20,30,0,0,133.22,-2
2015,1,2,21,30,0,0,143.78,-2
2015,1,2,22,30,0,0,153.1,-2
2015,1,2,23,30,0,0,159.1,-2
2015,1,3,0,30,0,0,158.59,-2
2015,1,3,1,30,0,0,151.93,-2
2015,1,3,2,30,0,0,142.35,-1
2015,1,3,3,30,0,0,131.7,-1
2015,1,3,4,30,0,0,120.76,-1
2015,1,3,5,30,0,0,109.93,-1
2015,1,3,6,30,0,0,99.5,-1
2015,1,3,7,30,0,0,89.77,0
2015,1,3,8,30,13,0,81.10000000000001,0
2015,1,3,9,30,40,0,73.93,0
2015,1,3,10,30,60,0,68.76,0
2015,1,3,11,30,69,0,66.12,0
2015,1,3,12,30,64,0,66.3,0
2015,1,3,13,30,104,0,69.29,0
2015,1,3,14,30,124,73,74.74,0
2015,1,3,15,30,49,7,82.13,0
2015,1,3,16,30,0,0,90.96,0
2015,1,3,17,30,0,0,100.8,0
2015,1,3,18,30,0,0,111.29,0
2015,1,3,19,30,0,0,122.15,0
2015,1,3,20,30,0,0,133.08,0
2015,1,3,21,30,0,0,143.63,0
2015,1,3,22,30,0,0,152.96,-1
2015,1,3,23,30,0,0,158.98,-1
2015,1,4,0,30,0,0,158.52,-1
2015,1,4,1,30,0,0,151.92000000000002,-1
2015,1,4,2,30,0,0,142.36,-1
2015,1,4,3,30,0,0,131.72,-1
2015,1,4,4,30,0,0,120.78,-1
2015,1,4,5,30,0,0,109.95,-1
2015,1,4,6,30,0,0,99.51,-2
2015,1,4,7,30,0,0,89.76,-3
2015,1,4,8,30,25,0,81.08,-4
2015,1,4,9,30,53,0,73.88,-5
2015,1,4,10,30,107,0,68.7,-6
2015,1,4,11,30,175,34,66.03,-7
2015,1,4,12,30,196,66,66.19,-7
2015,1,4,13,30,177,81,69.16,-8
2015,1,4,14,30,181,340,74.60000000000001,-8
2015,1,4,15,30,118,529,81.99,-9
2015,1,4,16,30,0,0,90.81,-11
2015,1,4,17,30,0,0,100.65,-12
2015,1,4,18,30,0,0,111.14,-13
2015,1,4,19,30,0,0,122.01,-14
2015,1,4,20,30,0,0,132.93,-15
2015,1,4,21,30,0,0,143.49,-16
2015,1,4,22,30,0,0,152.81,-16
2015,1,4,23,30,0,0,158.85,-17
2015,1,5,0,30,0,0,158.45000000000002,-17
2015,1,5,1,30,0,0,151.9,-17
2015,1,5,2,30,0,0,142.37,-17
2015,1,5,3,30,0,0,131.74,-18
2015,1,5,4,30,0,0,120.8,-18
2015,1,5,5,30,0,0,109.96,-18
2015,1,5,6,30,0,0,99.51,-18
2015,1,5,7,30,0,0,89.75,-18
2015,1,5,8,30,87,207,81.05,-17
2015,1,5,9,30,179,275,73.83,-16
2015,1,5,10,30,253,309,68.62,-15
2015,1,5,11,30,395,821,65.93,-15
2015,1,5,12,30,346,576,66.07000000000001,-14
2015,1,5,13,30,253,336,69.02,-14
2015,1,5,14,30,158,201,74.45,-14
2015,1,5,15,30,84,248,81.84,-14
2015,1,5,16,30,0,0,90.66,-15
2015,1,5,17,30,0,0,100.5,-15
2015,1,5,18,30,0,0,110.99,-14
2015,1,5,19,30,0,0,121.85,-14
2015,1,5,20,30,0,0,132.78,-14
2015,1,5,21,30,0,0,143.33,-14
2015,1,5,22,30,0,0,152.66,-14
2015,1,5,23,30,0,0,158.71,-14
2015,1,6,0,30,0,0,158.37,-14
2015,1,6,1,30,0,0,151.87,-14
2015,1,6,2,30,0,0,142.37,-14
2015,1,6,3,30,0,0,131.75,-14
2015,1,6,4,30,0,0,120.81,-15
2015,1,6,5,30,0,0,109.96,-16
2015,1,6,6,30,0,0,99.51,-16
2015,1,6,7,30,0,0,89.73,-15
2015,1,6,8,30,68,67,81.01,-14
2015,1,6,9,30,148,126,73.77,-13
2015,1,6,10,30,394,878,68.54,-11
2015,1,6,11,30,371,698,65.82000000000001,-10
2015,1,6,12,30,448,909,65.94,-9
2015,1,6,13,30,275,427,68.88,-9
2015,1,6,14,30,272,775,74.3,-9
2015,1,6,15,30,62,60,81.68,-9
2015,1,6,16,30,0,0,90.5,-10
2015,1,6,17,30,0,0,100.34,-10
2015,1,6,18,30,0,0,110.84,-10
2015,1,6,19,30,0,0,121.7,-11
2015,1,6,20,30,0,0,132.62,-11
2015,1,6,21,30,0,0,143.18,-11
2015,1,6,22,30,0,0,152.5,-12
2015,1,6,23,30,0,0,158.57,-13
2015,1,7,0,30,0,0,158.28,-14
2015,1,7,1,30,0,0,151.84,-14
2015,1,7,2,30,0,0,142.36,-15
2015,1,7,3,30,0,0,131.75,-16
2015,1,7,4,30,0,0,120.81,-16
2015,1,7,5,30,0,0,109.96,-17
2015,1,7,6,30,0,0,99.5,-17
2015,1,7,7,30,0,0,89.71000000000001,-18
2015,1,7,8,30,90,229,80.97,-17
2015,1,7,9,30,213,469,73.71000000000001,-17
2015,1,7,10,30,404,883,68.45,-16
2015,1,7,11,30,362,640,65.7,-16
2015,1,7,12,30,369,686,65.8,-16
2015,1,7,13,30,335,753,68.73,-16
2015,1,7,14,30,239,684,74.14,-16
2015,1,7,15,30,134,626,81.52,-17
2015,1,7,16,30,0,0,90.34,-18
2015,1,7,17,30,0,0,100.18,-19
2015,1,7,18,30,0,0,110.68,-19
2015,1,7,19,30,0,0,121.54,-20
2015,1,7,20,30,0,0,132.47,-20
2015,1,7,21,30,0,0,143.02,-20
2015,1,7,22,30,0,0,152.34,-20
2015,1,7,23,30,0,0,158.42000000000002,-20
2015,1,8,0,30,0,0,158.19,-20
2015,1,8,1,30,0,0,151.79,-20
2015,1,8,2,30,0,0,142.35,-19
2015,1,8,3,30,0,0,131.75,-19
2015,1,8,4,30,0,0,120.81,-18
2015,1,8,5,30,0,0,109.96,-17
2015,1,8,6,30,0,0,99.48,-17
2015,1,8,7,30,0,0,89.68,-17
2015,1,8,8,30,79,134,80.92,-16
2015,1,8,9,30,217,485,73.64,-16
2015,1,8,10,30,42,0,68.35000000000001,-15
2015,1,8,11,30,183,39,65.58,-14
2015,1,8,12,30,163,18,65.66,-14
2015,1,8,13,30,142,15,68.57000000000001,-13
2015,1,8,14,30,64,0,73.98,-12
2015,1,8,15,30,12,0,81.35000000000001,-11
2015,1,8,16,30,0,0,90.18,-11
2015,1,8,17,30,0,0,100.02,-10
2015,1,8,18,30,0,0,110.52,-9
2015,1,8,19,30,0,0,121.38,-9
2015,1,8,20,30,0,0,132.31,-10
2015,1,8,21,30,0,0,142.85,-11
2015,1,8,22,30,0,0,152.17000000000002,-12
2015,1,8,23,30,0,0,158.27,-12
2015,1,9,0,30,0,0,158.08,-12
2015,1,9,1,30,0,0,151.74,-12
2015,1,9,2,30,0,0,142.32,-13
2015,1,9,3,30,0,0,131.74,-14
2015,1,9,4,30,0,0,120.8,-15
2015,1,9,5,30,0,0,109.94,-15
2015,1,9,6,30,0,0,99.46,-16
2015,1,9,7,30,0,0,89.64,-16
2015,1,9,8,30,77,115,80.87,-15
2015,1,9,9,30,179,252,73.56,-15
2015,1,9,10,30,222,179,68.25,-14
2015,1,9,11,30,309,368,65.45,-14
2015,1,9,12,30,303,347,65.51,-14
2015,1,9,13,30,402,875,68.41,-14
2015,1,9,14,30,189,323,73.81,-14
2015,1,9,15,30,138,607,81.18,-14
2015,1,9,16,30,0,0,90.01,-14
2015,1,9,17,30,0,0,99.86,-14
2015,1,9,18,30,0,0,110.36,-15
2015,1,9,19,30,0,0,121.22,-15
2015,1,9,20,30,0,0,132.14,-15
2015,1,9,21,30,0,0,142.69,-16
2015,1,9,22,30,0,0,152.0,-17
2015,1,9,23,30,0,0,158.1,-17
2015,1,10,0,30,0,0,157.97,-18
2015,1,10,1,30,0,0,151.69,-18
2015,1,10,2,30,0,0,142.3,-18
2015,1,10,3,30,0,0,131.72,-18
2015,1,10,4,30,0,0,120.79,-17
2015,1,10,5,30,0,0,109.92,-17
2015,1,10,6,30,0,0,99.43,-17
2015,1,10,7,30,0,0,89.60000000000001,-16
2015,1,10,8,30,64,36,80.8,-14
2015,1,10,9,30,128,55,73.47,-13
2015,1,10,10,30,176,61,68.14,-11
2015,1,10,11,30,201,62,65.32000000000001,-9
2015,1,10,12,30,243,150,65.35,-8
2015,1,10,13,30,209,136,68.24,-7
2015,1,10,14,30,30,0,73.64,-7
2015,1,10,15,30,8,0,81.01,-7
2015,1,10,16,30,0,0,89.84,-7
2015,1,10,17,30,0,0,99.69,-7
2015,1,10,18,30,0,0,110.19,-7
2015,1,10,19,30,0,0,121.06,-6
