Latitude,Longitude
41.5868,-93.625
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2016,1,1,0,30,0,0,161.29,-6
2016,1,1,1,30,0,0,156.08,-7
2016,1,1,2,30,0,0,146.78,-8
2016,1,1,3,30,0,0,136.03,-8
2016,1,1,4,30,0,0,124.85,-8
2016,1,1,5,30,0,0,113.7,-9
2016,1,1,6,30,0,0,102.87,-10
2016,1,1,7,30,0,0,92.64,-10
2016,1,1,8,30,95,543,83.33,-9
2016,1,1,9,30,247,767,75.36,-6
2016,1,1,10,30,370,862,69.24,-3
2016,1,1,11,30,444,900,65.52,-1
2016,1,1,12,30,313,337,64.63,0
2016,1,1,13,30,419,872,66.68,0
2016,1,1,14,30,325,818,71.43,0
2016,1,1,15,30,186,678,78.36,0
2016,1,1,16,30,38,354,86.92,-1
2016,1,1,17,30,0,0,96.64,-2
2016,1,1,18,30,0,0,107.15,-3
2016,1,1,19,30,0,0,118.14,-4
2016,1,1,20,30,0,0,129.33,-5
2016,1,1,21,30,0,0,140.4,-7
2016,1,1,22,30,0,0,150.74,-8
2016,1,1,23,30,0,0,158.84,-9
2016,1,2,0,30,0,0,161.22,-10
2016,1,2,1,30,0,0,156.08,-11
2016,1,2,2,30,0,0,146.8,-12
2016,1,2,3,30,0,0,136.07,-12
2016,1,2,4,30,0,0,124.89,-11
2016,1,2,5,30,0,0,113.74,-11
2016,1,2,6,30,0,0,102.9,-11
2016,1,2,7,30,0,0,92.66,-10
2016,1,2,8,30,98,557,83.34,-8
2016,1,2,9,30,253,792,75.34,-6
2016,1,2,10,30,380,890,69.2,-3
2016,1,2,11,30,456,930,65.45,-1
2016,1,2,12,30,473,917,64.53,0
2016,1,2,13,30,430,893,66.57000000000001,0
2016,1,2,14,30,332,834,71.31,0
2016,1,2,15,30,192,704,78.23,0
2016,1,2,16,30,41,373,86.78,-2
2016,1,2,17,30,0,0,96.51,-3
2016,1,2,18,30,0,0,107.01,-4
2016,1,2,19,30,0,0,118.0,-5
2016,1,2,20,30,0,0,129.19,-5
2016,1,2,21,30,0,0,140.26,-6
2016,1,2,22,30,0,0,150.61,-6
2016,1,2,23,30,0,0,158.71,-7
2016,1,3,0,30,0,0,161.14,-8
2016,1,3,1,30,0,0,156.07,-8
2016,1,3,2,30,0,0,146.82,-9
2016,1,3,3,30,0,0,136.1,-10
2016,1,3,4,30,0,0,124.93,-10
2016,1,3,5,30,0,0,113.77,-11
2016,1,3,6,30,0,0,102.93,-12
2016,1,3,7,30,0,0,92.67,-12
2016,1,3,8,30,26,0,83.33,-10
2016,1,3,9,30,67,0,75.32000000000001,-8
2016,1,3,10,30,101,0,69.15,-6
2016,1,3,11,30,123,0,65.38,-4
2016,1,3,12,30,210,64,64.44,-2
2016,1,3,13,30,146,7,66.46000000000001,-2
2016,1,3,14,30,103,0,71.18,-2
2016,1,3,15,30,60,0,78.09,-4
2016,1,3,16,30,13,0,86.64,-7
2016,1,3,17,30,0,0,96.36,-9
2016,1,3,18,30,0,0,106.87,-10
2016,1,3,19,30,0,0,117.86,-11
2016,1,3,20,30,0,0,129.05,-11
2016,1,3,21,30,0,0,140.12,-11
2016,1,3,22,30,0,0,150.46,-11
2016,1,3,23,30,0,0,158.57,-11
2016,1,4,0,30,0,0,161.06,-11
2016,1,4,1,30,0,0,156.04,-11
2016,1,4,2,30,0,0,146.84,-11
2016,1,4,3,30,0,0,136.12,-12
2016,1,4,4,30,0,0,124.95,-12
2016,1,4,5,30,0,0,113.79,-12
2016,1,4,6,30,0,0,102.94,-12
2016,1,4,7,30,0,0,92.68,-11
2016,1,4,8,30,99,547,83.32000000000001,-10
2016,1,4,9,30,255,774,75.29,-8
2016,1,4,10,30,119,0,69.10000000000001,-7
2016,1,4,11,30,151,6,65.3,-5
2016,1,4,12,30,171,18,64.33,-4
2016,1,4,13,30,139,2,66.33,-3
2016,1,4,14,30,75,0,71.04,-3
2016,1,4,15,30,44,0,77.95,-4
2016,1,4,16,30,10,0,86.5,-6
2016,1,4,17,30,0,0,96.22,-7
2016,1,4,18,30,0,0,106.72,-8
2016,1,4,19,30,0,0,117.71,-7
2016,1,4,20,30,0,0,128.91,-7
2016,1,4,21,30,0,0,139.98,-7
2016,1,4,22,30,0,0,150.31,-6
2016,1,4,23,30,0,0,158.43,-6
2016,1,5,0,30,0,0,160.96,-7
2016,1,5,1,30,0,0,156.01,-7
2016,1,5,2,30,0,0,146.84,-9
2016,1,5,3,30,0,0,136.14,-10
2016,1,5,4,30,0,0,124.98,-10
2016,1,5,5,30,0,0,113.81,-10
2016,1,5,6,30,0,0,102.95,-9
2016,1,5,7,30,0,0,92.68,-8
2016,1,5,8,30,91,458,83.3,-7
2016,1,5,9,30,162,251,75.25,-5
