Latitude,Longitude
39.0997,-94.5786
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2016,1,1,0,30,0,0,163.84,-10
2016,1,1,1,30,0,0,158.34,-10
2016,1,1,2,30,0,0,148.4,-10
2016,1,1,3,30,0,0,137.13,-10
2016,1,1,4,30,0,0,125.51,-10
2016,1,1,5,30,0,0,113.96,-10
2016,1,1,6,30,0,0,102.74,-10
2016,1,1,7,30,0,0,92.1,-10
2016,1,1,8,30,115,586,82.36,-7
2016,1,1,9,30,281,803,73.94,-4
2016,1,1,10,30,416,898,67.37,-1
2016,1,1,11,30,500,940,63.26,0
2016,1,1,12,30,520,918,62.11,0
2016,1,1,13,30,479,901,64.1,1
2016,1,1,14,30,380,848,68.94,1
2016,1,1,15,30,233,725,76.07000000000001,0
2016,1,1,16,30,68,430,84.9,-1
2016,1,1,17,30,0,0,94.92,-2
2016,1,1,18,30,0,0,105.75,-3
2016,1,1,19,30,0,0,117.08,-3
2016,1,1,20,30,0,0,128.67000000000002,-3
2016,1,1,21,30,0,0,140.24,-4
2016,1,1,22,30,0,0,151.28,-4
2016,1,1,23,30,0,0,160.44,-5
2016,1,2,0,30,0,0,163.77,-6
2016,1,2,1,30,0,0,158.34,-7
2016,1,2,2,30,0,0,148.43,-7
2016,1,2,3,30,0,0,137.17000000000002,-8
2016,1,2,4,30,0,0,125.56,-8
2016,1,2,5,30,0,0,114.0,-9
2016,1,2,6,30,0,0,102.77,-9
2016,1,2,7,30,0,0,92.12,-8
2016,1,2,8,30,109,575,82.37,-6
2016,1,2,9,30,268,788,73.92,-2
2016,1,2,10,30,398,880,67.33,0
2016,1,2,11,30,479,921,63.2,0
2016,1,2,12,30,496,896,62.03,1
2016,1,2,13,30,459,880,63.99,1
2016,1,2,14,30,365,830,68.81,1
2016,1,2,15,30,226,717,75.94,0
2016,1,2,16,30,68,438,84.76,0
2016,1,2,17,30,0,0,94.78,-2
2016,1,2,18,30,0,0,105.61,-3
2016,1,2,19,30,0,0,116.94,-3
2016,1,2,20,30,0,0,128.54,-3
2016,1,2,21,30,0,0,140.1,-3
2016,1,2,22,30,0,0,151.14,-4
2016,1,2,23,30,0,0,160.31,-4
2016,1,3,0,30,0,0,163.69,-5
2016,1,3,1,30,0,0,158.33,-5
2016,1,3,2,30,0,0,148.46,-6
2016,1,3,3,30,0,0,137.21,-7
2016,1,3,4,30,0,0,125.6,-7
2016,1,3,5,30,0,0,114.04,-8
2016,1,3,6,30,0,0,102.8,-8
2016,1,3,7,30,0,0,92.14,-8
2016,1,3,8,30,112,603,82.37,-6
2016,1,3,9,30,273,809,73.91,-3
2016,1,3,10,30,404,896,67.29,-1
2016,1,3,11,30,485,932,63.120000000000005,0
2016,1,3,12,30,505,926,61.93,0
2016,1,3,13,30,467,909,63.870000000000005,0
2016,1,3,14,30,373,858,68.68,0
2016,1,3,15,30,229,705,75.8,-1
2016,1,3,16,30,69,410,84.62,-3
2016,1,3,17,30,0,0,94.64,-6
2016,1,3,18,30,0,0,105.46,-7
2016,1,3,19,30,0,0,116.8,-8
2016,1,3,20,30,0,0,128.4,-9
2016,1,3,21,30,0,0,139.96,-9
2016,1,3,22,30,0,0,151.0,-9
2016,1,3,23,30,0,0,160.17000000000002,-9
2016,1,4,0,30,0,0,163.61,-9
2016,1,4,1,30,0,0,158.32,-9
2016,1,4,2,30,0,0,148.48,-9
2016,1,4,3,30,0,0,137.24,-10
2016,1,4,4,30,0,0,125.63,-10
2016,1,4,5,30,0,0,114.07,-9
2016,1,4,6,30,0,0,102.83,-9
