Latitude,Longitude
29.7604,-95.3698
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2016,1,1,0,30,0,0,173.16,8
2016,1,1,1,30,0,0,163.93,8
2016,1,1,2,30,0,0,151.25,8
2016,1,1,3,30,0,0,138.25,7
2016,1,1,4,30,0,0,125.3,7
2016,1,1,5,30,0,0,112.55,7
2016,1,1,6,30,0,0,100.15,7
2016,1,1,7,30,16,0,88.28,7
2016,1,1,8,30,174,503,77.25,7
2016,1,1,9,30,126,0,67.46000000000001,7
2016,1,1,10,30,308,155,59.56,8
2016,1,1,11,30,110,0,54.4,8
2016,1,1,12,30,124,0,52.78,9
2016,1,1,13,30,143,0,55.03,10
2016,1,1,14,30,114,0,60.71,10
2016,1,1,15,30,105,0,68.97,9
2016,1,1,16,30,47,0,79.01,8
2016,1,1,17,30,0,0,90.2,7
2016,1,1,18,30,0,0,102.17,7
2016,1,1,19,30,0,0,114.65,7
2016,1,1,20,30,0,0,127.44,6
2016,1,1,21,30,0,0,140.41,6
2016,1,1,22,30,0,0,153.39,6
2016,1,1,23,30,0,0,165.9,6
2016,1,2,0,30,0,0,173.1,6
2016,1,2,1,30,0,0,163.99,6
2016,1,2,2,30,0,0,151.33,5
2016,1,2,3,30,0,0,138.33,5
2016,1,2,4,30,0,0,125.37,5
2016,1,2,5,30,0,0,112.61,5
2016,1,2,6,30,0,0,100.2,5
2016,1,2,7,30,1,0,88.33,5
2016,1,2,8,30,17,0,77.27,6
2016,1,2,9,30,217,141,67.46000000000001,7
2016,1,2,10,30,195,15,59.54,8
2016,1,2,11,30,107,0,54.34,8
2016,1,2,12,30,100,0,52.69,9
2016,1,2,13,30,89,0,54.91,9
2016,1,2,14,30,397,448,60.58,9
2016,1,2,15,30,245,282,68.84,9
2016,1,2,16,30,112,211,78.87,8
2016,1,2,17,30,0,0,90.06,7
2016,1,2,18,30,0,0,102.04,7
2016,1,2,19,30,0,0,114.51,6
2016,1,2,20,30,0,0,127.31,6
2016,1,2,21,30,0,0,140.28,5
2016,1,2,22,30,0,0,153.26,5
2016,1,2,23,30,0,0,165.76,5
2016,1,3,0,30,0,0,173.03,5
2016,1,3,1,30,0,0,164.04,5
2016,1,3,2,30,0,0,151.39,5
2016,1,3,3,30,0,0,138.4,5
2016,1,3,4,30,0,0,125.44,5
2016,1,3,5,30,0,0,112.67,5
2016,1,3,6,30,0,0,100.25,5
2016,1,3,7,30,18,0,88.36,5
2016,1,3,8,30,187,630,77.29,7
2016,1,3,9,30,371,798,67.46000000000001,9
2016,1,3,10,30,519,878,59.51,12
2016,1,3,11,30,614,916,54.28,13
2016,1,3,12,30,645,928,52.59,14
2016,1,3,13,30,609,915,54.79,15
2016,1,3,14,30,509,874,60.44,15
2016,1,3,15,30,354,787,68.69,14
2016,1,3,16,30,166,599,78.72,11
2016,1,3,17,30,0,0,89.92,9
2016,1,3,18,30,0,0,101.9,8
2016,1,3,19,30,0,0,114.38,7
2016,1,3,20,30,0,0,127.17,7
2016,1,3,21,30,0,0,140.15,6
2016,1,3,22,30,0,0,153.13,5
2016,1,3,23,30,0,0,165.62,4
2016,1,4,0,30,0,0,172.94,4
2016,1,4,1,30,0,0,164.08,3
2016,1,4,2,30,0,0,151.46,3
2016,1,4,3,30,0,0,138.46,2
2016,1,4,4,30,0,0,125.5,2
2016,1,4,5,30,0,0,112.73,1
2016,1,4,6,30,0,0,100.3,1
2016,1,4,7,30,19,231,88.4,3
2016,1,4,8,30,200,701,77.31,6
2016,1,4,9,30,392,861,67.46000000000001,9
2016,1,4,10,30,544,934,59.47,12
2016,1,4,11,30,640,967,54.21,13
2016,1,4,12,30,668,969,52.49,14
2016,1,4,13,30,629,954,54.66,15
2016,1,4,14,30,525,914,60.3,14
2016,1,4,15,30,366,829,68.55,13
2016,1,4,16,30,173,649,78.58,11
2016,1,4,17,30,0,0,89.78,8
2016,1,4,18,30,0,0,101.76,7
2016,1,4,19,30,0,0,114.24,7
2016,1,4,20,30,0,0,127.04,6
2016,1,4,21,30,0,0,140.02,5
2016,1,4,22,30,0,0,152.99,5
2016,1,4,23,30,0,0,165.48,4
2016,1,5,0,30,0,0,172.85,4
2016,1,5,1,30,0,0,164.12,3
2016,1,5,2,30,0,0,151.52,3
2016,1,5,3,30,0,0,138.52,2
2016,1,5,4,30,0,0,125.56,1
2016,1,5,5,30,0,0,112.78,1
2016,1,5,6,30,0,0,100.34,1
2016,1,5,7,30,14,0,88.42,2
2016,1,5,8,30,157,380,77.32000000000001,4
2016,1,5,9,30,381,808,67.44,6
2016,1,5,10,30,532,887,59.43,9
2016,1,5,11,30,627,922,54.13,10
2016,1,5,12,30,657,934,52.38,11
2016,1,5,13,30,546,701,54.53,11
2016,1,5,14,30,515,869,60.15,11
2016,1,5,15,30,356,763,68.4,10
2016,1,5,16,30,167,570,78.43,8
2016,1,5,17,30,0,0,89.63,6
