Latitude,Longitude
41.14,-104.8202
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2016,1,1,0,30,0,0,161.01,-15
2016,1,1,1,30,0,0,154.24,-15
2016,1,1,2,30,0,0,144.28,-15
2016,1,1,3,30,0,0,133.27,-14
2016,1,1,4,30,0,0,121.99,-14
2016,1,1,5,30,0,0,110.82,-14
2016,1,1,6,30,0,0,100.05,-14
2016,1,1,7,30,0,0,89.95,-12
2016,1,1,8,30,153,775,80.88,-9
2016,1,1,9,30,308,922,73.26,-5
2016,1,1,10,30,423,982,67.64,-2
2016,1,1,11,30,486,999,64.57000000000001,0
2016,1,1,12,30,488,996,64.43,0
2016,1,1,13,30,430,968,67.24,0
2016,1,1,14,30,317,899,72.64,0
2016,1,1,15,30,165,752,80.09,-3
2016,1,1,16,30,0,0,89.05,-6
2016,1,1,17,30,0,0,99.07,-7
2016,1,1,18,30,0,0,109.79,-8
2016,1,1,19,30,0,0,120.93,-8
2016,1,1,20,30,0,0,132.2,-8
2016,1,1,21,30,0,0,143.26,-8
2016,1,1,22,30,0,0,153.36,-8
2016,1,1,23,30,0,0,160.55,-8
2016,1,2,0,30,0,0,160.96,-8
2016,1,2,1,30,0,0,154.25,-8
2016,1,2,2,30,0,0,144.31,-9
2016,1,2,3,30,0,0,133.31,-8
2016,1,2,4,30,0,0,122.03,-8
2016,1,2,5,30,0,0,110.86,-8
2016,1,2,6,30,0,0,100.08,-8
2016,1,2,7,30,0,0,89.97,-6
2016,1,2,8,30,150,742,80.87,-4
2016,1,2,9,30,305,899,73.24,-1
2016,1,2,10,30,422,967,67.6,0
2016,1,2,11,30,485,993,64.5,2
2016,1,2,12,30,489,994,64.34,3
2016,1,2,13,30,432,969,67.12,3
2016,1,2,14,30,321,907,72.51,1
2016,1,2,15,30,169,761,79.96000000000001,-1
2016,1,2,16,30,17,0,88.91,-3
2016,1,2,17,30,0,0,98.93,-4
2016,1,2,18,30,0,0,109.65,-5
2016,1,2,19,30,0,0,120.79,-6
2016,1,2,20,30,0,0,132.07,-6
2016,1,2,21,30,0,0,143.12,-6
2016,1,2,22,30,0,0,153.22,-5
2016,1,2,23,30,0,0,160.43,-5
2016,1,3,0,30,0,0,160.9,-6
2016,1,3,1,30,0,0,154.25,-6
2016,1,3,2,30,0,0,144.34,-6
2016,1,3,3,30,0,0,133.34,-6
2016,1,3,4,30,0,0,122.06,-6
2016,1,3,5,30,0,0,110.89,-6
2016,1,3,6,30,0,0,100.1,-6
2016,1,3,7,30,0,0,89.97,-4
2016,1,3,8,30,144,665,80.87,-1
2016,1,3,9,30,297,831,73.21000000000001,1
2016,1,3,10,30,413,902,67.54,3
2016,1,3,11,30,474,913,64.42,4
2016,1,3,12,30,478,914,64.23,5
2016,1,3,13,30,421,886,67.0,5
2016,1,3,14,30,310,815,72.38,4
2016,1,3,15,30,161,650,79.82000000000001,1
2016,1,3,16,30,16,0,88.77,0
2016,1,3,17,30,0,0,98.79,0
2016,1,3,18,30,0,0,109.51,-1
2016,1,3,19,30,0,0,120.65,-2
2016,1,3,20,30,0,0,131.92000000000002,-2
2016,1,3,21,30,0,0,142.98,-2
2016,1,3,22,30,0,0,153.08,-3
2016,1,3,23,30,0,0,160.3,-3
2016,1,4,0,30,0,0,160.83,-3
2016,1,4,1,30,0,0,154.24,-3
2016,1,4,2,30,0,0,144.36,-3
2016,1,4,3,30,0,0,133.37,-3
2016,1,4,4,30,0,0,122.09,-3
2016,1,4,5,30,0,0,110.91,-3
2016,1,4,6,30,0,0,100.11,-3
2016,1,4,7,30,0,0,89.98,-2
2016,1,4,8,30,85,147,80.85000000000001,-1
2016,1,4,9,30,175,183,73.17,1
2016,1,4,10,30,281,325,67.48,2
2016,1,4,11,30,352,430,64.33,3
2016,1,4,12,30,395,635,64.12,4
2016,1,4,13,30,335,527,66.87,4
2016,1,4,14,30,317,853,72.24,3
2016,1,4,15,30,167,711,79.67,1
2016,1,4,16,30,18,0,88.62,0
2016,1,4,17,30,0,0,98.64,-1
2016,1,4,18,30,0,0,109.36,-1
2016,1,4,19,30,0,0,120.5,-2
2016,1,4,20,30,0,0,131.78,-1
2016,1,4,21,30,0,0,142.83,-1
2016,1,4,22,30,0,0,152.93,-1
2016,1,4,23,30,0,0,160.17000000000002,-1
2016,1,5,0,30,0,0,160.76,-1
2016,1,5,1,30,0,0,154.22,-2
2016,1,5,2,30,0,0,144.37,-2
2016,1,5,3,30,0,0,133.39,-2
2016,1,5,4,30,0,0,122.11,-2
2016,1,5,5,30,0,0,110.93,-3
2016,1,5,6,30,0,0,100.12,-2
2016,1,5,7,30,0,0,89.97,-1
2016,1,5,8,30,141,624,80.83,0
2016,1,5,9,30,293,798,73.13,2
2016,1,5,10,30,409,874,67.41,4
2016,1,5,11,30,471,896,64.24,5
2016,1,5,12,30,476,899,64.0,6
2016,1,5,13,30,420,871,66.74,5
2016,1,5,14,30,311,803,72.09,4
2016,1,5,15,30,163,643,79.52,1
2016,1,5,16,30,19,208,88.47,0
2016,1,5,17,30,0,0,98.49,-1
2016,1,5,18,30,0,0,109.21,-1
2016,1,5,19,30,0,0,120.35,-2
2016,1,5,20,30,0,0,131.63,-2
2016,1,5,21,30,0,0,142.68,-2
2016,1,5,22,30,0,0,152.78,-2
2016,1,5,23,30,0,0,160.03,-2
2016,1,6,0,30,0,0,160.67000000000002,-2
2016,1,6,1,30,0,0,154.20000000000002,-2
2016,1,6,2,30,0,0,144.37,-3
2016,1,6,3,30,0,0,133.41,-3
2016,1,6,4,30,0,0,122.13,-3
2016,1,6,5,30,0,0,110.94,-4
2016,1,6,6,30,0,0,100.13,-4
2016,1,6,7,30,0,0,89.96000000000001,-2
2016,1,6,8,30,144,680,80.8,0
