Latitude,Longitude
33.5207,-86.8025
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2017,1,1,0,30,0,0,166.39,9
2017,1,1,1,30,0,0,155.83,9
2017,1,1,2,30,0,0,143.65,10
2017,1,1,3,30,0,0,131.16,11
2017,1,1,4,30,0,0,118.74,11
2017,1,1,5,30,0,0,106.59,11
2017,1,1,6,30,0,0,94.89,11
2017,1,1,7,30,30,0,83.91,11
2017,1,1,8,30,103,10,74.01,12
2017,1,1,9,30,150,7,65.7,14
2017,1,1,10,30,93,0,59.67,15
2017,1,1,11,30,100,0,56.69,15
2017,1,1,12,30,32,0,57.22,15
2017,1,1,13,30,17,0,61.17,15
2017,1,1,14,30,49,0,67.95,15
2017,1,1,15,30,25,0,76.8,15
2017,1,1,16,30,4,0,87.06,15
2017,1,1,17,30,0,0,98.29,15
2017,1,1,18,30,0,0,110.14,15
2017,1,1,19,30,0,0,122.39,15
2017,1,1,20,30,0,0,134.86,15
2017,1,1,21,30,0,0,147.3,15
2017,1,1,22,30,0,0,159.23,15
2017,1,1,23,30,0,0,168.38,15
2017,1,2,0,30,0,0,166.38,15
2017,1,2,1,30,0,0,155.88,15
2017,1,2,2,30,0,0,143.70000000000002,15
2017,1,2,3,30,0,0,131.22,14
2017,1,2,4,30,0,0,118.8,14
2017,1,2,5,30,0,0,106.63,14
2017,1,2,6,30,0,0,94.93,15
2017,1,2,7,30,1,0,83.93,15
2017,1,2,8,30,4,0,74.01,16
2017,1,2,9,30,8,0,65.68,17
2017,1,2,10,30,9,0,59.620000000000005,18
2017,1,2,11,30,148,0,56.61,18
2017,1,2,12,30,40,0,57.11,19
2017,1,2,13,30,24,0,61.04,18
2017,1,2,14,30,31,0,67.81,18
2017,1,2,15,30,16,0,76.65,17
2017,1,2,16,30,2,0,86.92,17
2017,1,2,17,30,0,0,98.15,17
2017,1,2,18,30,0,0,110.0,17
2017,1,2,19,30,0,0,122.26,17
2017,1,2,20,30,0,0,134.72,17
2017,1,2,21,30,0,0,147.16,17
2017,1,2,22,30,0,0,159.09,17
2017,1,2,23,30,0,0,168.25,17
2017,1,3,0,30,0,0,166.36,17
2017,1,3,1,30,0,0,155.92000000000002,16
2017,1,3,2,30,0,0,143.76,15
2017,1,3,3,30,0,0,131.28,13
2017,1,3,4,30,0,0,118.85,12
2017,1,3,5,30,0,0,106.68,12
2017,1,3,6,30,0,0,94.96,12
2017,1,3,7,30,28,0,83.95,12
2017,1,3,8,30,93,0,74.01,13
2017,1,3,9,30,140,0,65.65,14
2017,1,3,10,30,211,26,59.57,14
2017,1,3,11,30,264,50,56.52,16
2017,1,3,12,30,427,372,56.99,17
2017,1,3,13,30,290,143,60.91,18
2017,1,3,14,30,265,297,67.67,17
2017,1,3,15,30,147,258,76.51,14
2017,1,3,16,30,26,97,86.78,12
2017,1,3,17,30,0,0,98.0,11
2017,1,3,18,30,0,0,109.86,11
2017,1,3,19,30,0,0,122.12,10
2017,1,3,20,30,0,0,134.58,9
2017,1,3,21,30,0,0,147.02,9
2017,1,3,22,30,0,0,158.94,9
2017,1,3,23,30,0,0,168.11,9
2017,1,4,0,30,0,0,166.34,10
2017,1,4,1,30,0,0,155.95000000000002,9
2017,1,4,2,30,0,0,143.8,8
2017,1,4,3,30,0,0,131.33,7
2017,1,4,4,30,0,0,118.89,7
2017,1,4,5,30,0,0,106.72,6
2017,1,4,6,30,0,0,94.99,6
2017,1,4,7,30,3,0,83.96000000000001,6
2017,1,4,8,30,13,0,74.0,6
2017,1,4,9,30,62,0,65.61,7
2017,1,4,10,30,159,0,59.5,7
2017,1,4,11,30,390,252,56.42,8
2017,1,4,12,30,352,180,56.870000000000005,8
2017,1,4,13,30,501,828,60.77,7
2017,1,4,14,30,376,769,67.52,6
2017,1,4,15,30,209,635,76.36,4
2017,1,4,16,30,38,280,86.63,4
2017,1,4,17,30,0,0,97.86,3
2017,1,4,18,30,0,0,109.72,2
2017,1,4,19,30,0,0,121.98,2
2017,1,4,20,30,0,0,134.44,2
2017,1,4,21,30,0,0,146.88,1
2017,1,4,22,30,0,0,158.8,0
2017,1,4,23,30,0,0,167.97,0
2017,1,5,0,30,0,0,166.31,-1
2017,1,5,1,30,0,0,155.98,-1
2017,1,5,2,30,0,0,143.85,-1
2017,1,5,3,30,0,0,131.37,-2
2017,1,5,4,30,0,0,118.94,-1
2017,1,5,5,30,0,0,106.75,0
2017,1,5,6,30,0,0,95.01,0
2017,1,5,7,30,54,129,83.97,1
2017,1,5,8,30,185,260,73.98,3
2017,1,5,9,30,300,336,65.57000000000001,6
2017,1,5,10,30,174,5,59.43,8
2017,1,5,11,30,562,807,56.32,9
2017,1,5,12,30,452,441,56.74,10
2017,1,5,13,30,486,782,60.63,10
2017,1,5,14,30,343,617,67.37,9
2017,1,5,15,30,197,530,76.21000000000001,7
2017,1,5,16,30,34,144,86.48,5
2017,1,5,17,30,0,0,97.71,5
2017,1,5,18,30,0,0,109.57,4
2017,1,5,19,30,0,0,121.83,4
2017,1,5,20,30,0,0,134.3,3
2017,1,5,21,30,0,0,146.73,2
2017,1,5,22,30,0,0,158.64,2
2017,1,5,23,30,0,0,167.82,1
2017,1,6,0,30,0,0,166.27,0
2017,1,6,1,30,0,0,156.0,0
2017,1,6,2,30,0,0,143.89,0
2017,1,6,3,30,0,0,131.41,-1
2017,1,6,4,30,0,0,118.97,-1
2017,1,6,5,30,0,0,106.78,-1
2017,1,6,6,30,0,0,95.03,-1
2017,1,6,7,30,59,145,83.97,-1
2017,1,6,8,30,208,324,73.96000000000001,-1
2017,1,6,9,30,200,63,65.53,-1
2017,1,6,10,30,130,0,59.35,-1
2017,1,6,11,30,71,0,56.21,-1
2017,1,6,12,30,162,0,56.6,-1
2017,1,6,13,30,429,570,60.47,-1
2017,1,6,14,30,228,123,67.21000000000001,-1
2017,1,6,15,30,125,90,76.05,-2
2017,1,6,16,30,23,0,86.32000000000001,-2
2017,1,6,17,30,0,0,97.56,-3
2017,1,6,18,30,0,0,109.43,-3
2017,1,6,19,30,0,0,121.69,-4
2017,1,6,20,30,0,0,134.15,-4
2017,1,6,21,30,0,0,146.59,-4
2017,1,6,22,30,0,0,158.49,-4
2017,1,6,23,30,0,0,167.67000000000002,-5
2017,1,7,0,30,0,0,166.22,-5
2017,1,7,1,30,0,0,156.02,-6
2017,1,7,2,30,0,0,143.92000000000002,-6
2017,1,7,3,30,0,0,131.45,-7
2017,1,7,4,30,0,0,119.0,-7
2017,1,7,5,30,0,0,106.8,-8
2017,1,7,6,30,0,0,95.04,-8
2017,1,7,7,30,90,550,83.96000000000001,-7
2017,1,7,8,30,291,837,73.93,-5
2017,1,7,9,30,469,951,65.47,-4
2017,1,7,10,30,594,1000,59.27,-2
2017,1,7,11,30,655,1017,56.09,-1
2017,1,7,12,30,647,1010,56.46,0
2017,1,7,13,30,569,982,60.32,0
2017,1,7,14,30,431,921,67.05,-1
2017,1,7,15,30,246,779,75.88,-2
2017,1,7,16,30,52,430,86.16,-4
2017,1,7,17,30,0,0,97.4,-6
2017,1,7,18,30,0,0,109.28,-6
2017,1,7,19,30,0,0,121.54,-6
2017,1,7,20,30,0,0,134.01,-7
2017,1,7,21,30,0,0,146.44,-7
2017,1,7,22,30,0,0,158.33,-7
2017,1,7,23,30,0,0,167.51,-7
2017,1,8,0,30,0,0,166.17000000000002,-7
2017,1,8,1,30,0,0,156.03,-7
2017,1,8,2,30,0,0,143.95000000000002,-7
2017,1,8,3,30,0,0,131.48,-8
2017,1,8,4,30,0,0,119.03,-8
