Latitude,Longitude
34.0522,-118.2437
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2017,1,1,0,30,0,0,166.73,6
2017,1,1,1,30,0,0,156.77,6
2017,1,1,2,30,0,0,144.77,6
2017,1,1,3,30,0,0,132.38,6
2017,1,1,4,30,0,0,120.01,6
2017,1,1,5,30,0,0,107.89,5
2017,1,1,6,30,0,0,96.2,5
2017,1,1,7,30,54,266,85.2,7
2017,1,1,8,30,223,605,75.24,9
2017,1,1,9,30,383,751,66.82000000000001,11
2017,1,1,10,30,510,875,60.61,12
2017,1,1,11,30,568,893,57.33,13
2017,1,1,12,30,564,887,57.51,14
2017,1,1,13,30,498,864,61.120000000000005,14
2017,1,1,14,30,374,789,67.59,13
2017,1,1,15,30,209,629,76.2,11
2017,1,1,16,30,41,249,86.28,9
2017,1,1,17,30,0,0,97.37,8
2017,1,1,18,30,0,0,109.11,9
2017,1,1,19,30,0,0,121.27,9
2017,1,1,20,30,0,0,133.65,9
2017,1,1,21,30,0,0,146.02,9
2017,1,1,22,30,0,0,157.91,9
2017,1,1,23,30,0,0,167.35,9
2017,1,2,0,30,0,0,166.71,9
2017,1,2,1,30,0,0,156.81,9
2017,1,2,2,30,0,0,144.83,9
2017,1,2,3,30,0,0,132.44,9
2017,1,2,4,30,0,0,120.07,9
2017,1,2,5,30,0,0,107.93,9
2017,1,2,6,30,0,0,96.24,9
2017,1,2,7,30,7,0,85.22,9
2017,1,2,8,30,30,0,75.25,9
2017,1,2,9,30,52,0,66.8,10
2017,1,2,10,30,143,0,60.56,10
2017,1,2,11,30,187,7,57.25,10
2017,1,2,12,30,298,97,57.41,11
2017,1,2,13,30,332,246,60.99,11
2017,1,2,14,30,205,106,67.46000000000001,11
2017,1,2,15,30,115,76,76.06,10
2017,1,2,16,30,22,0,86.14,9
2017,1,2,17,30,0,0,97.23,9
2017,1,2,18,30,0,0,108.97,9
2017,1,2,19,30,0,0,121.13,9
2017,1,2,20,30,0,0,133.51,9
2017,1,2,21,30,0,0,145.88,9
2017,1,2,22,30,0,0,157.77,9
2017,1,2,23,30,0,0,167.22,9
2017,1,3,0,30,0,0,166.68,9
2017,1,3,1,30,0,0,156.84,9
2017,1,3,2,30,0,0,144.88,9
2017,1,3,3,30,0,0,132.49,9
2017,1,3,4,30,0,0,120.12,9
2017,1,3,5,30,0,0,107.98,9
2017,1,3,6,30,0,0,96.27,9
2017,1,3,7,30,39,112,85.24,9
2017,1,3,8,30,161,247,75.25,10
2017,1,3,9,30,277,306,66.78,12
2017,1,3,10,30,349,277,60.5,13
2017,1,3,11,30,333,149,57.17,13
2017,1,3,12,30,313,119,57.29,13
2017,1,3,13,30,223,44,60.86,13
2017,1,3,14,30,182,59,67.32000000000001,12
2017,1,3,15,30,103,39,75.91,11
2017,1,3,16,30,22,0,86.0,10
2017,1,3,17,30,0,0,97.08,10
2017,1,3,18,30,0,0,108.83,10
