Latitude,Longitude
38.2527,-85.7585
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2017,1,1,0,30,0,0,164.32,3
2017,1,1,1,30,0,0,162.12,3
2017,1,1,2,30,0,0,153.15,3
2017,1,1,3,30,0,0,142.04,2
2017,1,1,4,30,0,0,130.34,2
2017,1,1,5,30,0,0,118.6,2
2017,1,1,6,30,0,0,107.09,2
2017,1,1,7,30,0,0,96.05,2
2017,1,1,8,30,14,0,85.77,3
2017,1,1,9,30,61,0,76.62,5
2017,1,1,10,30,106,0,69.08,7
2017,1,1,11,30,260,148,63.78,8
2017,1,1,12,30,375,400,61.31,9
2017,1,1,13,30,240,77,62.02,9
2017,1,1,14,30,169,25,65.8,8
2017,1,1,15,30,116,10,72.16,8
2017,1,1,16,30,52,0,80.47,7
2017,1,1,17,30,0,0,90.17,7
2017,1,1,18,30,0,0,100.83,7
2017,1,1,19,30,0,0,112.1,6
2017,1,1,20,30,0,0,123.74,6
2017,1,1,21,30,0,0,135.5,6
2017,1,1,22,30,0,0,147.03,6
2017,1,1,23,30,0,0,157.5,6
2017,1,2,0,30,0,0,164.22,6
2017,1,2,1,30,0,0,162.09,6
2017,1,2,2,30,0,0,153.18,6
2017,1,2,3,30,0,0,142.08,6
2017,1,2,4,30,0,0,130.39,6
2017,1,2,5,30,0,0,118.64,6
2017,1,2,6,30,0,0,107.12,6
2017,1,2,7,30,0,0,96.08,6
2017,1,2,8,30,19,0,85.78,8
2017,1,2,9,30,84,5,76.61,9
2017,1,2,10,30,146,25,69.05,11
2017,1,2,11,30,218,66,63.73,14
2017,1,2,12,30,224,48,61.23,15
2017,1,2,13,30,198,27,61.91,16
2017,1,2,14,30,211,84,65.67,15
2017,1,2,15,30,146,67,72.02,14
2017,1,2,16,30,66,28,80.33,13
2017,1,2,17,30,0,0,90.03,13
2017,1,2,18,30,0,0,100.68,12
2017,1,2,19,30,0,0,111.96,12
2017,1,2,20,30,0,0,123.6,12
2017,1,2,21,30,0,0,135.36,12
2017,1,2,22,30,0,0,146.89,12
2017,1,2,23,30,0,0,157.36,12
2017,1,3,0,30,0,0,164.1,11
2017,1,3,1,30,0,0,162.06,11
2017,1,3,2,30,0,0,153.19,11
2017,1,3,3,30,0,0,142.11,11
2017,1,3,4,30,0,0,130.43,11
2017,1,3,5,30,0,0,118.68,11
2017,1,3,6,30,0,0,107.16,11
2017,1,3,7,30,0,0,96.1,11
2017,1,3,8,30,22,0,85.79,11
2017,1,3,9,30,99,42,76.60000000000001,12
2017,1,3,10,30,170,62,69.02,12
2017,1,3,11,30,79,0,63.66,13
2017,1,3,12,30,106,0,61.13,13
2017,1,3,13,30,101,0,61.79,13
2017,1,3,14,30,51,0,65.54,13
2017,1,3,15,30,35,0,71.88,12
2017,1,3,16,30,16,0,80.19,11
2017,1,3,17,30,0,0,89.88,8
2017,1,3,18,30,0,0,100.54,6
2017,1,3,19,30,0,0,111.82,5
2017,1,3,20,30,0,0,123.46,5
2017,1,3,21,30,0,0,135.22,5
2017,1,3,22,30,0,0,146.74,4
2017,1,3,23,30,0,0,157.21,3
2017,1,4,0,30,0,0,163.98,2
2017,1,4,1,30,0,0,162.02,1
2017,1,4,2,30,0,0,153.20000000000002,0
2017,1,4,3,30,0,0,142.14,-1
2017,1,4,4,30,0,0,130.46,-2
2017,1,4,5,30,0,0,118.71,-3
2017,1,4,6,30,0,0,107.18,-4
2017,1,4,7,30,0,0,96.11,-5
2017,1,4,8,30,57,466,85.79,-4
2017,1,4,9,30,224,774,76.58,-3
2017,1,4,10,30,375,900,68.97,-1
2017,1,4,11,30,480,948,63.59,0
2017,1,4,12,30,528,962,61.04,0
2017,1,4,13,30,515,953,61.67,0
2017,1,4,14,30,441,916,65.4,0
2017,1,4,15,30,315,839,71.73,0
2017,1,4,16,30,154,674,80.04,-2
2017,1,4,17,30,0,0,89.73,-4
2017,1,4,18,30,0,0,100.39,-5
2017,1,4,19,30,0,0,111.67,-5
2017,1,4,20,30,0,0,123.32,-5
2017,1,4,21,30,0,0,135.07,-5
2017,1,4,22,30,0,0,146.59,-5
2017,1,4,23,30,0,0,157.06,-4
2017,1,5,0,30,0,0,163.85,-4
2017,1,5,1,30,0,0,161.97,-4
2017,1,5,2,30,0,0,153.21,-4
2017,1,5,3,30,0,0,142.17000000000002,-4
2017,1,5,4,30,0,0,130.49,-4
2017,1,5,5,30,0,0,118.74,-4
2017,1,5,6,30,0,0,107.2,-4
2017,1,5,7,30,0,0,96.12,-4
2017,1,5,8,30,35,76,85.78,-4
2017,1,5,9,30,154,257,76.55,-3
