Latitude,Longitude
42.3314,-83.0458
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2017,1,1,0,30,0,0,160.61,-2
2017,1,1,1,30,0,0,157.6,-2
2017,1,1,2,30,0,0,149.4,-2
2017,1,1,3,30,0,0,139.13,-3
2017,1,1,4,30,0,0,128.17000000000002,-4
2017,1,1,5,30,0,0,117.11,-4
2017,1,1,6,30,0,0,106.27,-5
2017,1,1,7,30,0,0,95.94,-4
2017,1,1,8,30,43,349,86.42,-3
2017,1,1,9,30,186,675,78.10000000000001,-1
2017,1,1,10,30,316,809,71.46000000000001,0
2017,1,1,11,30,403,869,67.02,1
2017,1,1,12,30,437,887,65.28,2
2017,1,1,13,30,412,861,66.44,2
2017,1,1,14,30,335,808,70.36,2
2017,1,1,15,30,212,692,76.60000000000001,1
2017,1,1,16,30,69,426,84.62,0
2017,1,1,17,30,0,0,93.92,-1
2017,1,1,18,30,0,0,104.12,-1
2017,1,1,19,30,0,0,114.87,-1
2017,1,1,20,30,0,0,125.91,-1
2017,1,1,21,30,0,0,136.92000000000002,-1
2017,1,1,22,30,0,0,147.39,-1
2017,1,1,23,30,0,0,156.17000000000002,-1
2017,1,2,0,30,0,0,160.52,-1
2017,1,2,1,30,0,0,157.57,-2
2017,1,2,2,30,0,0,149.41,-2
2017,1,2,3,30,0,0,139.16,-1
2017,1,2,4,30,0,0,128.2,-1
2017,1,2,5,30,0,0,117.14,-1
2017,1,2,6,30,0,0,106.3,-1
2017,1,2,7,30,0,0,95.95,-1
2017,1,2,8,30,39,254,86.42,0
2017,1,2,9,30,172,568,78.08,0
2017,1,2,10,30,150,66,71.42,1
2017,1,2,11,30,136,2,66.96000000000001,2
2017,1,2,12,30,181,34,65.19,3
2017,1,2,13,30,376,684,66.33,4
2017,1,2,14,30,302,615,70.23,4
2017,1,2,15,30,186,460,76.46000000000001,3
2017,1,2,16,30,56,172,84.48,1
2017,1,2,17,30,0,0,93.78,1
2017,1,2,18,30,0,0,103.97,1
2017,1,2,19,30,0,0,114.73,1
2017,1,2,20,30,0,0,125.77,1
2017,1,2,21,30,0,0,136.78,1
2017,1,2,22,30,0,0,147.24,1
