Latitude,Longitude
40.7128,-73.8292
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2017,1,1,0,30,0,0,161.07,3
2017,1,1,1,30,0,0,153.88,3
2017,1,1,2,30,0,0,143.71,3
2017,1,1,3,30,0,0,132.58,2
2017,1,1,4,30,0,0,121.23,2
2017,1,1,5,30,0,0,110.02,2
2017,1,1,6,30,0,0,99.22,2
2017,1,1,7,30,0,0,89.11,2
2017,1,1,8,30,141,525,80.05,4
2017,1,1,9,30,285,718,72.48,5
2017,1,1,10,30,396,825,66.95,6
2017,1,1,11,30,454,865,64.02,6
2017,1,1,12,30,454,870,64.07000000000001,6
2017,1,1,13,30,396,841,67.08,7
2017,1,1,14,30,287,766,72.67,6
2017,1,1,15,30,143,599,80.29,5
2017,1,1,16,30,0,0,89.39,4
2017,1,1,17,30,0,0,99.52,3
2017,1,1,18,30,0,0,110.34,3
2017,1,1,19,30,0,0,121.56,3
2017,1,1,20,30,0,0,132.9,2
2017,1,1,21,30,0,0,144.01,2
2017,1,1,22,30,0,0,154.11,1
2017,1,1,23,30,0,0,161.13,1
2017,1,2,0,30,0,0,161.02,1
2017,1,2,1,30,0,0,153.89,2
2017,1,2,2,30,0,0,143.74,2
2017,1,2,3,30,0,0,132.62,2
2017,1,2,4,30,0,0,121.27,2
2017,1,2,5,30,0,0,110.05,2
2017,1,2,6,30,0,0,99.24,2
2017,1,2,7,30,0,0,89.12,2
2017,1,2,8,30,45,0,80.04,3
2017,1,2,9,30,91,0,72.45,4
2017,1,2,10,30,103,0,66.9,4
2017,1,2,11,30,100,0,63.95,4
2017,1,2,12,30,72,0,63.97,4
2017,1,2,13,30,62,0,66.96000000000001,4
2017,1,2,14,30,44,0,72.54,4
2017,1,2,15,30,21,0,80.15,3
2017,1,2,16,30,0,0,89.25,3
2017,1,2,17,30,0,0,99.38,3
2017,1,2,18,30,0,0,110.2,3
2017,1,2,19,30,0,0,121.41,3
2017,1,2,20,30,0,0,132.76,3
2017,1,2,21,30,0,0,143.87,3
2017,1,2,22,30,0,0,153.97,4
2017,1,2,23,30,0,0,161.01,4
2017,1,3,0,30,0,0,160.97,4
2017,1,3,1,30,0,0,153.89,4
2017,1,3,2,30,0,0,143.76,4
2017,1,3,3,30,0,0,132.65,4
2017,1,3,4,30,0,0,121.3,4
2017,1,3,5,30,0,0,110.08,4
2017,1,3,6,30,0,0,99.26,4
2017,1,3,7,30,0,0,89.12,4
2017,1,3,8,30,42,0,80.03,5
2017,1,3,9,30,88,0,72.41,5
2017,1,3,10,30,24,0,66.84,5
2017,1,3,11,30,79,0,63.86,6
2017,1,3,12,30,56,0,63.86,6
2017,1,3,13,30,29,0,66.83,6
2017,1,3,14,30,21,0,72.4,6
2017,1,3,15,30,10,0,80.01,6
2017,1,3,16,30,0,0,89.10000000000001,6
2017,1,3,17,30,0,0,99.24,5
2017,1,3,18,30,0,0,110.05,5
2017,1,3,19,30,0,0,121.27,4
2017,1,3,20,30,0,0,132.62,4
2017,1,3,21,30,0,0,143.72,4
2017,1,3,22,30,0,0,153.83,4
2017,1,3,23,30,0,0,160.88,3
2017,1,4,0,30,0,0,160.9,3
2017,1,4,1,30,0,0,153.88,3
2017,1,4,2,30,0,0,143.78,3
2017,1,4,3,30,0,0,132.68,3
2017,1,4,4,30,0,0,121.32,3
2017,1,4,5,30,0,0,110.1,3
2017,1,4,6,30,0,0,99.27,4
2017,1,4,7,30,0,0,89.12,4
2017,1,4,8,30,49,0,80.01,5
2017,1,4,9,30,106,0,72.37,6
2017,1,4,10,30,197,76,66.77,6
2017,1,4,11,30,252,128,63.76,7
2017,1,4,12,30,72,0,63.74,8
2017,1,4,13,30,282,324,66.69,8
2017,1,4,14,30,283,708,72.26,8
2017,1,4,15,30,145,560,79.86,7
2017,1,4,16,30,13,147,88.95,5
2017,1,4,17,30,0,0,99.09,4
2017,1,4,18,30,0,0,109.9,3
2017,1,4,19,30,0,0,121.12,1
2017,1,4,20,30,0,0,132.47,1
2017,1,4,21,30,0,0,143.57,0
2017,1,4,22,30,0,0,153.68,0
2017,1,4,23,30,0,0,160.74,0
2017,1,5,0,30,0,0,160.83,0
2017,1,5,1,30,0,0,153.86,-1
2017,1,5,2,30,0,0,143.79,-1
2017,1,5,3,30,0,0,132.7,-1
2017,1,5,4,30,0,0,121.35,-1
2017,1,5,5,30,0,0,110.11,-2
2017,1,5,6,30,0,0,99.28,-2
2017,1,5,7,30,0,0,89.11,-1
2017,1,5,8,30,93,157,79.98,-1
2017,1,5,9,30,184,199,72.32000000000001,0
2017,1,5,10,30,239,176,66.69,0
2017,1,5,11,30,304,265,63.66,0
2017,1,5,12,30,378,548,63.61,0
2017,1,5,13,30,333,549,66.55,0
2017,1,5,14,30,241,451,72.11,0
2017,1,5,15,30,121,326,79.71000000000001,0
2017,1,5,16,30,11,0,88.8,-1
2017,1,5,17,30,0,0,98.94,-1
2017,1,5,18,30,0,0,109.75,-1
2017,1,5,19,30,0,0,120.97,-1
2017,1,5,20,30,0,0,132.32,-1
2017,1,5,21,30,0,0,143.42000000000002,-1
2017,1,5,22,30,0,0,153.52,-1
2017,1,5,23,30,0,0,160.6,-1
2017,1,6,0,30,0,0,160.74,-1
2017,1,6,1,30,0,0,153.84,-1
2017,1,6,2,30,0,0,143.8,-1
2017,1,6,3,30,0,0,132.71,-1
2017,1,6,4,30,0,0,121.36,-1
2017,1,6,5,30,0,0,110.12,-1
2017,1,6,6,30,0,0,99.28,-1
2017,1,6,7,30,0,0,89.10000000000001,-1
2017,1,6,8,30,143,469,79.95,0
2017,1,6,9,30,295,698,72.27,0
2017,1,6,10,30,348,641,66.61,0
2017,1,6,11,30,402,677,63.55,0
2017,1,6,12,30,358,455,63.48,0
2017,1,6,13,30,305,409,66.41,0
2017,1,6,14,30,223,338,71.95,0
2017,1,6,15,30,114,242,79.55,0
2017,1,6,16,30,11,0,88.64,0
2017,1,6,17,30,0,0,98.78,-1
2017,1,6,18,30,0,0,109.6,-2
2017,1,6,19,30,0,0,120.82,-2
2017,1,6,20,30,0,0,132.16,-2
2017,1,6,21,30,0,0,143.26,-2
2017,1,6,22,30,0,0,153.36,-3
2017,1,6,23,30,0,0,160.45000000000002,-3
2017,1,7,0,30,0,0,160.65,-3
2017,1,7,1,30,0,0,153.81,-4
2017,1,7,2,30,0,0,143.79,-4
2017,1,7,3,30,0,0,132.72,-4
2017,1,7,4,30,0,0,121.37,-4
2017,1,7,5,30,0,0,110.13,-4
2017,1,7,6,30,0,0,99.27,-4
2017,1,7,7,30,0,0,89.08,-4
2017,1,7,8,30,41,0,79.91,-4
2017,1,7,9,30,83,0,72.2,-4
2017,1,7,10,30,112,0,66.52,-4
2017,1,7,11,30,44,0,63.440000000000005,-4
2017,1,7,12,30,210,51,63.34,-4
2017,1,7,13,30,12,0,66.25,-4
2017,1,7,14,30,9,0,71.79,-4
2017,1,7,15,30,4,0,79.39,-4
2017,1,7,16,30,0,0,88.48,-4
2017,1,7,17,30,0,0,98.62,-4
2017,1,7,18,30,0,0,109.44,-5
2017,1,7,19,30,0,0,120.66,-5
2017,1,7,20,30,0,0,132.01,-5
2017,1,7,21,30,0,0,143.1,-5
2017,1,7,22,30,0,0,153.20000000000002,-5
2017,1,7,23,30,0,0,160.29,-6
2017,1,8,0,30,0,0,160.55,-6
2017,1,8,1,30,0,0,153.77,-7
2017,1,8,2,30,0,0,143.79,-7
2017,1,8,3,30,0,0,132.72,-8
2017,1,8,4,30,0,0,121.37,-8
2017,1,8,5,30,0,0,110.12,-8
2017,1,8,6,30,0,0,99.26,-9
2017,1,8,7,30,0,0,89.05,-8
2017,1,8,8,30,160,619,79.86,-6
2017,1,8,9,30,317,791,72.13,-6
2017,1,8,10,30,275,290,66.43,-5
2017,1,8,11,30,333,350,63.31,-5
2017,1,8,12,30,246,106,63.2,-4
2017,1,8,13,30,299,365,66.09,-4
2017,1,8,14,30,220,305,71.62,-4
2017,1,8,15,30,114,213,79.22,-4
2017,1,8,16,30,13,0,88.31,-5
2017,1,8,17,30,0,0,98.46,-5
2017,1,8,18,30,0,0,109.28,-5
2017,1,8,19,30,0,0,120.5,-6
2017,1,8,20,30,0,0,131.85,-7
2017,1,8,21,30,0,0,142.94,-7
2017,1,8,22,30,0,0,153.03,-7
2017,1,8,23,30,0,0,160.13,-8
2017,1,9,0,30,0,0,160.44,-8
2017,1,9,1,30,0,0,153.72,-8
2017,1,9,2,30,0,0,143.77,-8
2017,1,9,3,30,0,0,132.72,-9
2017,1,9,4,30,0,0,121.37,-9
2017,1,9,5,30,0,0,110.12,-9
2017,1,9,6,30,0,0,99.24,-9
2017,1,9,7,30,0,0,89.02,-8
2017,1,9,8,30,119,330,79.81,-7
2017,1,9,9,30,234,422,72.06,-6
2017,1,9,10,30,317,463,66.32000000000001,-6
2017,1,9,11,30,326,323,63.18,-5
2017,1,9,12,30,354,420,63.05,-5
2017,1,9,13,30,320,407,65.93,-4
2017,1,9,14,30,236,371,71.45,-4
2017,1,9,15,30,124,274,79.04,-4
2017,1,9,16,30,15,0,88.14,-5
2017,1,9,17,30,0,0,98.29,-5
2017,1,9,18,30,0,0,109.12,-5
2017,1,9,19,30,0,0,120.34,-6
2017,1,9,20,30,0,0,131.69,-6
2017,1,9,21,30,0,0,142.78,-6
2017,1,9,22,30,0,0,152.86,-7
2017,1,9,23,30,0,0,159.96,-7
2017,1,10,0,30,0,0,160.33,-7
2017,1,10,1,30,0,0,153.67000000000002,-7
2017,1,10,2,30,0,0,143.75,-7
2017,1,10,3,30,0,0,132.71,-7
2017,1,10,4,30,0,0,121.36,-7
2017,1,10,5,30,0,0,110.1,-6
2017,1,10,6,30,0,0,99.21,-5
2017,1,10,7,30,6,0,88.98,-4
2017,1,10,8,30,73,36,79.75,-3
2017,1,10,9,30,145,67,71.97,-1
2017,1,10,10,30,357,657,66.21000000000001,0
2017,1,10,11,30,342,371,63.05,0
2017,1,10,12,30,373,487,62.89,1
2017,1,10,13,30,248,174,65.75,2
2017,1,10,14,30,183,140,71.27,2
2017,1,10,15,30,96,96,78.87,1
2017,1,10,16,30,12,0,87.97,1
2017,1,10,17,30,0,0,98.12,1
2017,1,10,18,30,0,0,108.95,2
2017,1,10,19,30,0,0,120.18,2
2017,1,10,20,30,0,0,131.52,3
2017,1,10,21,30,0,0,142.61,3
2017,1,10,22,30,0,0,152.68,3
2017,1,10,23,30,0,0,159.78,4
2017,1,11,0,30,0,0,160.20000000000002,4
2017,1,11,1,30,0,0,153.61,4
2017,1,11,2,30,0,0,143.72,5
2017,1,11,3,30,0,0,132.69,5
