Latitude,Longitude
41.8236,-71.4222
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2017,1,1,0,30,0,0,159.33,3
2017,1,1,1,30,0,0,151.79,2
2017,1,1,2,30,0,0,141.67000000000002,2
2017,1,1,3,30,0,0,130.69,2
2017,1,1,4,30,0,0,119.53,2
2017,1,1,5,30,0,0,108.53,2
2017,1,1,6,30,0,0,97.98,1
2017,1,1,7,30,18,115,88.17,1
2017,1,1,8,30,149,527,79.47,2
2017,1,1,9,30,286,719,72.34,3
2017,1,1,10,30,387,813,67.31,4
2017,1,1,11,30,435,850,64.9,4
2017,1,1,12,30,427,850,65.42,4
2017,1,1,13,30,362,813,68.79,4
2017,1,1,14,30,249,723,74.62,3
2017,1,1,15,30,107,523,82.36,2
2017,1,1,16,30,0,0,91.49,0
2017,1,1,17,30,0,0,101.6,0
2017,1,1,18,30,0,0,112.33,0
2017,1,1,19,30,0,0,123.42,-1
2017,1,1,20,30,0,0,134.56,-2
2017,1,1,21,30,0,0,145.33,-2
2017,1,1,22,30,0,0,154.82,-2
2017,1,1,23,30,0,0,160.64,-2
2017,1,2,0,30,0,0,159.29,-1
2017,1,2,1,30,0,0,151.79,-1
2017,1,2,2,30,0,0,141.70000000000002,-1
2017,1,2,3,30,0,0,130.73,-1
2017,1,2,4,30,0,0,119.56,-1
2017,1,2,5,30,0,0,108.56,-1
2017,1,2,6,30,0,0,98.0,-1
2017,1,2,7,30,11,0,88.18,0
2017,1,2,8,30,83,72,79.46000000000001,0
2017,1,2,9,30,156,99,72.31,2
2017,1,2,10,30,211,120,67.25,3
2017,1,2,11,30,182,32,64.82000000000001,4
2017,1,2,12,30,158,12,65.31,4
2017,1,2,13,30,107,0,68.67,4
2017,1,2,14,30,73,0,74.49,3
2017,1,2,15,30,31,0,82.22,1
2017,1,2,16,30,0,0,91.35,1
2017,1,2,17,30,0,0,101.46,1
2017,1,2,18,30,0,0,112.19,2
2017,1,2,19,30,0,0,123.27,2
2017,1,2,20,30,0,0,134.42000000000002,2
2017,1,2,21,30,0,0,145.19,2
2017,1,2,22,30,0,0,154.68,2
2017,1,2,23,30,0,0,160.53,2
2017,1,3,0,30,0,0,159.24,2
2017,1,3,1,30,0,0,151.79,2
2017,1,3,2,30,0,0,141.72,3
2017,1,3,3,30,0,0,130.75,3
2017,1,3,4,30,0,0,119.59,3
2017,1,3,5,30,0,0,108.58,3
2017,1,3,6,30,0,0,98.02,3
2017,1,3,7,30,6,0,88.18,3
2017,1,3,8,30,54,0,79.44,3
2017,1,3,9,30,105,0,72.27,4
2017,1,3,10,30,124,0,67.19,4
2017,1,3,11,30,75,0,64.73,4
2017,1,3,12,30,86,0,65.2,4
2017,1,3,13,30,53,0,68.54,4
2017,1,3,14,30,35,0,74.35000000000001,5
2017,1,3,15,30,14,0,82.08,5
2017,1,3,16,30,0,0,91.21,5
2017,1,3,17,30,0,0,101.31,5
2017,1,3,18,30,0,0,112.05,5
2017,1,3,19,30,0,0,123.13,5
2017,1,3,20,30,0,0,134.27,5
2017,1,3,21,30,0,0,145.04,5
2017,1,3,22,30,0,0,154.53,4
2017,1,3,23,30,0,0,160.41,4
2017,1,4,0,30,0,0,159.18,4
2017,1,4,1,30,0,0,151.78,3
2017,1,4,2,30,0,0,141.73,3
2017,1,4,3,30,0,0,130.78,2
2017,1,4,4,30,0,0,119.61,2
2017,1,4,5,30,0,0,108.6,2
2017,1,4,6,30,0,0,98.02,2
2017,1,4,7,30,10,0,88.17,2
2017,1,4,8,30,80,50,79.42,3
2017,1,4,9,30,153,79,72.22,5
2017,1,4,10,30,218,130,67.11,6
2017,1,4,11,30,210,66,64.63,7
2017,1,4,12,30,34,0,65.08,7
2017,1,4,13,30,351,753,68.4,7
2017,1,4,14,30,243,668,74.2,6
2017,1,4,15,30,106,464,81.93,5
2017,1,4,16,30,0,0,91.06,4
2017,1,4,17,30,0,0,101.16,4
2017,1,4,18,30,0,0,111.9,4
2017,1,4,19,30,0,0,122.98,3
2017,1,4,20,30,0,0,134.12,2
2017,1,4,21,30,0,0,144.89,1
2017,1,4,22,30,0,0,154.38,0
2017,1,4,23,30,0,0,160.28,0
2017,1,5,0,30,0,0,159.12,0
2017,1,5,1,30,0,0,151.77,-1
2017,1,5,2,30,0,0,141.74,-1
2017,1,5,3,30,0,0,130.79,-2
2017,1,5,4,30,0,0,119.63,-2
2017,1,5,5,30,0,0,108.61,-2
2017,1,5,6,30,0,0,98.02,-3
2017,1,5,7,30,21,203,88.16,-2
2017,1,5,8,30,163,631,79.39,-1
2017,1,5,9,30,302,788,72.16,0
2017,1,5,10,30,305,448,67.03,0
2017,1,5,11,30,366,559,64.53,0
2017,1,5,12,30,286,259,64.95,0
2017,1,5,13,30,315,594,68.26,0
2017,1,5,14,30,218,484,74.05,0
2017,1,5,15,30,95,320,81.77,0
2017,1,5,16,30,0,0,90.9,-1
2017,1,5,17,30,0,0,101.01,-1
2017,1,5,18,30,0,0,111.75,-2
2017,1,5,19,30,0,0,122.83,-2
2017,1,5,20,30,0,0,133.97,-3
2017,1,5,21,30,0,0,144.74,-2
2017,1,5,22,30,0,0,154.23,-2
2017,1,5,23,30,0,0,160.14,-2
2017,1,6,0,30,0,0,159.04,-2
2017,1,6,1,30,0,0,151.75,-2
2017,1,6,2,30,0,0,141.74,-2
2017,1,6,3,30,0,0,130.8,-2
2017,1,6,4,30,0,0,119.64,-2
2017,1,6,5,30,0,0,108.62,-2
2017,1,6,6,30,0,0,98.02,-2
2017,1,6,7,30,11,0,88.14,-2
2017,1,6,8,30,92,89,79.35000000000001,-1
2017,1,6,9,30,179,144,72.10000000000001,0
2017,1,6,10,30,249,216,66.95,0
2017,1,6,11,30,275,204,64.41,0
2017,1,6,12,30,318,371,64.82000000000001,0
