Latitude,Longitude
47.6062,-122.3321
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2017,1,1,0,30,0,0,155.12,0
2017,1,1,1,30,0,0,150.95000000000002,0
2017,1,1,2,30,0,0,143.25,0
2017,1,1,3,30,0,0,133.89,0
2017,1,1,4,30,0,0,123.9,0
2017,1,1,5,30,0,0,113.82,0
2017,1,1,6,30,0,0,104.01,0
2017,1,1,7,30,0,0,94.79,0
2017,1,1,8,30,39,221,86.48,0
2017,1,1,9,30,155,542,79.5,0
2017,1,1,10,30,258,684,74.26,0
2017,1,1,11,30,320,744,71.2,1
2017,1,1,12,30,331,749,70.63,1
2017,1,1,13,30,290,708,72.61,1
2017,1,1,14,30,205,611,76.93,0
2017,1,1,15,30,90,404,83.2,0
2017,1,1,16,30,0,0,90.97,-1
2017,1,1,17,30,0,0,99.83,-1
2017,1,1,18,30,0,0,109.42,-1
2017,1,1,19,30,0,0,119.42,-2
2017,1,1,20,30,0,0,129.5,-2
2017,1,1,21,30,0,0,139.21,-2
2017,1,1,22,30,0,0,147.8,-2
2017,1,1,23,30,0,0,153.79,-2
2017,1,2,0,30,0,0,155.05,-2
2017,1,2,1,30,0,0,150.92000000000002,-2
2017,1,2,2,30,0,0,143.25,-2
2017,1,2,3,30,0,0,133.91,-2
2017,1,2,4,30,0,0,123.92,-2
2017,1,2,5,30,0,0,113.84,-2
2017,1,2,6,30,0,0,104.02,-2
2017,1,2,7,30,0,0,94.79,-2
2017,1,2,8,30,41,253,86.47,-2
2017,1,2,9,30,159,562,79.46000000000001,-2
2017,1,2,10,30,263,707,74.2,-1
2017,1,2,11,30,326,768,71.13,-1
2017,1,2,12,30,339,788,70.54,0
2017,1,2,13,30,301,772,72.5,0
2017,1,2,14,30,215,693,76.81,-1
2017,1,2,15,30,97,508,83.07000000000001,-3
2017,1,2,16,30,0,0,90.83,-4
2017,1,2,17,30,0,0,99.69,-4
2017,1,2,18,30,0,0,109.28,-5
2017,1,2,19,30,0,0,119.28,-5
2017,1,2,20,30,0,0,129.35,-5
2017,1,2,21,30,0,0,139.07,-5
2017,1,2,22,30,0,0,147.66,-5
2017,1,2,23,30,0,0,153.67000000000002,-5
2017,1,3,0,30,0,0,154.96,-5
2017,1,3,1,30,0,0,150.88,-6
2017,1,3,2,30,0,0,143.24,-6
2017,1,3,3,30,0,0,133.91,-6
2017,1,3,4,30,0,0,123.93,-6
2017,1,3,5,30,0,0,113.85,-6
2017,1,3,6,30,0,0,104.02,-6
2017,1,3,7,30,0,0,94.78,-6
2017,1,3,8,30,46,387,86.44,-5
2017,1,3,9,30,170,673,79.42,-3
2017,1,3,10,30,275,790,74.14,-1
2017,1,3,11,30,339,838,71.04,-1
2017,1,3,12,30,351,846,70.43,0
2017,1,3,13,30,311,820,72.38,0
2017,1,3,14,30,224,743,76.67,-1
2017,1,3,15,30,104,566,82.93,-3
2017,1,3,16,30,0,0,90.69,-4
2017,1,3,17,30,0,0,99.55,-5
2017,1,3,18,30,0,0,109.13,-5
2017,1,3,19,30,0,0,119.13,-5
2017,1,3,20,30,0,0,129.21,-6
2017,1,3,21,30,0,0,138.92000000000002,-6
2017,1,3,22,30,0,0,147.52,-6
2017,1,3,23,30,0,0,153.54,-6
2017,1,4,0,30,0,0,154.87,-6
2017,1,4,1,30,0,0,150.83,-6
2017,1,4,2,30,0,0,143.22,-6
2017,1,4,3,30,0,0,133.91,-6
2017,1,4,4,30,0,0,123.94,-6
2017,1,4,5,30,0,0,113.85,-6
2017,1,4,6,30,0,0,104.02,-6
2017,1,4,7,30,0,0,94.76,-6
2017,1,4,8,30,50,473,86.41,-5
2017,1,4,9,30,178,742,79.37,-3
2017,1,4,10,30,284,842,74.07000000000001,-2
2017,1,4,11,30,348,886,70.95,0
2017,1,4,12,30,360,893,70.32000000000001,0
2017,1,4,13,30,320,866,72.25,0
2017,1,4,14,30,232,793,76.53,0
2017,1,4,15,30,111,625,82.78,-1
2017,1,4,16,30,0,0,90.54,-2
2017,1,4,17,30,0,0,99.4,-3
2017,1,4,18,30,0,0,108.98,-3
2017,1,4,19,30,0,0,118.98,-4
2017,1,4,20,30,0,0,129.06,-4
2017,1,4,21,30,0,0,138.77,-4
2017,1,4,22,30,0,0,147.37,-4
2017,1,4,23,30,0,0,153.4,-4
2017,1,5,0,30,0,0,154.77,-4
2017,1,5,1,30,0,0,150.78,-5
2017,1,5,2,30,0,0,143.20000000000002,-5
2017,1,5,3,30,0,0,133.9,-5
2017,1,5,4,30,0,0,123.94,-4
2017,1,5,5,30,0,0,113.85,-4
2017,1,5,6,30,0,0,104.01,-4
2017,1,5,7,30,0,0,94.74,-5
2017,1,5,8,30,47,410,86.38,-4
2017,1,5,9,30,170,684,79.32000000000001,-2
2017,1,5,10,30,276,794,73.99,0
2017,1,5,11,30,339,840,70.85000000000001,0
2017,1,5,12,30,352,849,70.2,1
2017,1,5,13,30,313,817,72.11,1
2017,1,5,14,30,225,731,76.39,0
2017,1,5,15,30,105,538,82.63,-1
2017,1,5,16,30,0,0,90.38,-2
2017,1,5,17,30,0,0,99.24,-2
2017,1,5,18,30,0,0,108.83,-2
2017,1,5,19,30,0,0,118.83,-3
2017,1,5,20,30,0,0,128.9,-3
2017,1,5,21,30,0,0,138.61,-3
2017,1,5,22,30,0,0,147.21,-3
2017,1,5,23,30,0,0,153.26,-3
2017,1,6,0,30,0,0,154.66,-3
2017,1,6,1,30,0,0,150.72,-3
