Latitude,Longitude
39.7391,-75.5398
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2018,1,1,0,30,0,0,162.5,-12.8
2018,1,1,1,30,0,0,155.55,-13.0
2018,1,1,2,30,0,0,145.27,-13.3
2018,1,1,3,30,0,0,133.99,-13.5
2018,1,1,4,30,0,0,122.47,-13.8
2018,1,1,5,30,0,0,111.07,-14.0
2018,1,1,6,30,0,0,100.06,-14.2
2018,1,1,7,30,12,130,89.22,-13.5
2018,1,1,8,30,152,676,80.27,-11.8
2018,1,1,9,30,297,795,72.41,-10.1
2018,1,1,10,30,400,815,66.52,-8.6
2018,1,1,11,30,458,825,63.2,-7.4
2018,1,1,12,30,493,935,62.9,-6.7
2018,1,1,13,30,443,915,65.64,-6.5
2018,1,1,14,30,303,717,71.07000000000001,-6.7
2018,1,1,15,30,174,625,78.59,-7.2
2018,1,1,16,30,28,209,87.48,-7.800000000000001
2018,1,1,17,30,0,0,97.96,-8.200000000000001
2018,1,1,18,30,0,0,108.85,-8.3
2018,1,1,19,30,0,0,120.19,-8.3
2018,1,1,20,30,0,0,131.71,-8.700000000000001
2018,1,1,21,30,0,0,143.07,-9.4
2018,1,1,22,30,0,0,153.64,-10.0
2018,1,1,23,30,0,0,161.54,-10.5
2018,1,2,0,30,0,0,162.45000000000002,-11.0
2018,1,2,1,30,0,0,155.56,-11.4
2018,1,2,2,30,0,0,145.31,-11.7
2018,1,2,3,30,0,0,134.03,-11.9
2018,1,2,4,30,0,0,122.51,-12.1
2018,1,2,5,30,0,0,111.11,-12.2
2018,1,2,6,30,0,0,100.09,-12.2
2018,1,2,7,30,12,134,89.24,-11.5
2018,1,2,8,30,147,631,80.26,-9.8
2018,1,2,9,30,285,731,72.38,-7.9
2018,1,2,10,30,402,810,66.47,-6.4
2018,1,2,11,30,458,817,63.13,-5.300000000000001
2018,1,2,12,30,492,926,62.8,-4.6000000000000005
2018,1,2,13,30,435,899,65.52,-4.3
2018,1,2,14,30,316,775,70.94,-4.4
2018,1,2,15,30,177,657,78.45,-5.6000000000000005
