Latitude,Longitude
37.6872,-97.3301
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2018,1,1,0,30,0,0,165.3,-15.1
2018,1,1,1,30,0,0,160.88,-15.4
2018,1,1,2,30,0,0,150.96,-15.7
2018,1,1,3,30,0,0,139.5,-16.0
2018,1,1,4,30,0,0,127.67,-16.3
2018,1,1,5,30,0,0,115.87,-16.6
2018,1,1,6,30,0,0,104.37,-16.8
2018,1,1,7,30,0,0,93.4,-16.7
2018,1,1,8,30,98,543,83.12,-15.9
2018,1,1,9,30,262,779,74.28,-14.6
2018,1,1,10,30,402,881,67.15,-13.2
2018,1,1,11,30,495,933,62.39,-11.8
2018,1,1,12,30,519,917,60.61,-10.6
2018,1,1,13,30,381,473,62.06,-9.7
2018,1,1,14,30,414,891,66.52,-9.3
2018,1,1,15,30,278,784,73.44,-9.3
2018,1,1,16,30,114,560,82.13,-9.8
2018,1,1,17,30,0,0,92.28,-10.2
2018,1,1,18,30,0,0,103.18,-10.6
2018,1,1,19,30,0,0,114.64,-10.7
2018,1,1,20,30,0,0,126.41,-10.8
2018,1,1,21,30,0,0,138.26,-10.9
2018,1,1,22,30,0,0,149.77,-11.0
2018,1,1,23,30,0,0,159.94,-10.9
2018,1,2,0,30,0,0,165.21,-10.9
2018,1,2,1,30,0,0,160.87,-10.9
2018,1,2,2,30,0,0,150.99,-10.9
2018,1,2,3,30,0,0,139.55,-10.8
2018,1,2,4,30,0,0,127.71,-10.8
2018,1,2,5,30,0,0,115.91,-10.7
2018,1,2,6,30,0,0,104.4,-10.7
2018,1,2,7,30,0,0,93.42,-10.5
2018,1,2,8,30,55,94,83.13,-9.9
2018,1,2,9,30,156,209,74.27,-9.1
2018,1,2,10,30,245,290,67.11,-8.200000000000001
2018,1,2,11,30,364,430,62.33,-7.300000000000001
2018,1,2,12,30,513,877,60.52,-6.4
2018,1,2,13,30,331,308,61.95,-5.5
2018,1,2,14,30,412,870,66.4,-5.0
2018,1,2,15,30,278,784,73.3,-5.2
2018,1,2,16,30,109,489,82.0,-6.4
2018,1,2,17,30,0,0,92.14,-7.4
2018,1,2,18,30,0,0,103.04,-8.200000000000001
2018,1,2,19,30,0,0,114.5,-8.5
2018,1,2,20,30,0,0,126.27,-8.9
2018,1,2,21,30,0,0,138.12,-9.2
2018,1,2,22,30,0,0,149.63,-9.4
2018,1,2,23,30,0,0,159.8,-9.6
2018,1,3,0,30,0,0,165.12,-9.6
2018,1,3,1,30,0,0,160.86,-9.6
2018,1,3,2,30,0,0,151.02,-9.3
2018,1,3,3,30,0,0,139.59,-8.6
2018,1,3,4,30,0,0,127.76,-8.0
2018,1,3,5,30,0,0,115.95,-8.200000000000001
2018,1,3,6,30,0,0,104.43,-8.700000000000001
2018,1,3,7,30,0,0,93.44,-8.5
2018,1,3,8,30,93,499,83.14,-6.800000000000001
2018,1,3,9,30,121,53,74.26,-4.2
2018,1,3,10,30,214,125,67.08,-1.9
2018,1,3,11,30,488,891,62.27,-0.5
2018,1,3,12,30,538,961,60.43,0.5
2018,1,3,13,30,506,938,61.83,1.1
2018,1,3,14,30,419,889,66.27,1.1
2018,1,3,15,30,282,784,73.17,0.2
2018,1,3,16,30,117,550,81.86,-2.1
2018,1,3,17,30,1,10,92.0,-3.5
2018,1,3,18,30,0,0,102.9,-4.6000000000000005
2018,1,3,19,30,0,0,114.36,-4.800000000000001
2018,1,3,20,30,0,0,126.13,-5.300000000000001
2018,1,3,21,30,0,0,137.97,-5.9
2018,1,3,22,30,0,0,149.49,-6.4
2018,1,3,23,30,0,0,159.66,-6.6000000000000005
2018,1,4,0,30,0,0,165.01,-6.5
2018,1,4,1,30,0,0,160.84,-6.4
2018,1,4,2,30,0,0,151.04,-6.5
2018,1,4,3,30,0,0,139.62,-6.800000000000001
2018,1,4,4,30,0,0,127.79,-7.4
2018,1,4,5,30,0,0,115.99,-8.200000000000001
2018,1,4,6,30,0,0,104.46,-8.700000000000001
2018,1,4,7,30,0,0,93.46,-8.5
2018,1,4,8,30,86,398,83.14,-7.0
2018,1,4,9,30,254,738,74.24,-4.9
2018,1,4,10,30,396,850,67.03,-2.5
2018,1,4,11,30,489,904,62.190000000000005,-0.3
2018,1,4,12,30,525,926,60.32,1.3
2018,1,4,13,30,501,919,61.71,2.4000000000000004
2018,1,4,14,30,416,873,66.13,2.7
2018,1,4,15,30,281,776,73.02,1.8
2018,1,4,16,30,118,559,81.71000000000001,-0.5
2018,1,4,17,30,2,25,91.85,-1.8
2018,1,4,18,30,0,0,102.75,-2.2
2018,1,4,19,30,0,0,114.21,-2.4000000000000004
2018,1,4,20,30,0,0,125.99,-2.8000000000000003
2018,1,4,21,30,0,0,137.83,-3.4000000000000004
2018,1,4,22,30,0,0,149.34,-4.0
2018,1,4,23,30,0,0,159.51,-4.5
2018,1,5,0,30,0,0,164.89,-5.0
2018,1,5,1,30,0,0,160.81,-5.300000000000001
2018,1,5,2,30,0,0,151.05,-5.5
2018,1,5,3,30,0,0,139.65,-5.5
2018,1,5,4,30,0,0,127.82,-5.5
2018,1,5,5,30,0,0,116.01,-5.5
2018,1,5,6,30,0,0,104.48,-5.5
2018,1,5,7,30,0,0,93.46,-5.1000000000000005
2018,1,5,8,30,61,149,83.13,-3.9
2018,1,5,9,30,183,321,74.21000000000001,-2.1
2018,1,5,10,30,315,484,66.97,-0.2
2018,1,5,11,30,439,697,62.11,1.4
2018,1,5,12,30,480,757,60.21,2.5
2018,1,5,13,30,470,796,61.57,3.1
2018,1,5,14,30,375,693,65.98,3.1
2018,1,5,15,30,281,772,72.87,2.0
2018,1,5,16,30,115,499,81.56,-0.1
2018,1,5,17,30,2,25,91.7,-1.4
2018,1,5,18,30,0,0,102.6,-1.2000000000000002
2018,1,5,19,30,0,0,114.06,-1.4
2018,1,5,20,30,0,0,125.84,-1.9
2018,1,5,21,30,0,0,137.68,-2.6
2018,1,5,22,30,0,0,149.19,-3.2
2018,1,5,23,30,0,0,159.35,-3.8
2018,1,6,0,30,0,0,164.77,-4.4
2018,1,6,1,30,0,0,160.77,-5.0
2018,1,6,2,30,0,0,151.06,-5.800000000000001
2018,1,6,3,30,0,0,139.67000000000002,-6.7
2018,1,6,4,30,0,0,127.85,-7.4
2018,1,6,5,30,0,0,116.04,-8.0
2018,1,6,6,30,0,0,104.49,-8.4
2018,1,6,7,30,0,0,93.47,-8.4
2018,1,6,8,30,63,160,83.12,-7.2
2018,1,6,9,30,236,632,74.17,-5.0
2018,1,6,10,30,326,539,66.91,-2.5
2018,1,6,11,30,373,435,62.02,0.1
2018,1,6,12,30,517,895,60.1,2.1
2018,1,6,13,30,438,658,61.43,3.3000000000000003
2018,1,6,14,30,335,507,65.83,3.7
2018,1,6,15,30,220,419,72.71000000000001,2.7
2018,1,6,16,30,86,225,81.4,1.2000000000000002
2018,1,6,17,30,2,21,91.54,0.6000000000000001
2018,1,6,18,30,0,0,102.45,0.9
2018,1,6,19,30,0,0,113.91,0.9
2018,1,6,20,30,0,0,125.69,1.0
2018,1,6,21,30,0,0,137.53,1.0
2018,1,6,22,30,0,0,149.04,1.1
2018,1,6,23,30,0,0,159.20000000000002,1.1
2018,1,7,0,30,0,0,164.64,1.0
2018,1,7,1,30,0,0,160.72,0.8
2018,1,7,2,30,0,0,151.06,0.7000000000000001
2018,1,7,3,30,0,0,139.69,1.4
2018,1,7,4,30,0,0,127.87,2.3000000000000003
2018,1,7,5,30,0,0,116.05,2.8000000000000003
2018,1,7,6,30,0,0,104.5,3.1
2018,1,7,7,30,0,0,93.46,3.2
2018,1,7,8,30,6,0,83.10000000000001,3.0
2018,1,7,9,30,19,0,74.13,3.0
2018,1,7,10,30,19,0,66.85,3.4000000000000004
2018,1,7,11,30,110,4,61.92,4.2
2018,1,7,12,30,130,1,59.97,4.7
2018,1,7,13,30,34,0,61.29,4.9
2018,1,7,14,30,100,4,65.67,5.0
2018,1,7,15,30,267,641,72.55,4.4
2018,1,7,16,30,116,467,81.25,2.4000000000000004
2018,1,7,17,30,2,21,91.38,1.2000000000000002
2018,1,7,18,30,0,0,102.29,0.7000000000000001
2018,1,7,19,30,0,0,113.76,0.6000000000000001
2018,1,7,20,30,0,0,125.54,0.7000000000000001
2018,1,7,21,30,0,0,137.38,0.6000000000000001
2018,1,7,22,30,0,0,148.88,0.5
2018,1,7,23,30,0,0,159.03,0.1
2018,1,8,0,30,0,0,164.5,-0.3
2018,1,8,1,30,0,0,160.67000000000002,-0.7000000000000001
2018,1,8,2,30,0,0,151.06,-1.1
2018,1,8,3,30,0,0,139.70000000000002,-1.4
2018,1,8,4,30,0,0,127.89,-1.6
2018,1,8,5,30,0,0,116.07,-1.7000000000000002
2018,1,8,6,30,0,0,104.51,-1.8
2018,1,8,7,30,0,0,93.45,-1.3
2018,1,8,8,30,60,135,83.07000000000001,0.3
2018,1,8,9,30,215,498,74.08,2.7
2018,1,8,10,30,401,887,66.77,5.7
2018,1,8,11,30,495,934,61.82,8.200000000000001
2018,1,8,12,30,531,949,59.84,9.7
2018,1,8,13,30,418,565,61.14,10.8
2018,1,8,14,30,373,658,65.51,10.4
2018,1,8,15,30,278,723,72.38,7.800000000000001
2018,1,8,16,30,104,369,81.08,4.3
2018,1,8,17,30,2,24,91.22,2.7
2018,1,8,18,30,0,0,102.13,1.6
2018,1,8,19,30,0,0,113.6,1.3
2018,1,8,20,30,0,0,125.39,1.0
2018,1,8,21,30,0,0,137.22,0.8
2018,1,8,22,30,0,0,148.72,0.8
2018,1,8,23,30,0,0,158.86,0.7000000000000001
2018,1,9,0,30,0,0,164.36,0.5
2018,1,9,1,30,0,0,160.61,0.7000000000000001
2018,1,9,2,30,0,0,151.05,1.1
2018,1,9,3,30,0,0,139.71,1.3
2018,1,9,4,30,0,0,127.9,1.3
