Latitude,Longitude
45.7597,-108.5531
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2018,1,1,0,30,0,0,157.08,-20.700000000000003
2018,1,1,1,30,0,0,152.91,-19.4
2018,1,1,2,30,0,0,144.88,-18.5
2018,1,1,3,30,0,0,135.15,-18.1
2018,1,1,4,30,0,0,124.8,-18.2
2018,1,1,5,30,0,0,114.37,-18.8
2018,1,1,6,30,0,0,104.22,-19.6
2018,1,1,7,30,0,0,94.63,-19.9
2018,1,1,8,30,57,448,85.77,-18.9
2018,1,1,9,30,191,765,78.51,-16.6
2018,1,1,10,30,304,869,72.92,-14.2
2018,1,1,11,30,373,914,69.55,-12.2
2018,1,1,12,30,389,922,68.75,-10.7
2018,1,1,13,30,351,900,70.61,-9.9
2018,1,1,14,30,263,836,74.92,-10.4
2018,1,1,15,30,138,688,81.25,-12.3
2018,1,1,16,30,16,210,88.91,-13.6
2018,1,1,17,30,0,0,98.38,-16.400000000000002
2018,1,1,18,30,0,0,108.23,-17.7
2018,1,1,19,30,0,0,118.53,-18.1
2018,1,1,20,30,0,0,128.96,-17.7
2018,1,1,21,30,0,0,139.14,-17.0
2018,1,1,22,30,0,0,148.35,-16.6
2018,1,1,23,30,0,0,155.13,-16.5
2018,1,2,0,30,0,0,157.0,-16.3
2018,1,2,1,30,0,0,152.88,-15.7
2018,1,2,2,30,0,0,144.88,-14.8
2018,1,2,3,30,0,0,135.17000000000002,-14.3
2018,1,2,4,30,0,0,124.82,-14.3
2018,1,2,5,30,0,0,114.39,-14.0
2018,1,2,6,30,0,0,104.23,-13.4
2018,1,2,7,30,0,0,94.64,-12.4
2018,1,2,8,30,45,260,85.77,-10.5
2018,1,2,9,30,161,561,78.48,-7.7
2018,1,2,10,30,269,723,72.88,-5.0
2018,1,2,11,30,344,796,69.48,-2.7
2018,1,2,12,30,364,825,68.65,-1.0
2018,1,2,13,30,341,854,70.5,0.0
2018,1,2,14,30,202,511,74.8,0.3
2018,1,2,15,30,123,541,81.13,-0.7000000000000001
2018,1,2,16,30,15,159,88.81,-1.6
2018,1,2,17,30,0,0,98.24,-4.1000000000000005
2018,1,2,18,30,0,0,108.09,-4.800000000000001
2018,1,2,19,30,0,0,118.39,-5.2
2018,1,2,20,30,0,0,128.82,-5.5
2018,1,2,21,30,0,0,139.0,-5.6000000000000005
2018,1,2,22,30,0,0,148.21,-5.6000000000000005
2018,1,2,23,30,0,0,155.01,-5.5
2018,1,3,0,30,0,0,156.92000000000002,-5.4
2018,1,3,1,30,0,0,152.85,-5.4
2018,1,3,2,30,0,0,144.88,-5.4
2018,1,3,3,30,0,0,135.18,-5.0
2018,1,3,4,30,0,0,124.84,-4.3
2018,1,3,5,30,0,0,114.41,-3.5
2018,1,3,6,30,0,0,104.24,-2.8000000000000003
2018,1,3,7,30,0,0,94.64,-2.3000000000000003
2018,1,3,8,30,12,0,85.76,-1.7000000000000002
2018,1,3,9,30,28,0,78.45,-0.7000000000000001
2018,1,3,10,30,184,286,72.82000000000001,0.2
2018,1,3,11,30,196,208,69.4,0.9
2018,1,3,12,30,224,258,68.55,1.3
2018,1,3,13,30,178,158,70.38,1.6
2018,1,3,14,30,193,411,74.67,1.8
2018,1,3,15,30,96,279,80.99,2.0
2018,1,3,16,30,16,168,88.68,2.0
2018,1,3,17,30,0,0,98.1,1.2000000000000002
2018,1,3,18,30,0,0,107.94,0.1
2018,1,3,19,30,0,0,118.24,-1.0
2018,1,3,20,30,0,0,128.68,-1.9
2018,1,3,21,30,0,0,138.85,-2.6
2018,1,3,22,30,0,0,148.07,-3.1
2018,1,3,23,30,0,0,154.88,-3.5
2018,1,4,0,30,0,0,156.83,-4.0
2018,1,4,1,30,0,0,152.8,-4.6000000000000005
2018,1,4,2,30,0,0,144.87,-5.2
2018,1,4,3,30,0,0,135.19,-5.5
2018,1,4,4,30,0,0,124.85,-5.5
2018,1,4,5,30,0,0,114.42,-5.5
2018,1,4,6,30,0,0,104.24,-5.5
2018,1,4,7,30,0,0,94.63,-5.2
2018,1,4,8,30,58,461,85.74,-3.6
2018,1,4,9,30,186,725,78.41,-1.0
2018,1,4,10,30,296,833,72.76,1.0
2018,1,4,11,30,364,880,69.31,1.8
2018,1,4,12,30,382,892,68.44,2.2
2018,1,4,13,30,347,876,70.25,2.4000000000000004
2018,1,4,14,30,262,813,74.53,2.3000000000000003
2018,1,4,15,30,141,670,80.85000000000001,1.7000000000000002
2018,1,4,16,30,10,24,88.55,1.2000000000000002
2018,1,4,17,30,0,0,97.95,-1.6
2018,1,4,18,30,0,0,107.79,-2.7
2018,1,4,19,30,0,0,118.09,-3.1
2018,1,4,20,30,0,0,128.53,-2.7
2018,1,4,21,30,0,0,138.70000000000002,-2.2
2018,1,4,22,30,0,0,147.92000000000002,-1.8
2018,1,4,23,30,0,0,154.74,-1.6
2018,1,5,0,30,0,0,156.73,-1.4
2018,1,5,1,30,0,0,152.76,-1.4
