Latitude,Longitude
42.9956,-71.465
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2018,1,1,0,30,0,0,158.29,-19.5
2018,1,1,1,30,0,0,151.13,-19.700000000000003
2018,1,1,2,30,0,0,141.33,-20.0
2018,1,1,3,30,0,0,130.61,-20.4
2018,1,1,4,30,0,0,119.65,-20.700000000000003
2018,1,1,5,30,0,0,108.85,-20.9
2018,1,1,6,30,0,0,98.48,-21.0
2018,1,1,7,30,20,233,88.46000000000001,-20.8
2018,1,1,8,30,148,633,80.23,-19.9
2018,1,1,9,30,304,880,73.3,-18.7
2018,1,1,10,30,378,869,68.41,-17.3
2018,1,1,11,30,407,849,66.07000000000001,-16.1
2018,1,1,12,30,392,824,66.58,-15.4
2018,1,1,13,30,357,873,69.85000000000001,-15.2
2018,1,1,14,30,227,706,75.51,-15.6
2018,1,1,15,30,83,384,83.01,-16.3
2018,1,1,16,30,0,0,92.11,-17.1
2018,1,1,17,30,0,0,102.03,-17.900000000000002
2018,1,1,18,30,0,0,112.58,-18.4
2018,1,1,19,30,0,0,123.47,-20.0
2018,1,1,20,30,0,0,134.39,-21.200000000000003
2018,1,1,21,30,0,0,144.89,-21.9
2018,1,1,22,30,0,0,154.02,-22.3
2018,1,1,23,30,0,0,159.51,-22.6
2018,1,2,0,30,0,0,158.25,-22.700000000000003
2018,1,2,1,30,0,0,151.13,-22.3
2018,1,2,2,30,0,0,141.36,-21.200000000000003
2018,1,2,3,30,0,0,130.64,-20.0
2018,1,2,4,30,0,0,119.69,-19.4
2018,1,2,5,30,0,0,108.88,-19.8
2018,1,2,6,30,0,0,98.5,-20.9
2018,1,2,7,30,16,127,88.47,-21.1
2018,1,2,8,30,132,528,80.21000000000001,-19.4
2018,1,2,9,30,296,831,73.26,-17.3
2018,1,2,10,30,382,863,68.35000000000001,-15.5
2018,1,2,11,30,407,828,65.99,-14.1
2018,1,2,12,30,377,765,66.47,-12.9
2018,1,2,13,30,292,603,69.73,-12.1
2018,1,2,14,30,186,446,75.38,-11.8
2018,1,2,15,30,77,299,82.88,-12.3
2018,1,2,16,30,0,0,91.97,-13.0
2018,1,2,17,30,0,0,101.89,-13.6
2018,1,2,18,30,0,0,112.44,-13.9
2018,1,2,19,30,0,0,123.33,-13.5
2018,1,2,20,30,0,0,134.25,-12.9
2018,1,2,21,30,0,0,144.75,-12.8
2018,1,2,22,30,0,0,153.88,-13.0
2018,1,2,23,30,0,0,159.4,-13.1
2018,1,3,0,30,0,0,158.20000000000002,-13.1
2018,1,3,1,30,0,0,151.13,-13.5
2018,1,3,2,30,0,0,141.38,-14.2
2018,1,3,3,30,0,0,130.66,-15.0
2018,1,3,4,30,0,0,119.71,-15.8
2018,1,3,5,30,0,0,108.9,-16.2
2018,1,3,6,30,0,0,98.51,-16.2
2018,1,3,7,30,15,123,88.48,-15.2
2018,1,3,8,30,128,501,80.2,-12.8
2018,1,3,9,30,267,731,73.23,-10.0
2018,1,3,10,30,402,912,68.29,-7.7
2018,1,3,11,30,443,919,65.91,-5.9
2018,1,3,12,30,397,820,66.36,-4.9
2018,1,3,13,30,288,571,69.60000000000001,-4.7
2018,1,3,14,30,226,708,75.25,-5.4
2018,1,3,15,30,95,487,82.75,-7.300000000000001
2018,1,3,16,30,0,0,91.83,-9.7
2018,1,3,17,30,0,0,101.75,-12.0
2018,1,3,18,30,0,0,112.29,-13.0
2018,1,3,19,30,0,0,123.18,-11.6
2018,1,3,20,30,0,0,134.1,-11.3
2018,1,3,21,30,0,0,144.6,-11.1
2018,1,3,22,30,0,0,153.74,-10.5
2018,1,3,23,30,0,0,159.28,-10.5
2018,1,4,0,30,0,0,158.14,-11.5
2018,1,4,1,30,0,0,151.11,-11.7
2018,1,4,2,30,0,0,141.39,-10.6
2018,1,4,3,30,0,0,130.68,-9.7
2018,1,4,4,30,0,0,119.73,-9.3
2018,1,4,5,30,0,0,108.91,-9.0
2018,1,4,6,30,0,0,98.52,-8.700000000000001
2018,1,4,7,30,6,11,88.49,-8.4
2018,1,4,8,30,41,0,80.18,-8.1
2018,1,4,9,30,85,0,73.18,-7.5
2018,1,4,10,30,110,1,68.22,-6.5
2018,1,4,11,30,191,69,65.81,-5.1000000000000005
2018,1,4,12,30,183,73,66.25,-3.9
2018,1,4,13,30,123,7,69.47,-3.3000000000000003
2018,1,4,14,30,91,77,75.11,-3.3000000000000003
2018,1,4,15,30,30,0,82.61,-3.9
2018,1,4,16,30,2,24,91.68,-4.5
