Latitude,Longitude
58.3019,-134.4197
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2019,1,1,0,30,0,0,144.35,3.8
2019,1,1,1,30,0,0,141.3,3.8
2019,1,1,2,30,0,0,135.87,4.0
2019,1,1,3,30,0,0,128.96,4.1000000000000005
2019,1,1,4,30,0,0,121.31,4.2
2019,1,1,5,30,0,0,113.44,4.3
2019,1,1,6,30,0,0,105.75,4.5
2019,1,1,7,30,0,0,98.58,4.6000000000000005
2019,1,1,8,30,0,0,92.26,4.7
2019,1,1,9,30,22,98,86.88,4.9
2019,1,1,10,30,54,182,83.31,5.0
2019,1,1,11,30,72,211,81.41,5.0
2019,1,1,12,30,73,213,81.36,5.0
2019,1,1,13,30,55,187,83.19,4.800000000000001
2019,1,1,14,30,24,106,86.69,4.7
2019,1,1,15,30,0,0,92.0,4.1000000000000005
2019,1,1,16,30,0,0,98.27,3.9
2019,1,1,17,30,0,0,105.41,3.7
2019,1,1,18,30,0,0,113.08,3.7
2019,1,1,19,30,0,0,120.94,3.7
2019,1,1,20,30,0,0,128.6,3.6
2019,1,1,21,30,0,0,135.54,3.5
2019,1,1,22,30,0,0,141.04,3.4000000000000004
2019,1,1,23,30,0,0,144.20000000000002,3.2
2019,1,2,0,30,0,0,144.27,3.1
2019,1,2,1,30,0,0,141.25,3.0
2019,1,2,2,30,0,0,135.84,2.9000000000000004
2019,1,2,3,30,0,0,128.95,3.0
2019,1,2,4,30,0,0,121.3,3.1
2019,1,2,5,30,0,0,113.43,3.2
2019,1,2,6,30,0,0,105.74,3.1
2019,1,2,7,30,0,0,98.56,3.1
2019,1,2,8,30,0,0,92.23,3.2
2019,1,2,9,30,22,39,86.83,3.2
2019,1,2,10,30,54,110,83.25,3.2
2019,1,2,11,30,77,150,81.33,3.2
2019,1,2,12,30,77,150,81.27,3.1
2019,1,2,13,30,56,112,83.08,3.0
2019,1,2,14,30,22,18,86.57000000000001,2.9000000000000004
2019,1,2,15,30,0,0,91.87,2.6
2019,1,2,16,30,0,0,98.14,2.5
2019,1,2,17,30,0,0,105.27,2.4000000000000004
2019,1,2,18,30,0,0,112.94,2.3000000000000003
2019,1,2,19,30,0,0,120.8,2.3000000000000003
2019,1,2,20,30,0,0,128.47,2.2
2019,1,2,21,30,0,0,135.41,2.2
2019,1,2,22,30,0,0,140.92000000000002,2.1
2019,1,2,23,30,0,0,144.09,1.9
2019,1,3,0,30,0,0,144.19,1.8
2019,1,3,1,30,0,0,141.20000000000002,1.8
2019,1,3,2,30,0,0,135.8,1.7000000000000002
2019,1,3,3,30,0,0,128.92000000000002,1.7000000000000002
2019,1,3,4,30,0,0,121.28,1.6
2019,1,3,5,30,0,0,113.41,1.6
