Latitude,Longitude
43.615,-116.2023
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2019,1,1,0,30,0,0,159.05,-12.6
2019,1,1,1,30,0,0,157.67000000000002,-12.0
2019,1,1,2,30,0,0,150.63,-11.2
2019,1,1,3,30,0,0,140.98,-10.6
2019,1,1,4,30,0,0,130.38,-10.4
2019,1,1,5,30,0,0,119.54,-10.7
2019,1,1,6,30,0,0,108.84,-10.9
2019,1,1,7,30,0,0,98.58,-11.0
2019,1,1,8,30,10,52,88.7,-10.1
2019,1,1,9,30,96,226,80.56,-7.9
2019,1,1,10,30,224,540,73.74,-5.2
2019,1,1,11,30,360,873,68.95,-3.3000000000000003
2019,1,1,12,30,270,311,66.69,-2.4000000000000004
2019,1,1,13,30,262,390,67.23,-2.2
2019,1,1,14,30,89,0,70.5,-2.3000000000000003
2019,1,1,15,30,150,343,76.12,-2.8000000000000003
2019,1,1,16,30,58,218,83.57000000000001,-3.1
2019,1,1,17,30,0,0,92.58,-4.800000000000001
2019,1,1,18,30,0,0,102.41,-5.7
2019,1,1,19,30,0,0,112.87,-6.1000000000000005
2019,1,1,20,30,0,0,123.66,-6.4
2019,1,1,21,30,0,0,134.46,-6.5
2019,1,1,22,30,0,0,144.8,-6.5
2019,1,1,23,30,0,0,153.71,-6.5
2019,1,2,0,30,0,0,158.95000000000002,-6.7
2019,1,2,1,30,0,0,157.63,-7.0
2019,1,2,2,30,0,0,150.63,-7.4
2019,1,2,3,30,0,0,141.0,-7.9
2019,1,2,4,30,0,0,130.41,-8.200000000000001
2019,1,2,5,30,0,0,119.57,-8.1
2019,1,2,6,30,0,0,108.87,-7.7
2019,1,2,7,30,0,0,98.6,-7.300000000000001
2019,1,2,8,30,16,165,88.71000000000001,-6.5
2019,1,2,9,30,141,638,80.55,-4.4
2019,1,2,10,30,247,652,73.7,-2.3000000000000003
2019,1,2,11,30,312,603,68.9,-1.0
2019,1,2,12,30,386,785,66.61,-0.2
2019,1,2,13,30,224,147,67.13,0.3
2019,1,2,14,30,170,132,70.38,0.3
2019,1,2,15,30,180,467,75.99,-0.4
2019,1,2,16,30,42,33,83.43,-1.0
2019,1,2,17,30,0,0,92.44,-3.6
2019,1,2,18,30,0,0,102.27,-4.7
2019,1,2,19,30,0,0,112.73,-5.6000000000000005
2019,1,2,20,30,0,0,123.52,-6.1000000000000005
2019,1,2,21,30,0,0,134.32,-6.300000000000001
2019,1,2,22,30,0,0,144.66,-6.4
2019,1,2,23,30,0,0,153.58,-6.5
2019,1,3,0,30,0,0,158.84,-6.6000000000000005
2019,1,3,1,30,0,0,157.58,-6.800000000000001
2019,1,3,2,30,0,0,150.63,-6.9
2019,1,3,3,30,0,0,141.02,-6.9
2019,1,3,4,30,0,0,130.44,-6.7
2019,1,3,5,30,0,0,119.6,-6.4
2019,1,3,6,30,0,0,108.89,-6.7
2019,1,3,7,30,0,0,98.61,-7.6
2019,1,3,8,30,10,40,88.71000000000001,-6.800000000000001
2019,1,3,9,30,66,164,80.53,-4.2
2019,1,3,10,30,132,210,73.66,-1.6
2019,1,3,11,30,175,250,68.83,0.3
2019,1,3,12,30,317,459,66.52,1.6
2019,1,3,13,30,220,227,67.02,2.2
2019,1,3,14,30,269,518,70.25,2.2
2019,1,3,15,30,181,506,75.86,1.3
2019,1,3,16,30,54,169,83.3,0.6000000000000001
2019,1,3,17,30,0,0,92.29,-0.5
2019,1,3,18,30,0,0,102.13,-0.9
2019,1,3,19,30,0,0,112.59,-1.5
2019,1,3,20,30,0,0,123.37,-1.9
2019,1,3,21,30,0,0,134.17000000000002,-1.9
2019,1,3,22,30,0,0,144.51,-1.8
2019,1,3,23,30,0,0,153.44,-1.8
2019,1,4,0,30,0,0,158.73,-1.8
2019,1,4,1,30,0,0,157.52,-1.7000000000000002
2019,1,4,2,30,0,0,150.62,-1.9
2019,1,4,3,30,0,0,141.03,-2.1
2019,1,4,4,30,0,0,130.46,-2.2
2019,1,4,5,30,0,0,119.61,-2.3000000000000003
2019,1,4,6,30,0,0,108.9,-2.4000000000000004
2019,1,4,7,30,0,0,98.62,-2.5
2019,1,4,8,30,5,5,88.71000000000001,-2.1
2019,1,4,9,30,37,0,80.5,-1.2000000000000002
2019,1,4,10,30,181,393,73.62,-0.1
2019,1,4,11,30,142,86,68.76,0.7000000000000001
2019,1,4,12,30,166,93,66.43,1.2000000000000002
2019,1,4,13,30,123,3,66.9,1.5
2019,1,4,14,30,97,21,70.12,1.5
2019,1,4,15,30,54,0,75.72,1.0
2019,1,4,16,30,28,15,83.15,0.5
2019,1,4,17,30,0,0,92.14,-1.0
2019,1,4,18,30,0,0,101.98,-1.4
2019,1,4,19,30,0,0,112.44,-1.8
2019,1,4,20,30,0,0,123.22,-2.3000000000000003
2019,1,4,21,30,0,0,134.02,-2.8000000000000003
2019,1,4,22,30,0,0,144.36,-2.9000000000000004
2019,1,4,23,30,0,0,153.29,-2.8000000000000003
2019,1,5,0,30,0,0,158.6,-2.8000000000000003
2019,1,5,1,30,0,0,157.45000000000002,-3.0
2019,1,5,2,30,0,0,150.6,-3.3000000000000003
2019,1,5,3,30,0,0,141.04,-3.4000000000000004
2019,1,5,4,30,0,0,130.47,-3.3000000000000003
2019,1,5,5,30,0,0,119.63,-3.2
2019,1,5,6,30,0,0,108.91,-3.0
2019,1,5,7,30,0,0,98.61,-2.9000000000000004
2019,1,5,8,30,5,0,88.7,-2.2
2019,1,5,9,30,35,0,80.47,-0.7000000000000001
2019,1,5,10,30,67,2,73.56,0.8
