Latitude,Longitude
43.6591,-70.2568
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2019,1,1,0,30,0,0,157.32,1.6
2019,1,1,1,30,0,0,150.04,1.7000000000000002
2019,1,1,2,30,0,0,140.3,1.8
2019,1,1,3,30,0,0,129.68,2.3000000000000003
2019,1,1,4,30,0,0,118.85,3.1
2019,1,1,5,30,0,0,108.17,3.8
2019,1,1,6,30,0,0,97.96,3.9
2019,1,1,7,30,20,143,88.19,3.6
2019,1,1,8,30,129,483,80.10000000000001,3.8
2019,1,1,9,30,264,728,73.4,4.6000000000000005
2019,1,1,10,30,353,803,68.77,5.300000000000001
2019,1,1,11,30,401,860,66.69,5.300000000000001
2019,1,1,12,30,388,852,67.41,4.6000000000000005
2019,1,1,13,30,323,808,70.84,4.0
2019,1,1,14,30,185,559,76.59,3.2
2019,1,1,15,30,79,459,84.12,2.2
2019,1,1,16,30,0,0,93.22,1.3
2019,1,1,17,30,0,0,103.1,0.5
2019,1,1,18,30,0,0,113.58,0.2
2019,1,1,19,30,0,0,124.37,-1.0
2019,1,1,20,30,0,0,135.15,-2.0
2019,1,1,21,30,0,0,145.43,-3.0
2019,1,1,22,30,0,0,154.18,-3.8
2019,1,1,23,30,0,0,159.06,-4.6000000000000005
2019,1,2,0,30,0,0,157.28,-5.2
2019,1,2,1,30,0,0,150.05,-5.7
2019,1,2,2,30,0,0,140.33,-6.1000000000000005
2019,1,2,3,30,0,0,129.71,-6.2
2019,1,2,4,30,0,0,118.88,-6.2
2019,1,2,5,30,0,0,108.2,-6.2
2019,1,2,6,30,0,0,97.98,-6.2
2019,1,2,7,30,16,111,88.17,-5.9
2019,1,2,8,30,109,355,80.08,-5.2
2019,1,2,9,30,275,788,73.36,-4.1000000000000005
2019,1,2,10,30,361,828,68.71000000000001,-3.1
2019,1,2,11,30,392,812,66.61,-2.3000000000000003
2019,1,2,12,30,360,720,67.31,-1.9
2019,1,2,13,30,314,764,70.72,-1.8
2019,1,2,14,30,212,712,76.46000000000001,-2.3000000000000003
2019,1,2,15,30,74,400,83.98,-3.0
2019,1,2,16,30,0,0,93.08,-3.3000000000000003
2019,1,2,17,30,0,0,102.96,-3.3000000000000003
2019,1,2,18,30,0,0,113.44,-3.3000000000000003
2019,1,2,19,30,0,0,124.23,-3.2
2019,1,2,20,30,0,0,135.01,-3.3000000000000003
2019,1,2,21,30,0,0,145.29,-3.3000000000000003
2019,1,2,22,30,0,0,154.05,-3.1
2019,1,2,23,30,0,0,158.95000000000002,-2.8000000000000003
2019,1,3,0,30,0,0,157.24,-2.4000000000000004
2019,1,3,1,30,0,0,150.04,-1.9
2019,1,3,2,30,0,0,140.35,-1.2000000000000002
2019,1,3,3,30,0,0,129.74,-0.7000000000000001
2019,1,3,4,30,0,0,118.9,-0.4
2019,1,3,5,30,0,0,108.22,-0.2
2019,1,3,6,30,0,0,97.99,-0.1
2019,1,3,7,30,12,20,88.18,0.3
2019,1,3,8,30,67,85,80.06,0.7000000000000001
2019,1,3,9,30,114,84,73.32000000000001,1.2000000000000002
2019,1,3,10,30,269,393,68.65,1.6
2019,1,3,11,30,352,585,66.52,1.8
2019,1,3,12,30,387,766,67.2,1.9
2019,1,3,13,30,331,770,70.60000000000001,1.9
2019,1,3,14,30,210,627,76.33,1.2000000000000002
2019,1,3,15,30,75,376,83.85000000000001,-0.2
2019,1,3,16,30,0,0,92.93,-1.1
2019,1,3,17,30,0,0,102.81,-1.4
2019,1,3,18,30,0,0,113.3,-1.6
2019,1,3,19,30,0,0,124.09,-2.2
2019,1,3,20,30,0,0,134.86,-2.4000000000000004
2019,1,3,21,30,0,0,145.14,-2.5
2019,1,3,22,30,0,0,153.91,-2.0
2019,1,3,23,30,0,0,158.84,-1.5
2019,1,4,0,30,0,0,157.18,-1.3
