Latitude,Longitude
39.2904,-76.6122
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2019,1,1,0,30,0,0,163.17000000000002,12.3
2019,1,1,1,30,0,0,156.46,13.1
2019,1,1,2,30,0,0,146.19,13.6
2019,1,1,3,30,0,0,134.84,13.9
2019,1,1,4,30,0,0,123.25,14.2
2019,1,1,5,30,0,0,111.78,14.2
2019,1,1,6,30,0,0,100.68,13.6
2019,1,1,7,30,3,15,89.71000000000001,12.8
2019,1,1,8,30,12,0,80.63,12.2
2019,1,1,9,30,73,3,72.59,11.8
2019,1,1,10,30,136,10,66.49,11.2
2019,1,1,11,30,123,1,62.95,10.9
2019,1,1,12,30,302,233,62.42,11.0
2019,1,1,13,30,298,317,64.98,11.1
2019,1,1,14,30,251,416,70.29,10.5
2019,1,1,15,30,132,275,77.74,9.3
2019,1,1,16,30,28,112,86.66,7.800000000000001
2019,1,1,17,30,0,0,97.06,6.9
2019,1,1,18,30,0,0,107.98,6.5
2019,1,1,19,30,0,0,119.35,5.300000000000001
2019,1,1,20,30,0,0,130.93,4.7
2019,1,1,21,30,0,0,142.41,4.2
2019,1,1,22,30,0,0,153.18,3.8
2019,1,1,23,30,0,0,161.54,3.4000000000000004
2019,1,2,0,30,0,0,163.11,3.0
2019,1,2,1,30,0,0,156.47,2.8000000000000003
2019,1,2,2,30,0,0,146.22,2.5
2019,1,2,3,30,0,0,134.89,2.2
2019,1,2,4,30,0,0,123.3,2.0
2019,1,2,5,30,0,0,111.82,1.9
2019,1,2,6,30,0,0,100.71,1.9
2019,1,2,7,30,5,16,89.7,2.5
2019,1,2,8,30,51,0,80.63,3.8
2019,1,2,9,30,84,0,72.57000000000001,5.0
2019,1,2,10,30,126,5,66.45,5.7
2019,1,2,11,30,188,27,62.88,6.4
2019,1,2,12,30,83,0,62.33,6.800000000000001
2019,1,2,13,30,91,0,64.87,6.800000000000001
2019,1,2,14,30,37,0,70.16,6.4
2019,1,2,15,30,14,0,77.60000000000001,5.6000000000000005
2019,1,2,16,30,7,10,86.52,4.800000000000001
2019,1,2,17,30,0,0,96.92,4.5
2019,1,2,18,30,0,0,107.84,4.5
2019,1,2,19,30,0,0,119.21,4.4
2019,1,2,20,30,0,0,130.79,4.3
2019,1,2,21,30,0,0,142.27,4.1000000000000005
2019,1,2,22,30,0,0,153.04,4.0
2019,1,2,23,30,0,0,161.41,4.0
2019,1,3,0,30,0,0,163.05,4.2
2019,1,3,1,30,0,0,156.47,4.4
2019,1,3,2,30,0,0,146.25,4.5
2019,1,3,3,30,0,0,134.93,4.6000000000000005
2019,1,3,4,30,0,0,123.34,4.7
2019,1,3,5,30,0,0,111.85,4.6000000000000005
2019,1,3,6,30,0,0,100.74,4.5
2019,1,3,7,30,4,14,89.72,4.9
2019,1,3,8,30,33,0,80.63,5.5
2019,1,3,9,30,70,0,72.55,5.9
2019,1,3,10,30,114,8,66.4,5.9
2019,1,3,11,30,163,9,62.8,5.800000000000001
2019,1,3,12,30,288,203,62.22,5.9
2019,1,3,13,30,217,88,64.75,6.1000000000000005
2019,1,3,14,30,162,98,70.02,6.1000000000000005
2019,1,3,15,30,112,190,77.46000000000001,4.9
2019,1,3,16,30,29,105,86.38,3.2
2019,1,3,17,30,0,0,96.78,2.4000000000000004
2019,1,3,18,30,0,0,107.69,2.4000000000000004
2019,1,3,19,30,0,0,119.07,2.1
2019,1,3,20,30,0,0,130.65,2.0
2019,1,3,21,30,0,0,142.12,2.1
2019,1,3,22,30,0,0,152.89,2.1
2019,1,3,23,30,0,0,161.28,1.7000000000000002
2019,1,4,0,30,0,0,162.97,0.9
2019,1,4,1,30,0,0,156.46,0.3
2019,1,4,2,30,0,0,146.27,-0.1
2019,1,4,3,30,0,0,134.96,-0.4
2019,1,4,4,30,0,0,123.37,-0.5
2019,1,4,5,30,0,0,111.88,-0.4
2019,1,4,6,30,0,0,100.76,-0.2
2019,1,4,7,30,5,24,89.71000000000001,0.9
2019,1,4,8,30,63,24,80.62,2.3000000000000003
2019,1,4,9,30,132,48,72.52,3.6
2019,1,4,10,30,221,123,66.34,4.7
2019,1,4,11,30,272,153,62.72,5.800000000000001
2019,1,4,12,30,196,31,62.11,6.4
2019,1,4,13,30,131,0,64.62,6.4
2019,1,4,14,30,86,0,69.88,6.1000000000000005
2019,1,4,15,30,68,0,77.32000000000001,5.5
2019,1,4,16,30,18,17,86.25,5.0
2019,1,4,17,30,0,0,96.63,4.9
2019,1,4,18,30,0,0,107.55,4.9
2019,1,4,19,30,0,0,118.92,5.300000000000001
2019,1,4,20,30,0,0,130.5,5.5
2019,1,4,21,30,0,0,141.98,5.5
2019,1,4,22,30,0,0,152.75,5.4
2019,1,4,23,30,0,0,161.13,5.5
2019,1,5,0,30,0,0,162.89,5.4
2019,1,5,1,30,0,0,156.45000000000002,5.300000000000001
2019,1,5,2,30,0,0,146.29,5.2
2019,1,5,3,30,0,0,134.99,5.1000000000000005
2019,1,5,4,30,0,0,123.4,5.0
2019,1,5,5,30,0,0,111.91,4.9
2019,1,5,6,30,0,0,100.77,4.9
2019,1,5,7,30,2,2,89.74,5.2
2019,1,5,8,30,20,6,80.60000000000001,5.9
2019,1,5,9,30,96,38,72.48,6.7
2019,1,5,10,30,128,14,66.28,7.2
2019,1,5,11,30,51,0,62.63,7.5
2019,1,5,12,30,172,24,62.0,8.0
2019,1,5,13,30,94,2,64.48,8.8
2019,1,5,14,30,59,1,69.74,9.4
2019,1,5,15,30,194,672,77.17,9.2
2019,1,5,16,30,49,376,86.10000000000001,8.3
2019,1,5,17,30,0,0,96.48,7.4
2019,1,5,18,30,0,0,107.4,6.9
2019,1,5,19,30,0,0,118.78,5.7
2019,1,5,20,30,0,0,130.36,5.2
2019,1,5,21,30,0,0,141.83,4.7
2019,1,5,22,30,0,0,152.59,4.4
2019,1,5,23,30,0,0,160.99,4.1000000000000005
2019,1,6,0,30,0,0,162.8,3.8
2019,1,6,1,30,0,0,156.43,3.5
2019,1,6,2,30,0,0,146.3,3.2
2019,1,6,3,30,0,0,135.01,3.1
2019,1,6,4,30,0,0,123.42,3.1
2019,1,6,5,30,0,0,111.92,3.3000000000000003
2019,1,6,6,30,0,0,100.78,3.7
2019,1,6,7,30,7,68,89.72,4.9
2019,1,6,8,30,131,532,80.58,6.7
2019,1,6,9,30,284,739,72.44,7.9
2019,1,6,10,30,236,199,66.21000000000001,8.5
2019,1,6,11,30,485,905,62.53,8.9
2019,1,6,12,30,499,918,61.870000000000005,9.2
2019,1,6,13,30,453,900,64.34,9.2
2019,1,6,14,30,352,847,69.58,8.700000000000001
2019,1,6,15,30,208,726,77.01,7.5
2019,1,6,16,30,54,418,85.95,6.0
2019,1,6,17,30,0,0,96.32,4.7
2019,1,6,18,30,0,0,107.24,4.2
2019,1,6,19,30,0,0,118.62,2.8000000000000003
2019,1,6,20,30,0,0,130.2,1.8
2019,1,6,21,30,0,0,141.67000000000002,1.0
