Latitude,Longitude
42.3601,-71.0589
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2019,1,1,0,30,0,0,158.74,1.9
2019,1,1,1,30,0,0,151.26,2.6
2019,1,1,2,30,0,0,141.25,3.3000000000000003
2019,1,1,3,30,0,0,130.37,3.9
2019,1,1,4,30,0,0,119.31,4.5
2019,1,1,5,30,0,0,108.41,5.0
2019,1,1,6,30,0,0,97.96,5.6000000000000005
2019,1,1,7,30,17,84,87.96000000000001,6.4
2019,1,1,8,30,85,187,79.60000000000001,7.4
2019,1,1,9,30,146,257,72.62,8.200000000000001
2019,1,1,10,30,261,337,67.73,8.5
2019,1,1,11,30,424,876,65.44,8.1
2019,1,1,12,30,414,876,66.03,7.4
2019,1,1,13,30,349,838,69.42,6.6000000000000005
2019,1,1,14,30,237,742,75.22,5.5
2019,1,1,15,30,99,520,82.86,4.2
2019,1,1,16,30,0,0,92.07,3.1
2019,1,1,17,30,0,0,102.11,2.3000000000000003
2019,1,1,18,30,0,0,112.77,1.9
2019,1,1,19,30,0,0,123.77,0.8
2019,1,1,20,30,0,0,134.81,0.0
2019,1,1,21,30,0,0,145.44,-0.9
2019,1,1,22,30,0,0,154.70000000000002,-1.7000000000000002
2019,1,1,23,30,0,0,160.22,-2.4000000000000004
2019,1,2,0,30,0,0,158.71,-3.0
2019,1,2,1,30,0,0,151.27,-3.4000000000000004
2019,1,2,2,30,0,0,141.28,-3.5
2019,1,2,3,30,0,0,130.41,-3.6
2019,1,2,4,30,0,0,119.34,-3.7
2019,1,2,5,30,0,0,108.44,-3.7
2019,1,2,6,30,0,0,97.98,-3.7
2019,1,2,7,30,15,65,87.95,-3.3000000000000003
2019,1,2,8,30,161,686,79.58,-2.4000000000000004
2019,1,2,9,30,300,859,72.59,-1.3
2019,1,2,10,30,382,852,67.67,-0.3
2019,1,2,11,30,427,871,65.36,0.5
2019,1,2,12,30,354,603,65.92,0.9
2019,1,2,13,30,274,466,69.3,0.9
2019,1,2,14,30,179,377,75.09,0.4
2019,1,2,15,30,74,252,82.72,-0.4
2019,1,2,16,30,0,0,91.93,-1.4
2019,1,2,17,30,0,0,101.97,-2.0
2019,1,2,18,30,0,0,112.63,-2.2
2019,1,2,19,30,0,0,123.63,-1.7000000000000002
2019,1,2,20,30,0,0,134.67000000000002,-1.4
2019,1,2,21,30,0,0,145.3,-1.3
2019,1,2,22,30,0,0,154.56,-1.2000000000000002
2019,1,2,23,30,0,0,160.11,-1.1
2019,1,3,0,30,0,0,158.66,-0.7000000000000001
2019,1,3,1,30,0,0,151.27,-0.3
2019,1,3,2,30,0,0,141.3,0.0
2019,1,3,3,30,0,0,130.44,0.3
2019,1,3,4,30,0,0,119.37,0.5
2019,1,3,5,30,0,0,108.46,0.7000000000000001
2019,1,3,6,30,0,0,98.0,0.8
2019,1,3,7,30,4,6,87.96000000000001,1.2000000000000002
2019,1,3,8,30,13,0,79.57000000000001,1.8
2019,1,3,9,30,90,27,72.55,2.8000000000000003
2019,1,3,10,30,374,801,67.61,3.8
2019,1,3,11,30,429,873,65.27,4.4
2019,1,3,12,30,301,418,65.81,4.7
2019,1,3,13,30,233,371,69.17,4.4
2019,1,3,14,30,147,224,74.95,3.5
2019,1,3,15,30,85,348,82.59,1.8
2019,1,3,16,30,0,7,91.79,0.5
