Latitude,Longitude
43.546,-96.7313
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2019,1,1,0,30,0,0,159.5,-22.9
2019,1,1,1,30,0,0,156.08,-23.700000000000003
2019,1,1,2,30,0,0,147.95000000000002,-24.0
2019,1,1,3,30,0,0,137.88,-24.1
2019,1,1,4,30,0,0,127.13,-24.0
2019,1,1,5,30,0,0,116.28,-23.8
2019,1,1,6,30,0,0,105.67,-23.6
2019,1,1,7,30,0,0,95.59,-23.4
2019,1,1,8,30,36,166,86.12,-22.700000000000003
2019,1,1,9,30,132,325,78.25,-21.5
2019,1,1,10,30,244,519,71.97,-19.700000000000003
2019,1,1,11,30,327,633,67.89,-18.0
2019,1,1,12,30,280,379,66.46000000000001,-16.8
2019,1,1,13,30,328,634,67.84,-16.0
2019,1,1,14,30,258,586,71.87,-15.8
2019,1,1,15,30,144,405,78.12,-16.7
2019,1,1,16,30,57,472,85.97,-18.1
2019,1,1,17,30,0,0,95.4,-18.7
2019,1,1,18,30,0,0,105.48,-20.3
2019,1,1,19,30,0,0,116.08,-21.9
2019,1,1,20,30,0,0,126.92,-23.6
2019,1,1,21,30,0,0,137.67000000000002,-24.4
2019,1,1,22,30,0,0,147.75,-23.5
2019,1,1,23,30,0,0,155.91,-21.700000000000003
2019,1,2,0,30,0,0,159.41,-20.0
2019,1,2,1,30,0,0,156.05,-18.7
2019,1,2,2,30,0,0,147.97,-17.6
2019,1,2,3,30,0,0,137.91,-17.1
2019,1,2,4,30,0,0,127.17,-17.1
2019,1,2,5,30,0,0,116.32,-17.400000000000002
2019,1,2,6,30,0,0,105.7,-18.0
2019,1,2,7,30,0,0,95.6,-18.3
2019,1,2,8,30,52,456,86.13,-16.8
2019,1,2,9,30,186,711,78.24,-13.9
2019,1,2,10,30,291,735,71.94,-11.0
2019,1,2,11,30,247,271,67.83,-8.3
2019,1,2,12,30,423,883,66.37,-5.7
2019,1,2,13,30,398,884,67.74,-3.7
2019,1,2,14,30,317,840,71.76,-2.8000000000000003
2019,1,2,15,30,196,738,77.99,-3.5
2019,1,2,16,30,56,463,85.85000000000001,-5.7
2019,1,2,17,30,0,0,95.27,-6.9
