Latitude,Longitude
38.3498,-81.6326
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2019,1,1,0,30,0,0,164.70000000000002,14.5
2019,1,1,1,30,0,0,160.02,13.0
2019,1,1,2,30,0,0,150.18,11.7
2019,1,1,3,30,0,0,138.83,10.8
2019,1,1,4,30,0,0,127.1,10.1
2019,1,1,5,30,0,0,115.41,9.5
2019,1,1,6,30,0,0,104.01,8.9
2019,1,1,7,30,0,0,93.17,8.200000000000001
2019,1,1,8,30,43,57,83.05,7.9
2019,1,1,9,30,142,178,74.37,8.0
2019,1,1,10,30,154,41,67.42,8.200000000000001
2019,1,1,11,30,97,0,62.870000000000005,8.6
2019,1,1,12,30,105,1,61.27,8.9
2019,1,1,13,30,77,1,62.86,8.9
2019,1,1,14,30,52,0,67.4,8.6
2019,1,1,15,30,37,0,74.33,7.800000000000001
2019,1,1,16,30,15,0,83.01,6.6000000000000005
2019,1,1,17,30,0,0,93.12,5.5
2019,1,1,18,30,0,0,103.96,5.1000000000000005
2019,1,1,19,30,0,0,115.35,4.6000000000000005
2019,1,1,20,30,0,0,127.04,4.4
2019,1,1,21,30,0,0,138.77,4.2
2019,1,1,22,30,0,0,150.11,4.0
2019,1,1,23,30,0,0,159.94,3.7
2019,1,2,0,30,0,0,164.62,3.6
2019,1,2,1,30,0,0,160.02,3.5
2019,1,2,2,30,0,0,150.21,3.3000000000000003
2019,1,2,3,30,0,0,138.88,3.2
2019,1,2,4,30,0,0,127.15,3.2
2019,1,2,5,30,0,0,115.45,3.3000000000000003
2019,1,2,6,30,0,0,104.05,3.0
2019,1,2,7,30,0,0,93.19,2.9000000000000004
2019,1,2,8,30,14,0,83.06,3.6
2019,1,2,9,30,34,0,74.36,4.7
2019,1,2,10,30,86,0,67.39,5.7
2019,1,2,11,30,137,1,62.81,6.6000000000000005
2019,1,2,12,30,70,0,61.18,7.5
2019,1,2,13,30,96,0,62.75,7.800000000000001
2019,1,2,14,30,184,73,67.27,7.4
2019,1,2,15,30,166,254,74.2,6.4
2019,1,2,16,30,67,193,82.87,5.5
2019,1,2,17,30,0,0,92.98,5.6000000000000005
2019,1,2,18,30,0,0,103.82,6.0
2019,1,2,19,30,0,0,115.22,5.7
2019,1,2,20,30,0,0,126.91,5.6000000000000005
2019,1,2,21,30,0,0,138.63,5.9
2019,1,2,22,30,0,0,149.97,5.9
2019,1,2,23,30,0,0,159.8,5.7
2019,1,3,0,30,0,0,164.52,5.4
2019,1,3,1,30,0,0,160.01,5.1000000000000005
2019,1,3,2,30,0,0,150.24,4.7
2019,1,3,3,30,0,0,138.92000000000002,4.2
2019,1,3,4,30,0,0,127.19,3.8
2019,1,3,5,30,0,0,115.49,3.5
2019,1,3,6,30,0,0,104.08,3.2
2019,1,3,7,30,0,0,93.21,3.0
2019,1,3,8,30,24,0,83.06,3.3000000000000003
2019,1,3,9,30,69,0,74.34,3.9
2019,1,3,10,30,129,10,67.35,4.5
2019,1,3,11,30,88,0,62.74,5.0
2019,1,3,12,30,96,0,61.09,5.5
