Latitude,Longitude
35.1495,-90.049
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2020,1,1,0,30,0,0,166.59,0.3
2020,1,1,1,30,0,0,157.64,0.0
2020,1,1,2,30,0,0,146.02,-0.3
2020,1,1,3,30,0,0,133.83,-0.6000000000000001
2020,1,1,4,30,0,0,121.6,-0.7000000000000001
2020,1,1,5,30,0,0,109.58,-0.8
2020,1,1,6,30,0,0,97.97,-0.4
2020,1,1,7,30,21,16,86.79,1.6
2020,1,1,8,30,152,350,77.01,4.2
2020,1,1,9,30,242,269,68.57000000000001,6.1000000000000005
2020,1,1,10,30,356,383,62.21,7.5
2020,1,1,11,30,405,390,58.66,8.5
2020,1,1,12,30,317,152,58.44,9.2
2020,1,1,13,30,229,69,61.6,9.6
2020,1,1,14,30,110,7,67.64,9.3
2020,1,1,15,30,81,9,75.85000000000001,8.4
2020,1,1,16,30,21,1,85.53,7.300000000000001
2020,1,1,17,30,0,0,96.55,7.0
2020,1,1,18,30,0,0,108.09,6.9
2020,1,1,19,30,0,0,120.07,6.9
2020,1,1,20,30,0,0,132.28,7.1000000000000005
2020,1,1,21,30,0,0,144.49,7.300000000000001
2020,1,1,22,30,0,0,156.23,7.4
2020,1,1,23,30,0,0,165.75,7.5
2020,1,2,0,30,0,0,166.56,7.7
2020,1,2,1,30,0,0,157.68,7.800000000000001
2020,1,2,2,30,0,0,146.08,8.0
2020,1,2,3,30,0,0,133.89,8.0
2020,1,2,4,30,0,0,121.65,8.0
2020,1,2,5,30,0,0,109.63,8.0
2020,1,2,6,30,0,0,98.01,8.0
2020,1,2,7,30,4,0,86.82000000000001,8.4
2020,1,2,8,30,10,0,77.02,9.1
2020,1,2,9,30,9,0,68.55,9.9
2020,1,2,10,30,15,0,62.17,10.6
2020,1,2,11,30,14,0,58.59,11.1
2020,1,2,12,30,90,0,58.35,11.6
2020,1,2,13,30,37,0,61.48,11.9
2020,1,2,14,30,37,0,67.51,11.8
2020,1,2,15,30,33,1,75.72,11.3
2020,1,2,16,30,8,0,85.4,10.6
2020,1,2,17,30,0,0,96.41,10.4
2020,1,2,18,30,0,0,107.95,10.4
2020,1,2,19,30,0,0,119.93,10.7
2020,1,2,20,30,0,0,132.15,10.6
2020,1,2,21,30,0,0,144.35,10.7
2020,1,2,22,30,0,0,156.09,11.0
2020,1,2,23,30,0,0,165.62,11.1
2020,1,3,0,30,0,0,166.52,11.3
2020,1,3,1,30,0,0,157.71,11.3
2020,1,3,2,30,0,0,146.12,11.3
