Latitude,Longitude
44.4759,-73.2121
Year,Month,Day,Hour,Minute,GHI,DNI,Solar Zenith Angle,Temperature
2020,1,1,0,30,0,0,157.45000000000002,-2.6
2020,1,1,1,30,0,0,151.21,-3.3000000000000003
2020,1,1,2,30,0,0,142.02,-4.0
2020,1,1,3,30,0,0,131.69,-4.6000000000000005
2020,1,1,4,30,0,0,121.02,-5.0
2020,1,1,5,30,0,0,110.43,-5.0
2020,1,1,6,30,0,0,100.24,-4.9
2020,1,1,7,30,2,0,90.13,-4.3
2020,1,1,8,30,52,57,82.18,-3.0
2020,1,1,9,30,86,28,75.27,-1.7000000000000002
2020,1,1,10,30,161,174,70.29,-0.6000000000000001
2020,1,1,11,30,133,56,67.73,0.2
2020,1,1,12,30,121,7,67.9,0.6000000000000001
2020,1,1,13,30,128,80,70.76,0.6000000000000001
2020,1,1,14,30,95,58,76.01,0.2
2020,1,1,15,30,47,64,83.11,-0.3
2020,1,1,16,30,0,0,91.83,-0.7000000000000001
2020,1,1,17,30,0,0,101.43,-0.8
2020,1,1,18,30,0,0,111.68,-0.9
2020,1,1,19,30,0,0,122.29,-1.7000000000000002
2020,1,1,20,30,0,0,132.94,-2.3000000000000003
2020,1,1,21,30,0,0,143.18,-3.2
2020,1,1,22,30,0,0,152.12,-4.7
2020,1,1,23,30,0,0,157.79,-6.1000000000000005
2020,1,2,0,30,0,0,157.4,-7.0
2020,1,2,1,30,0,0,151.21,-7.5
2020,1,2,2,30,0,0,142.04,-7.300000000000001
2020,1,2,3,30,0,0,131.72,-6.800000000000001
2020,1,2,4,30,0,0,121.05,-6.2
2020,1,2,5,30,0,0,110.46,-6.1000000000000005
2020,1,2,6,30,0,0,100.26,-5.9
2020,1,2,7,30,2,0,90.12,-5.2
2020,1,2,8,30,59,96,82.17,-4.2
2020,1,2,9,30,106,59,75.24,-2.9000000000000004
2020,1,2,10,30,265,485,70.24,-1.4
2020,1,2,11,30,312,528,67.66,-0.2
2020,1,2,12,30,266,341,67.8,0.5
2020,1,2,13,30,174,150,70.65,0.7000000000000001
2020,1,2,14,30,127,174,75.88,0.7000000000000001
2020,1,2,15,30,58,116,82.98,0.5
2020,1,2,16,30,0,0,91.7,0.3
2020,1,2,17,30,0,0,101.29,0.3
2020,1,2,18,30,0,0,111.54,0.4
2020,1,2,19,30,0,0,122.15,0.8
2020,1,2,20,30,0,0,132.8,0.9
2020,1,2,21,30,0,0,143.04,1.0
2020,1,2,22,30,0,0,151.99,0.9
2020,1,2,23,30,0,0,157.67000000000002,0.9
2020,1,3,0,30,0,0,157.34,0.7000000000000001
2020,1,3,1,30,0,0,151.20000000000002,0.6000000000000001
2020,1,3,2,30,0,0,142.06,0.5
2020,1,3,3,30,0,0,131.74,0.6000000000000001
2020,1,3,4,30,0,0,121.07,0.6000000000000001
2020,1,3,5,30,0,0,110.48,0.6000000000000001
2020,1,3,6,30,0,0,100.27,0.8
2020,1,3,7,30,1,0,90.14,1.1
2020,1,3,8,30,40,7,82.16,1.4
2020,1,3,9,30,127,161,75.21000000000001,1.7000000000000002
2020,1,3,10,30,72,2,70.18,2.0
2020,1,3,11,30,161,102,67.57000000000001,2.1
2020,1,3,12,30,104,16,67.7,2.1
2020,1,3,13,30,60,0,70.53,2.1
2020,1,3,14,30,49,0,75.75,1.9
2020,1,3,15,30,27,0,82.84,1.6
2020,1,3,16,30,0,0,91.55,1.4
2020,1,3,17,30,0,0,101.15,1.4
2020,1,3,18,30,0,0,111.4,1.5
2020,1,3,19,30,0,0,122.01,1.5
2020,1,3,20,30,0,0,132.66,1.5
2020,1,3,21,30,0,0,142.9,1.4
2020,1,3,22,30,0,0,151.85,1.2000000000000002
2020,1,3,23,30,0,0,157.56,0.8
2020,1,4,0,30,0,0,157.27,0.3
2020,1,4,1,30,0,0,151.18,-0.6000000000000001
2020,1,4,2,30,0,0,142.06,-1.1
2020,1,4,3,30,0,0,131.76,-1.3
2020,1,4,4,30,0,0,121.09,-1.3
2020,1,4,5,30,0,0,110.5,-1.2000000000000002
2020,1,4,6,30,0,0,100.28,-1.4
2020,1,4,7,30,2,0,90.13,-1.4
2020,1,4,8,30,28,0,82.14,-0.3
2020,1,4,9,30,106,86,75.16,0.8
2020,1,4,10,30,158,110,70.11,1.3
2020,1,4,11,30,112,66,67.48,1.4
2020,1,4,12,30,68,6,67.59,1.3
2020,1,4,13,30,42,0,70.4,1.2000000000000002
2020,1,4,14,30,50,0,75.61,1.0
2020,1,4,15,30,21,0,82.7,0.5
2020,1,4,16,30,0,0,91.41,-0.1
2020,1,4,17,30,0,0,101.0,-0.7000000000000001
2020,1,4,18,30,0,0,111.25,-0.9
2020,1,4,19,30,0,0,121.86,-1.4
2020,1,4,20,30,0,0,132.51,-1.8
2020,1,4,21,30,0,0,142.75,-2.3000000000000003
2020,1,4,22,30,0,0,151.70000000000002,-2.8000000000000003
2020,1,4,23,30,0,0,157.43,-3.2
2020,1,5,0,30,0,0,157.20000000000002,-3.5
2020,1,5,1,30,0,0,151.15,-4.1000000000000005
2020,1,5,2,30,0,0,142.06,-4.800000000000001
